Index	Distance[µm]	Time[s]	Velocity[µm/s]
1,000000	0,888561	1,108000	0,801951
2,000000	0,637514	0,806000	0,790961
3,000000	0,425010	0,504000	0,843273
4,000000	1,141654	1,209000	0,944296
5,000000	0,851448	1,007000	0,845529
6,000000	0,319293	1,309000	0,243921
7,000000	1,100935	1,108000	0,993624
8,000000	0,899622	0,806000	1,116157
9,000000	2,181834	3,727000	0,585413
10,000000	1,862542	2,216000	0,840497
11,000000	3,352575	7,253000	0,462233
12,000000	2,071922	2,720000	0,761736
13,000000	0,851448	0,907000	0,938751
14,000000	4,172411	6,447000	0,647186
15,000000	0,531262	1,209000	0,439423
16,000000	2,288265	3,022000	0,757202
17,000000	0,212862	0,101000	2,107544
18,000000	1,756111	1,914000	0,917508
19,000000	1,322974	1,411000	0,937614
20,000000	1,434407	0,906000	1,583231
21,000000	0,531262	0,403000	1,318268
22,000000	0,425724	1,410000	0,301932
23,000000	0,891477	1,007000	0,885280
24,000000	0,314553	0,906000	0,347189
1,000000	3,000521	12,290000	0,208696
2,000000	0,516438	0,302000	1,710060
3,000000	3,028931	3,223000	0,939786
4,000000	1,536373	8,361000	0,141251
5,000000	0,865409	2,417000	0,358051
6,000000	0,483438	0,906000	0,533596
7,000000	0,790134	0,806000	0,980316
8,000000	0,564847	1,713000	0,329741
9,000000	0,689458	1,310000	0,526304
10,000000	1,010824	0,906000	1,115700
11,000000	0,614881	0,504000	1,220003
12,000000	0,527041	0,504000	1,045717
13,000000	0,439201	0,806000	0,544914
14,000000	0,902570	1,411000	0,639667
15,000000	0,351361	1,511000	0,028333
16,000000	0,439201	1,208000	0,363577
17,000000	0,698390	0,101000	6,914757
18,000000	0,567442	0,806000	0,704023
19,000000	2,163522	2,217000	0,953549
20,000000	0,817639	1,813000	0,450987
21,000000	0,430336	0,403000	1,067832
22,000000	1,492476	1,813000	0,823208
23,000000	0,218196	0,403000	0,541430
24,000000	1,711958	2,418000	0,708006
25,000000	0,526756	0,504000	1,045151
26,000000	0,970757	1,008000	0,963052
27,000000	0,862978	0,604000	1,428771
28,000000	0,344269	0,504000	0,683074
29,000000	0,912445	1,007000	0,906103
30,000000	1,041098	1,209000	0,861123
31,000000	1,216048	1,209000	1,005829
32,000000	0,784871	0,503000	1,560380
33,000000	1,482535	0,201000	7,375794
34,000000	0,601713	0,403000	1,493085
35,000000	0,392845	1,108000	0,354553
36,000000	1,014882	1,511000	0,671663
37,000000	0,711377	0,504000	1,411462
38,000000	0,862978	0,504000	1,712257
1,000000	1,215689	2,115000	0,574794
2,000000	0,987422	0,806000	1,225090
3,000000	0,841138	1,008000	0,834462
4,000000	1,119815	1,108000	1,010663
1,000000	0,884859	1,410000	0,627559
2,000000	0,612816	0,605000	1,012919
3,000000	1,135734	1,913000	0,593693
4,000000	1,900595	2,821000	0,673731
5,000000	0,799393	0,705000	1,133891
6,000000	1,678415	2,015000	0,832960
7,000000	0,576768	2,116000	0,272575
8,000000	0,651695	0,604000	1,078966
9,000000	0,857063	0,806000	1,063353
10,000000	3,105960	3,526000	0,880874
11,000000	0,468624	0,907000	0,516675
12,000000	1,378863	2,115000	0,651945
13,000000	2,063702	2,821000	0,731550
14,000000	1,230922	0,805000	1,529096
15,000000	0,724072	0,705000	1,027052
16,000000	0,362036	0,906000	0,399598
17,000000	1,053746	2,418000	0,435792
18,000000	0,499953	0,504000	0,991971
19,000000	1,694257	4,433000	0,382192
1,000000	1,079297	1,410000	0,765459
2,000000	1,765251	2,317000	0,761869
3,000000	0,641909	0,705000	0,910510
4,000000	0,764284	1,813000	0,469805
5,000000	0,427572	0,604000	0,753381
6,000000	0,745299	0,706000	1,055664
7,000000	0,106443	2,015000	0,052825
8,000000	0,425772	0,604000	0,704921
9,000000	0,105024	0,705000	0,112630
10,000000	1,924087	5,743000	0,263902
11,000000	0,520024	0,503000	1,033844
12,000000	0,745299	0,907000	0,821719
13,000000	0,727249	0,806000	0,902294
14,000000	1,402551	2,921000	0,472393
