Real	Imag	frequency
		frequency [kHz]
-835,000	1060,000	0,000
-594,000	-1014,000	1,000
84,000	-2126,000	2,000
-229,000	261,000	3,000
-1595,000	2165,000	4,000
-1289,000	2170,000	5,000
-354,000	191,000	6,000
-2231,000	704,000	7,000
-1800,000	254,000	8,000
-2588,000	-3357,000	9,000
-464,000	-2842,000	10,000
-3113,000	-1030,000	11,000
-1952,000	-815,000	12,000
-1263,000	-3073,000	13,000
809,000	-1530,000	14,000
715,000	1003,000	15,000
1392,000	-672,000	16,000
-404,000	-3442,000	17,000
1412,000	-5805,000	18,000
633,000	-3876,000	19,000
251,000	-993,000	20,000
1884,000	-3355,000	21,000
2566,000	-1009,000	22,000
1475,000	-5370,000	23,000
2655,000	-2112,000	24,000
3459,000	-2756,000	25,000
2764,000	-3213,000	26,000
252,000	-3267,000	27,000
6270,000	92,000	28,000
4393,000	-655,000	29,000
3265,000	-617,000	30,000
4914,000	108,000	31,000
9583,000	1386,000	32,000
6208,000	2951,000	33,000
3685,000	3812,000	34,000
4843,000	5007,000	35,000
5007,000	4430,000	36,000
6483,000	4953,000	37,000
4040,000	9406,000	38,000
1867,000	7890,000	39,000
1121,000	7533,000	40,000
-400,000	8484,000	41,000
-3440,000	7060,000	42,000
-1749,000	8145,000	43,000
-5381,000	6661,000	44,000
-5938,000	7058,000	45,000
-5375,000	7166,000	46,000
-5438,000	8335,000	47,000
-9274,000	6122,000	48,000
-9820,000	7579,000	49,000
-10578,000	7329,000	50,000
-13541,000	2143,000	51,000
-15566,000	-636,000	52,000
-14986,000	-370,000	53,000
-14819,000	-3177,000	54,000
-16687,000	-8215,000	55,000
-16787,000	-4869,000	56,000
-15304,000	-7112,000	57,000
-14221,000	-12467,000	58,000
-13017,000	-14999,000	59,000
-13521,000	-16027,000	60,000
-6515,000	-15684,000	61,000
-4586,000	-18109,000	62,000
-1719,000	-22309,000	63,000
3123,000	-23161,000	64,000
5250,000	-22318,000	65,000
10164,000	-28264,000	66,000
11510,000	-23095,000	67,000
16806,000	-21951,000	68,000
21445,000	-20710,000	69,000
20832,000	-18314,000	70,000
26503,000	-15585,000	71,000
29813,000	-11662,000	72,000
31191,000	-9534,000	73,000
35777,000	-7399,000	74,000
35593,000	-1292,000	75,000
38231,000	8336,000	76,000
34081,000	9974,000	77,000
30254,000	13979,000	78,000
32493,000	19403,000	79,000
30579,000	25954,000	80,000
25414,000	28845,000	81,000
17053,000	30085,000	82,000
11430,000	32887,000	83,000
7999,000	40012,000	84,000
1299,000	42360,000	85,000
-5446,000	39509,000	86,000
-8662,000	34485,000	87,000
-18052,000	30381,000	88,000
-29321,000	25150,000	89,000
-35397,000	14726,000	90,000
-45109,000	7985,000	91,000
-46829,000	39,000	92,000
-48174,000	-11196,000	93,000
-46255,000	-23353,000	94,000
-41583,000	-29015,000	95,000
-36672,000	-36913,000	96,000
-34595,000	-40940,000	97,000
-26913,000	-45169,000	98,000
-17652,000	-47916,000	99,000
-13987,000	-51365,000	100,000
-8702,000	-53099,000	101,000
2974,000	-49978,000	102,000
10024,000	-52754,000	103,000
16633,000	-50427,000	104,000
17041,000	-44499,000	105,000
28599,000	-39650,000	106,000
29773,000	-39375,000	107,000
32958,000	-31464,000	108,000
38003,000	-26723,000	109,000
41970,000	-24228,000	110,000
40101,000	-16043,000	111,000
42220,000	-12807,000	112,000
44659,000	-4675,000	113,000
43953,000	2083,000	114,000
