Real	Imag	frequency
		frequency [kHz]
-234,362	562,857	1250,000
-327,011	686,039	1245,117
384,306	103,210	1240,234
323,396	842,986	1235,352
-357,626	-78,707	1230,469
753,409	-678,670	1225,586
-887,687	-370,078	1220,703
308,293	-2289,090	1215,820
245,773	-2216,960	1210,938
-28,154	2329,287	1206,055
-170,838	515,181	1201,172
244,931	459,115	1196,289
-156,281	1054,242	1191,406
798,548	-545,438	1186,523
1169,889	-726,599	1181,641
-120,381	810,270	1176,758
367,530	-1183,051	1171,875
-2159,590	1904,456	1166,992
-779,467	-1640,993	1162,109
-1155,831	580,456	1157,227
-735,796	-606,466	1152,344
-203,778	-2080,163	1147,461
1783,954	181,902	1142,578
-624,913	1054,000	1137,695
-2101,090	-2738,869	1132,813
-1467,131	427,185	1127,930
310,379	-1306,315	1123,047
-1144,701	-121,924	1118,164
-227,586	1595,266	1113,281
-574,228	1996,236	1108,398
-1443,524	26,264	1103,516
-987,765	-2801,704	1098,633
-544,086	994,784	1093,750
932,270	666,504	1088,867
683,972	-297,141	1083,984
222,395	-1091,735	1079,102
1423,756	-183,969	1074,219
1570,411	1462,060	1069,336
-1309,069	1325,528	1064,453
1657,632	-2229,075	1059,570
938,892	-2717,557	1054,688
603,566	389,299	1049,805
-1535,770	-792,752	1044,922
1876,620	-1400,122	1040,039
-88,423	-2282,191	1035,156
2181,059	1529,882	1030,273
-665,230	-86,140	1025,391
-203,314	-759,825	1020,508
-418,833	1906,832	1015,625
236,139	-1558,051	1010,742
-76,025	-484,040	1005,859
1375,629	-883,610	1000,977
262,925	867,935	996,094
-699,255	-1329,353	991,211
-775,552	-98,733	986,328
1627,014	-877,759	981,445
4464,617	4727,513	976,563
318,004	-1872,125	971,680
1104,802	956,176	966,797
-946,616	-333,966	961,914
-1451,761	783,826	957,031
1397,396	-1221,715	952,148
1385,958	490,240	947,266
-82,034	-101,675	942,383
2085,410	-592,519	937,500
-2351,783	646,770	932,617
-469,363	693,238	927,734
-754,294	1081,118	922,852
382,120	-1581,854	917,969
3649,407	-884,776	913,086
595,736	-726,295	908,203
-505,219	1227,752	903,320
-395,213	1007,368	898,438
-1475,898	-49,289	893,555
125,111	7,793	888,672
-1627,604	267,985	883,789
1212,361	-3082,689	878,906
536,716	-390,407	874,023
707,772	-553,446	869,141
-1167,889	-1254,268	864,258
1658,033	-564,325	859,375
-1555,969	549,178	854,492
-1233,585	1394,318	849,609
-1602,667	-1619,781	844,727
262,777	-1817,634	839,844
-676,924	1337,548	834,961
172,051	-1707,850	830,078
-224,603	-343,054	825,195
-6066,188	-5259,844	820,313
-1375,214	-511,240	815,430
70,781	1300,523	810,547
654,573	2951,402	805,664
1821,002	-184,813	800,781
-1031,641	1065,136	795,898
1212,551	564,298	791,016
-609,648	-2583,472	786,133
1709,872	352,145	781,250
2701,664	-745,327	776,367
-2135,191	-2717,314	771,484
-564,378	628,330	766,602
-2963,087	67,458	761,719
897,853	2875,470	756,836
-1390,937	-1648,094	751,953
-879,235	-1924,320	747,070
-1565,928	1217,139	742,188
655,274	1066,009	737,305
2776,847	-358,095	732,422
-1272,085	-923,431	727,539
2180,039	-13,605	722,656
2364,344	-240,090	717,773
27,809	-1930,624	712,891
510,577	-1243,096	708,008
-1052,564	-344,856	703,125
1722,201	1292,021	698,242
1456,890	128,097	693,359
-3556,926	393,209	688,477
1654,566	11,388	683,594
-2408,604	135,952	678,711
-1660,044	458,437	673,828
-3182,483	-503,860	668,945
564,311	-875,912	664,063
3433,999	-1061,767	659,180
-1250,148	-3537,015	654,297
-1085,810	1517,072	649,414
2925,254	-1477,106	644,531
736,079	690,485	639,648
971,518	3485,577	634,766
-1015,230	840,205	629,883
377,683	1223,339	625,000
560,213	-417,668	620,117
241,569	843,055	615,234
-1424,055	739,867	610,352
741,058	-1403,805	605,469
-2664,802	2635,130	600,586
-147,238	558,222	595,703
2446,412	-1933,187	590,820
2018,089	-1141,071	585,938
65,496	-406,559	581,055
-2722,640	-1639,735	576,172
2878,754	237,097	571,289
-122,502	1925,966	566,406
1758,042	1464,401	561,523
-1183,955	-1087,836	556,641
-487,044	1392,242	551,758
1861,470	3671,039	546,875
232,058	-1862,960	541,992
2974,979	-98,213	537,109
311,719	2209,221	532,227
2605,745	192,279	527,344
-41,046	-964,270	522,461
1089,198	1803,944	517,578
759,028	-576,784	512,695
27,601	-1917,850	507,813
-260,614	-1406,771	502,930
2498,231	-2644,687	498,047
-1993,988	5455,946	493,164
-2950,565	-2252,877	488,281
-566,683	1699,018	483,398
1219,526	2071,339	478,516
-1969,591	-1268,261	473,633
-1830,549	1388,779	468,750
1148,583	-2167,522	463,867
3240,306	-284,088	458,984
1247,045	-1129,359	454,102
288,228	157,171	449,219
1496,171	-2247,820	444,336
1799,978	3598,399	439,453
-547,876	-3413,911	434,570
3936,144	-1605,880	429,688
3433,183	2253,866	424,805
-339,415	275,444	419,922
-472,856	1369,406	415,039
-264,630	173,053	410,156
-1362,973	2876,532	405,273
2074,527	-1281,108	400,391
2509,147	2005,439	395,508
2647,472	-431,034	390,625
3200,797	-1353,406	385,742
-988,643	-4297,990	380,859
2002,725	-2361,977	375,977
2174,584	-1846,786	371,094
-409,282	1160,712	366,211
-2065,384	685,158	361,328
-4970,183	-412,687	356,445
-29,696	-3624,750	351,563
-1346,000	-763,736	346,680
1577,107	-1845,887	341,797
-682,114	-1426,114	336,914
-1637,992	393,263	332,031
794,878	-1306,313	327,148
-2373,583	2534,853	322,266
-1340,183	-2723,060	317,383
3276,229	-2697,957	312,500
412,008	-687,727	307,617
-146,807	-213,813	302,734
2455,856	-502,135	297,852
2939,143	-1563,201	292,969
-1545,024	-818,564	288,086
-791,951	-822,387	283,203
-2090,429	-721,240	278,320
-4528,263	-3656,813	273,438
-2574,727	-575,778	268,555
-4042,177	-1878,070	263,672
-1510,021	-1063,521	258,789
-406,391	-1846,009	253,906
1888,950	-2590,912	249,023
1007,549	-1092,706	244,141
-1353,571	-194,019	239,258
192,143	125,648	234,375
6143,211	153,142	229,492
-2868,550	-1545,085	224,609
-817,067	127,203	219,727
2347,318	-1309,605	214,844
630,736	1973,118	209,961
2877,910	5965,270	205,078
2931,491	-3477,760	200,195
-377,636	-3138,001	195,313
4106,438	-5479,040	190,430
3319,072	-657,498	185,547
373,405	2163,732	180,664
7837,639	1326,892	175,781
5578,695	-941,755	170,898
8548,276	-2439,886	166,016
-292,655	-5567,114	161,133
-6677,481	-1116,912	156,250
-1159,848	986,003	151,367
9619,803	3643,781	146,484
8822,744	-249,511	141,602
2255,406	-7454,969	136,719
-6146,379	-9333,471	131,836
-7270,568	49,614	126,953
150,427	8514,728	122,070
17990,014	5287,760	117,188
19408,848	-12408,577	112,305
-4239,757	-25673,762	107,422
-25533,664	-10263,967	102,539
-19091,578	21503,096	97,656
18942,172	36466,949	92,773
57282,301	-796,191	87,891
42610,109	-59626,891	83,008
-42800,902	-78261,539	78,125
-109213,414	1706,734	73,242
-49917,207	139178,609	68,359
151130,625	145731,266	63,477
279833,469	-74528,930	58,594
110775,367	-354184,063	53,711
-292064,219	-295058,406	48,828
-344265,719	109040,039	43,945
-53027,152	254943,547	39,063
114835,953	109331,953	34,180
77173,719	-34262,598	29,297
-9459,887	-44126,875	24,414
-31687,797	-3232,792	19,531
-21382,740	19123,318	14,648
4379,236	14918,737	9,766
5748,310	8256,595	4,883
-4196,369	2653,772	0,000
-3181,229	1857,384	-4,883
-496,329	6866,931	-9,766
-1820,482	2154,208	-14,648
-3549,935	-629,236	-19,531
-2949,466	6174,716	-24,414
-5180,398	4750,843	-29,297
-2217,945	3010,512	-34,180
1500,996	736,176	-39,063
-847,304	2035,321	-43,945
-4185,566	-2932,175	-48,828
-3298,041	5798,195	-53,711
-1230,626	4116,382	-58,594
2116,808	2815,220	-63,477
5560,412	456,039	-68,359
-2843,531	2360,120	-73,242
836,936	3903,839	-78,125
-4916,452	5830,917	-83,008
-1368,502	4435,922	-87,891
160,946	-755,330	-92,773
2539,853	-4100,236	-97,656
-1897,766	-765,471	-102,539
-5757,786	3956,586	-107,422
-3073,156	1748,490	-112,305
2850,913	3979,540	-117,188
-3461,294	2110,882	-122,070
2244,405	1993,364	-126,953
-2261,017	5059,581	-131,836
-2555,715	-1599,881	-136,719
-2095,421	3594,673	-141,602
2575,488	1950,162	-146,484
-1087,569	1464,076	-151,367
526,727	1467,028	-156,250
-3807,554	2586,580	-161,133
6284,547	3127,448	-166,016
-2928,847	1320,560	-170,898
26,969	1321,330	-175,781
-1797,099	-5874,456	-180,664
-93,381	-474,496	-185,547
-1058,480	-832,011	-190,430
-2062,057	2620,893	-195,313
-1871,368	-1636,538	-200,195
-2948,568	586,743	-205,078
1805,752	3052,593	-209,961
414,178	537,113	-214,844
-5313,911	3124,190	-219,727
-3367,507	4628,547	-224,609
2540,700	2199,681	-229,492
4768,304	1283,819	-234,375
-3698,231	-1225,962	-239,258
1404,826	-3580,182	-244,141
-3502,760	2806,670	-249,023
-2443,381	1865,206	-253,906
-2116,747	5386,327	-258,789
96,836	-901,678	-263,672
-1881,475	1115,565	-268,555
-5148,122	-4588,395	-273,438
430,866	-932,479	-278,320
3052,661	1273,998	-283,203
3044,361	1604,660	-288,086
-1064,827	1418,974	-292,969
-222,283	962,439	-297,852
-1027,946	1767,649	-302,734
-2841,180	1728,932	-307,617
-879,528	-1754,457	-312,500
1803,694	-3210,658	-317,383
2258,467	875,901	-322,266
-492,257	765,736	-327,148
-391,246	1550,024	-332,031
2977,676	128,098	-336,914
-452,600	-1673,360	-341,797
1716,913	2643,225	-346,680
-178,883	-826,438	-351,563
-252,850	701,879	-356,445
234,068	4195,703	-361,328
-193,214	2393,617	-366,211
3601,707	143,254	-371,094
2859,090	3077,764	-375,977
-1088,041	515,204	-380,859
-275,480	-2262,551	-385,742
-1386,581	-1506,901	-390,625
-167,099	-1728,711	-395,508
-2199,764	339,594	-400,391
721,878	-1147,584	-405,273
-1065,728	200,673	-410,156
-1011,192	-192,802	-415,039
-2257,022	221,927	-419,922
-1064,506	-1654,661	-424,805
-113,614	-4,095	-429,688
1442,750	-539,204	-434,570
-1688,945	286,203	-439,453
1733,159	4017,570	-444,336
218,427	-965,995	-449,219
414,153	2575,131	-454,102
2783,990	724,757	-458,984
-2810,266	236,710	-463,867
-544,148	-2881,460	-468,750
-1400,781	298,535	-473,633
112,190	2312,520	-478,516
-839,591	185,222	-483,398
1093,271	3392,936	-488,281
1968,392	-632,302	-493,164
1280,349	-1699,020	-498,047
-1081,897	635,318	-502,930
1271,913	-3365,950	-507,813
2246,583	-873,086	-512,695
47,254	-1925,354	-517,578
-1423,945	366,795	-522,461
-2728,639	-3190,404	-527,344
-648,181	-189,129	-532,227
-3604,126	-2017,770	-537,109
620,003	-1337,805	-541,992
-207,181	1290,885	-546,875
-101,346	2782,240	-551,758
-1443,861	793,374	-556,641
-1089,832	448,618	-561,523
-3981,456	1410,858	-566,406
-548,488	439,798	-571,289
-732,606	-3173,804	-576,172
-751,804	499,027	-581,055
2815,946	404,548	-585,938
-1333,809	213,548	-590,820
-1097,270	-997,142	-595,703
-1544,221	1046,258	-600,586
-1712,448	756,068	-605,469
2169,822	-1584,138	-610,352
729,814	3679,794	-615,234
-492,597	-1215,809	-620,117
-165,551	2607,235	-625,000
1164,667	-1906,135	-629,883
-1113,053	-2264,701	-634,766
769,761	-321,867	-639,648
-238,315	-700,223	-644,531
-2711,393	1780,984	-649,414
-395,754	162,670	-654,297
1386,126	9,084	-659,180
-251,086	2144,207	-664,063
2577,448	851,530	-668,945
2900,263	-1248,011	-673,828
-183,221	533,974	-678,711
1280,596	1332,398	-683,594
948,625	-430,500	-688,477
-352,040	794,741	-693,359
-2645,951	1544,312	-698,242
270,787	978,415	-703,125
-1151,909	2367,190	-708,008
1762,018	783,873	-712,891
299,066	1469,449	-717,773
239,455	-1347,753	-722,656
1097,708	-3554,301	-727,539
1116,981	-459,621	-732,422
555,931	-286,682	-737,305
-735,355	-1844,893	-742,188
-1339,393	-1629,248	-747,070
993,002	12,272	-751,953
-163,787	1902,795	-756,836
606,241	-1437,658	-761,719
-632,999	-367,637	-766,602
-341,325	-70,377	-771,484
1547,821	-1456,236	-776,367
-728,435	-156,842	-781,250
-2376,070	-582,552	-786,133
3040,304	299,652	-791,016
-742,248	1246,132	-795,898
816,162	-821,836	-800,781
-951,273	1165,276	-805,664
-1720,595	2725,755	-810,547
459,535	1587,091	-815,430
-729,602	2092,945	-820,313
669,704	1332,254	-825,195
-1060,929	52,810	-830,078
268,629	-272,380	-834,961
-2297,436	-412,855	-839,844
-243,577	1855,608	-844,727
1361,034	-634,993	-849,609
-293,779	-567,578	-854,492
329,207	-80,909	-859,375
226,840	813,330	-864,258
1181,281	-1527,394	-869,141
910,195	384,409	-874,023
102,392	-1469,144	-878,906
-1252,679	-305,061	-883,789
-538,699	2461,012	-888,672
-386,415	1466,428	-893,555
1157,712	-113,320	-898,438
157,133	2293,084	-903,320
-3718,502	1930,455	-908,203
1587,332	3060,144	-913,086
-141,277	1696,995	-917,969
410,584	-483,220	-922,852
-2472,216	1480,218	-927,734
-316,969	453,295	-932,617
-847,583	1900,606	-937,500
-1339,767	499,627	-942,383
-226,437	1816,579	-947,266
1440,802	-2694,075	-952,148
-828,150	-693,911	-957,031
-844,780	386,070	-961,914
558,475	1082,962	-966,797
602,281	-584,202	-971,680
-1223,848	1161,147	-976,563
1444,269	-18,541	-981,445
386,191	187,956	-986,328
-364,574	-950,509	-991,211
-193,051	-809,689	-996,094
-101,554	-24,373	-1000,977
832,528	-42,696	-1005,859
-356,524	2069,599	-1010,742
74,628	578,319	-1015,625
794,935	-191,790	-1020,508
2175,073	-356,610	-1025,391
-1124,545	8,720	-1030,273
717,783	-1416,469	-1035,156
-1479,432	1167,356	-1040,039
395,197	-1416,662	-1044,922
-1425,460	1004,173	-1049,805
1535,578	3612,174	-1054,688
1277,818	-2313,919	-1059,570
-1180,897	-434,933	-1064,453
-856,694	1034,071	-1069,336
-1510,579	178,931	-1074,219
-2520,391	-2058,948	-1079,102
-727,645	-373,393	-1083,984
-141,897	1203,491	-1088,867
-1027,920	-1545,528	-1093,750
-1987,175	-929,161	-1098,633
1681,552	-38,476	-1103,516
1052,000	50,714	-1108,398
