Real	Imag	frequency
		frequency [kHz]
-5830,000	-2811,000	0,000
-10880,000	-5913,000	1,000
-11881,000	-5293,000	2,000
-16195,000	-3960,000	3,000
-15786,000	-1822,000	4,000
-13354,000	-2336,000	5,000
-14972,000	-2939,000	6,000
-16197,000	829,000	7,000
-16879,000	5195,000	8,000
-21232,000	7421,000	9,000
-15308,000	8871,000	10,000
-14621,000	13016,000	11,000
-13084,000	13611,000	12,000
-11097,000	14745,000	13,000
-7282,000	12019,000	14,000
-6960,000	15596,000	15,000
-6373,000	19437,000	16,000
-3715,000	18831,000	17,000
-3814,000	19877,000	18,000
-677,000	18992,000	19,000
1022,000	18845,000	20,000
5756,000	23342,000	21,000
2984,000	25079,000	22,000
8570,000	22430,000	23,000
13018,000	18902,000	24,000
17038,000	17905,000	25,000
19313,000	14178,000	26,000
20601,000	14618,000	27,000
23380,000	12072,000	28,000
24996,000	6350,000	29,000
26399,000	8393,000	30,000
29506,000	5411,000	31,000
33041,000	2605,000	32,000
32835,000	-3077,000	33,000
32739,000	-5654,000	34,000
30510,000	-9557,000	35,000
26021,000	-10960,000	36,000
25255,000	-14486,000	37,000
28840,000	-21235,000	38,000
25750,000	-27582,000	39,000
22590,000	-29285,000	40,000
20922,000	-30371,000	41,000
15632,000	-35538,000	42,000
10244,000	-39304,000	43,000
9972,000	-41496,000	44,000
5159,000	-42907,000	45,000
-4516,000	-41170,000	46,000
-10529,000	-42949,000	47,000
-14674,000	-44300,000	48,000
-20023,000	-42219,000	49,000
-27615,000	-39531,000	50,000
-30207,000	-42621,000	51,000
-34142,000	-39357,000	52,000
-42041,000	-34145,000	53,000
-46332,000	-30907,000	54,000
-50267,000	-25130,000	55,000
-55026,000	-14615,000	56,000
-57508,000	-9469,000	57,000
-63037,000	-6012,000	58,000
-59810,000	2716,000	59,000
-63210,000	9254,000	60,000
-64187,000	19434,000	61,000
-67442,000	29216,000	62,000
-60672,000	35754,000	63,000
-59516,000	44065,000	64,000
-56012,000	51785,000	65,000
-49163,000	60194,000	66,000
-45561,000	71817,000	67,000
-37330,000	78075,000	68,000
-27149,000	83918,000	69,000
-19786,000	85624,000	70,000
-5964,000	91214,000	71,000
