X	Y	Y-Fit

50,000000	26565,318330	23733,246687
100,000000	24213,068620	23613,129534
150,000000	23882,567722	23493,620916
200,000000	22355,482773	23374,716565
250,000000	22779,434255	23256,415061
500,000000	21644,001478	22673,826539
750,000000	20955,113934	22105,831450
1000,000000	17890,084544	17566,813492
1250,000000	18360,858858	17126,039176
1500,000000	17938,818300	16696,323743
1750,000000	16261,769799	16277,391330
2000,000000	15800,329902	15868,969549
2250,000000	15106,801117	15470,796447
2500,000000	14649,504087	15082,613547
2750,000000	14816,613682	14704,170484
3000,000000	14297,699745	14335,223850
3250,000000	13256,335278	13975,533713
3500,000000	13605,987653	13624,869415
3750,000000	12718,176009	13283,002613
4000,000000	11338,239193	12949,715400
4250,000000	10955,359693	12624,789866
4500,000000	11782,376543	12308,017375
4750,000000	11983,456304	11999,192767
5000,000000	11657,803910	11698,116680
5250,000000	11579,739980	11404,595546
5500,000000	10905,333007	11118,439272
5750,000000	10731,723301	10839,462405
6000,000000	10887,677668	10567,486446
6250,000000	10226,872934	10302,334052
6500,000000	9908,368635	10043,834838
6750,000000	9644,980301	9791,821894
7000,000000	9307,236163	9546,131790
7250,000000	10916,360291	9306,606888
7500,000000	9376,635484	9073,091871
7750,000000	9205,947263	8845,435476
8000,000000	9435,191837	8623,492239
8250,000000	9437,868403	8407,117273
8500,000000	8418,466428	8196,171488
8750,000000	8505,150557	7990,518689
9000,000000	9228,036682	7790,026161
9250,000000	6423,582256	7594,564086
9500,000000	6822,200378	7404,006123
9750,000000	8105,033745	7218,229989
10000,000000	5444,408875	7037,115137
10250,000000	6668,947518	8429,934432
10500,000000	5991,305868	8218,758321
10750,000000	7430,703870	8012,872755
11000,000000	8185,291443	7812,144797
11250,000000	7120,926906	7616,445061
11500,000000	8756,237834	7425,647719
11750,000000	5374,510303	7239,630493
12000,000000	8382,775972	7058,272531
12250,000000	7314,474691	6881,457955
12500,000000	5882,670482	6709,073022
12750,000000	7741,770857	6541,006117
13000,000000	5771,033270	6377,149186
13250,000000	5759,796003	6217,397013
13500,000000	6379,329902	6061,647228
13750,000000	7159,672199	5909,798528
14000,000000	6577,543995	5761,753874
14250,000000	5921,116871	5617,418006
14500,000000	6861,999490	5476,697794
14750,000000	6034,953935	5339,502599
15000,000000	5309,020719	5205,744624
