Ref	Proj	Pos	Pos	Pos	Diff	DAQ	Motor-	Fehler
 No	/ °	ROT	START	END	Enc	 No	LIN	ROT
---	---	---	---	---	---	---	---	---
  1	  0	  0	  0	100	  0	  0	Kein Fehler	   
  1	  0	3139	100	16331	 -1	2907	Kein Fehler	Kein Fehler
  1	  2	16996	16331	102	 -1	2775	Kein Fehler	Kein Fehler
  1	  4	24979	102	16331	  1	2839	Kein Fehler	Kein Fehler
  1	  6	32583	16331	102	 -1	2825	Kein Fehler	Kein Fehler
  1	  8	40433	102	16331	  1	2861	Kein Fehler	Kein Fehler
  1	 10	48210	16331	102	 -1	2801	Kein Fehler	Kein Fehler
  1	 12	56057	102	16331	  1	2709	Kein Fehler	Kein Fehler
  1	 14	63446	16331	102	 -1	2833	Kein Fehler	Kein Fehler
  1	 16	71299	102	16332	  0	2759	Kein Fehler	Kein Fehler
  1	 18	79026	16332	103	 -1	2775	Kein Fehler	Kein Fehler
  1	 20	87002	103	16332	  1	2801	Kein Fehler	Kein Fehler
  1	 22	94530	16332	103	 -1	2813	Kein Fehler	Kein Fehler
  1	 24	102419	103	16332	  1	2847	Kein Fehler	Kein Fehler
  1	 26	109864	16332	103	 -1	2833	Kein Fehler	Kein Fehler
  1	 28	117414	103	16332	  1	2851	Kein Fehler	Kein Fehler
  1	 30	125055	16332	102	  0	2889	Kein Fehler	Kein Fehler
  1	 32	132776	102	16331	  1	2885	Kein Fehler	Kein Fehler
  1	 34	140446	16331	102	 -1	2843	Kein Fehler	Kein Fehler
  1	 36	148160	102	16331	  1	2855	Kein Fehler	Kein Fehler
  1	 38	156357	16331	102	 -1	2757	Kein Fehler	Kein Fehler
  1	 40	163862	102	16331	  1	2767	Kein Fehler	Kein Fehler
  1	 42	171376	16331	102	 -1	2755	Kein Fehler	Kein Fehler
  1	 44	178937	102	16331	  1	2773	Kein Fehler	Kein Fehler
  1	 46	186391	16331	102	 -1	2757	Kein Fehler	Kein Fehler
  1	 48	194054	102	16332	  0	2796	Kein Fehler	Kein Fehler
  1	 50	201667	16332	103	 -1	2777	Kein Fehler	Kein Fehler
  1	 52	209264	103	16332	  1	2777	Kein Fehler	Kein Fehler
  1	 54	216951	16332	103	 -1	2757	Kein Fehler	Kein Fehler
  1	 56	224235	103	16332	  1	2795	Kein Fehler	Kein Fehler
  1	 58	231665	16332	103	 -1	2825	Kein Fehler	Kein Fehler
  1	 60	239222	103	16332	  1	2637	Kein Fehler	Kein Fehler
  1	 62	246701	16332	103	 -1	2679	Kein Fehler	Kein Fehler
  1	 64	254557	103	16332	  1	2699	Kein Fehler	Kein Fehler
  1	 66	261660	16332	103	 -1	2585	Kein Fehler	Kein Fehler
  1	 68	268657	103	16332	  1	2583	Kein Fehler	Kein Fehler
  1	 70	275561	16332	103	 -1	2423	Kein Fehler	Kein Fehler
  1	 72	282096	103	16333	  0	2191	Kein Fehler	Kein Fehler
  1	 74	288749	16333	104	 -1	2047	Kein Fehler	Kein Fehler
  1	 76	294524	104	16334	  0	2015	Kein Fehler	Kein Fehler
  1	 78	300271	16334	105	 -1	2007	Kein Fehler	Kein Fehler
  1	 80	305860	105	16334	  1	1997	Kein Fehler	Kein Fehler
  1	 82	311409	16334	105	 -1	1993	Kein Fehler	Kein Fehler
  1	 84	317359	105	16334	  1	1849	Kein Fehler	Kein Fehler
  1	 86	322532	16334	105	 -1	1891	Kein Fehler	Kein Fehler
  1	 88	327765	105	16334	  1	1915	Kein Fehler	Kein Fehler
  1	 90	333134	16334	105	 -1	1753	Kein Fehler	Kein Fehler
  1	 92	337975	105	16334	  1	1713	Kein Fehler	Kein Fehler
  1	 94	342718	16334	105	 -1	1839	Kein Fehler	Kein Fehler
  1	 96	347791	105	16334	  1	1805	Kein Fehler	Kein Fehler
  1	 98	352747	16334	105	 -1	1869	Kein Fehler	Kein Fehler
  1	100	357833	105	16334	  1	1761	Kein Fehler	Kein Fehler
  1	102	362609	16334	105	 -1	1779	Kein Fehler	Kein Fehler
  1	104	367574	105	16334	  1	1899	Kein Fehler	Kein Fehler
  1	106	372762	16334	105	 -1	1897	Kein Fehler	Kein Fehler
  1	108	378021	105	16334	  1	1965	Kein Fehler	Kein Fehler
  1	110	383745	16334	105	 -1	2035	Kein Fehler	Kein Fehler
  1	112	389445	105	16334	  1	1987	Kein Fehler	Kein Fehler
  1	114	394711	16334	105	 -1	1971	Kein Fehler	Kein Fehler
  1	116	400261	105	16334	  1	2119	Kein Fehler	Kein Fehler
  1	118	405768	16334	105	 -1	2337	Kein Fehler	Kein Fehler
  1	120	411989	105	16334	  1	2489	Kein Fehler	Kein Fehler
  1	122	418503	16334	105	 -1	2503	Kein Fehler	Kein Fehler
  1	124	425185	105	16334	  1	2651	Kein Fehler	Kein Fehler
  1	126	432332	16334	105	 -1	2675	Kein Fehler	Kein Fehler
  1	128	439347	105	16334	  1	2765	Kein Fehler	Kein Fehler
  1	130	446618	16334	105	 -1	2823	Kein Fehler	Kein Fehler
  1	132	454178	105	16334	  1	2731	Kein Fehler	Kein Fehler
  1	134	461287	16334	105	 -1	2707	Kein Fehler	Kein Fehler
  1	136	468462	105	16334	  1	2817	Kein Fehler	Kein Fehler
  1	138	475721	16334	104	  0	2749	Kein Fehler	Kein Fehler
  1	140	482940	104	16333	  1	2783	Kein Fehler	Kein Fehler
  1	142	490706	16333	103	  0	2759	Kein Fehler	Kein Fehler
  1	144	498421	103	16332	  1	2809	Kein Fehler	Kein Fehler
  1	146	505784	16332	103	 -1	2755	Kein Fehler	Kein Fehler
  1	148	513383	103	16332	  1	2709	Kein Fehler	Kein Fehler
  1	150	520631	16332	103	 -1	2761	Kein Fehler	Kein Fehler
  1	152	527858	103	16332	  1	2751	Kein Fehler	Kein Fehler
  1	154	535059	16332	103	 -1	2697	Kein Fehler	Kein Fehler
  1	156	542141	103	16332	  1	2919	Kein Fehler	Kein Fehler
  1	158	549755	16332	103	 -1	2831	Kein Fehler	Kein Fehler
  1	160	557707	103	16332	  1	2817	Kein Fehler	Kein Fehler
  1	162	565138	16332	103	 -1	2809	Kein Fehler	Kein Fehler
  1	164	572692	103	16332	  1	2861	Kein Fehler	Kein Fehler
  1	166	580275	16332	103	 -1	2831	Kein Fehler	Kein Fehler
  1	168	587686	103	16333	  0	2809	Kein Fehler	Kein Fehler
  1	170	595095	16333	104	 -1	2909	Kein Fehler	Kein Fehler
  1	172	602761	104	16333	  1	2805	Kein Fehler	Kein Fehler
  1	174	609962	16333	103	  0	2875	Kein Fehler	Kein Fehler
  1	176	618170	103	16332	  1	2873	Kein Fehler	Kein Fehler
  1	178	625906	16332	103	 -1	2837	Kein Fehler	Kein Fehler
C:\PET-Messungen\2015-10-18_19-44\Scans

Soll: v_Fahrt: 22,00 mm/s -- Fahrweg: 30 BIN
Ist:  v_Fahrt: 20,00 mm/s -- Fahrweg: 101,44 mm
