Ref	Proj	Pos	Pos	Pos	Diff	DAQ	Motor-	Fehler
 No	/ °	ROT	START	END	Enc	 No	LIN	ROT
---	---	---	---	---	---	---	---	---
  1	  0	  0	  0	100	  0	  0	Kein Fehler	   
  1	  0	104	100	32559	  1	195	Kein Fehler	Kein Fehler
  1	  2	630	32559	102	 -3	215	Kein Fehler	Kein Fehler
  1	  4	1117	102	32559	  3	199	Kein Fehler	Kein Fehler
  1	  6	1571	32559	102	 -3	235	Kein Fehler	Kein Fehler
  1	  8	2131	102	32559	  3	307	Kein Fehler	Kein Fehler
  1	 10	2843	32559	102	 -3	327	Kein Fehler	Kein Fehler
  1	 12	3632	102	32559	  3	351	Kein Fehler	Kein Fehler
  1	 14	4435	32559	102	 -3	379	Kein Fehler	Kein Fehler
  1	 16	5363	102	32559	  3	431	Kein Fehler	Kein Fehler
  1	 18	6342	32559	102	 -3	413	Kein Fehler	Kein Fehler
  1	 20	7273	102	32559	  3	441	Kein Fehler	Kein Fehler
  1	 22	8249	32559	102	 -3	483	Kein Fehler	Kein Fehler
  1	 24	9304	102	32559	  3	475	Kein Fehler	Kein Fehler
  1	 26	10355	32559	102	 -3	429	Kein Fehler	Kein Fehler
  1	 28	11309	102	32559	  3	461	Kein Fehler	Kein Fehler
  1	 30	12370	32559	102	 -3	471	Kein Fehler	Kein Fehler
  1	 32	13411	102	32559	  3	475	Kein Fehler	Kein Fehler
  1	 34	14473	32559	102	 -3	477	Kein Fehler	Kein Fehler
  1	 36	15569	102	32559	  3	477	Kein Fehler	Kein Fehler
  1	 38	16614	32559	102	 -3	487	Kein Fehler	Kein Fehler
  1	 40	17710	102	32559	  3	457	Kein Fehler	Kein Fehler
  1	 42	18754	32559	102	 -3	517	Kein Fehler	Kein Fehler
  1	 44	19901	102	32559	  3	539	Kein Fehler	Kein Fehler
  1	 46	21072	32559	102	 -3	529	Kein Fehler	Kein Fehler
  1	 48	22262	102	32559	  3	461	Kein Fehler	Kein Fehler
  1	 50	23279	32559	102	 -3	483	Kein Fehler	Kein Fehler
  1	 52	24333	102	32559	  3	509	Kein Fehler	Kein Fehler
  1	 54	25447	32559	102	 -3	545	Kein Fehler	Kein Fehler
  1	 56	26660	102	32559	  3	555	Kein Fehler	Kein Fehler
  1	 58	27922	32559	102	 -3	469	Kein Fehler	Kein Fehler
  1	 60	28997	102	32559	  3	513	Kein Fehler	Kein Fehler
  1	 62	30140	32559	101	 -2	505	Kein Fehler	Kein Fehler
  1	 64	31304	101	32558	  3	551	Kein Fehler	Kein Fehler
  1	 66	32582	32558	101	 -3	529	Kein Fehler	Kein Fehler
  1	 68	33812	101	32558	  3	571	Kein Fehler	Kein Fehler
  1	 70	35076	32558	101	 -3	565	Kein Fehler	Kein Fehler
  1	 72	36392	101	32558	  3	561	Kein Fehler	Kein Fehler
  1	 74	37656	32558	101	 -3	541	Kein Fehler	Kein Fehler
  1	 76	39036	101	32558	  3	581	Kein Fehler	Kein Fehler
  1	 78	40366	32558	101	 -3	579	Kein Fehler	Kein Fehler
  1	 80	41718	101	32558	  3	575	Kein Fehler	Kein Fehler
  1	 82	43109	32558	101	 -3	587	Kein Fehler	Kein Fehler
  1	 84	44485	101	32558	  3	565	Kein Fehler	Kein Fehler
  1	 86	46197	32558	101	 -3	533	Kein Fehler	Kein Fehler
  1	 88	47453	101	32558	  3	545	Kein Fehler	Kein Fehler
  1	 90	48684	32558	101	 -3	603	Kein Fehler	Kein Fehler
  1	 92	50211	101	32558	  3	551	Kein Fehler	Kein Fehler
  1	 94	51465	32558	101	 -3	579	Kein Fehler	Kein Fehler
  1	 96	52868	101	32558	  3	601	Kein Fehler	Kein Fehler
  1	 98	54210	32558	101	 -3	589	Kein Fehler	Kein Fehler
  1	100	55585	101	32558	  3	583	Kein Fehler	Kein Fehler
  1	102	56936	32558	101	 -3	575	Kein Fehler	Kein Fehler
  1	104	58340	101	32558	  3	579	Kein Fehler	Kein Fehler
  1	106	59793	32558	101	 -3	545	Kein Fehler	Kein Fehler
  1	108	61078	101	32558	  3	567	Kein Fehler	Kein Fehler
  1	110	62361	32558	101	 -3	557	Kein Fehler	Kein Fehler
  1	112	63756	101	32558	  3	559	Kein Fehler	Kein Fehler
  1	114	65004	32558	101	 -3	557	Kein Fehler	Kein Fehler
  1	116	66291	101	32558	  3	581	Kein Fehler	Kein Fehler
  1	118	67703	32558	101	 -3	525	Kein Fehler	Kein Fehler
  1	120	68960	101	32558	  3	485	Kein Fehler	Kein Fehler
  1	122	70158	32558	101	 -3	561	Kein Fehler	Kein Fehler
  1	124	71403	101	32558	  3	539	Kein Fehler	Kein Fehler
  1	126	72654	32558	101	 -3	539	Kein Fehler	Kein Fehler
  1	128	73932	101	32558	  3	525	Kein Fehler	Kein Fehler
  1	130	75130	32558	101	 -3	521	Kein Fehler	Kein Fehler
  1	132	76283	101	32558	  3	525	Kein Fehler	Kein Fehler
  1	134	77480	32558	101	 -3	517	Kein Fehler	Kein Fehler
  1	136	78626	101	32559	  2	547	Kein Fehler	Kein Fehler
  1	138	79852	32559	102	 -3	529	Kein Fehler	Kein Fehler
  1	140	81073	102	32559	  3	499	Kein Fehler	Kein Fehler
  1	142	82163	32559	102	 -3	449	Kein Fehler	Kein Fehler
  1	144	83163	102	32559	  3	451	Kein Fehler	Kein Fehler
  1	146	84166	32559	102	 -3	515	Kein Fehler	Kein Fehler
  1	148	85318	102	32559	  3	469	Kein Fehler	Kein Fehler
  1	150	86351	32559	101	 -2	469	Kein Fehler	Kein Fehler
  1	152	87401	101	32558	  3	529	Kein Fehler	Kein Fehler
  1	154	88577	32558	101	 -3	481	Kein Fehler	Kein Fehler
  1	156	89762	101	32558	  3	475	Kein Fehler	Kein Fehler
  1	158	90814	32558	100	 -2	495	Kein Fehler	Kein Fehler
  1	160	91903	100	32557	  3	511	Kein Fehler	Kein Fehler
  1	162	93060	32557	100	 -3	479	Kein Fehler	Kein Fehler
  1	164	94117	100	32557	  3	421	Kein Fehler	Kein Fehler
  1	166	95038	32557	100	 -3	415	Kein Fehler	Kein Fehler
  1	168	95957	100	32558	  2	427	Kein Fehler	Kein Fehler
  1	170	96955	32558	100	 -2	349	Kein Fehler	Kein Fehler
  1	172	97739	100	32557	  3	359	Kein Fehler	Kein Fehler
  1	174	98521	32557	100	 -3	307	Kein Fehler	Kein Fehler
  1	176	99208	100	32557	  3	255	Kein Fehler	Kein Fehler
  1	178	99773	32557	100	 -3	241	Kein Fehler	Kein Fehler
C:\PET-Messungen\2015-10-18_20-07\Scans

Soll: v_Fahrt: 30,00 mm/s -- Fahrweg: 60 BIN
Ist:  v_Fahrt: 20,00 mm/s -- Fahrweg: 202,87 mm
