Ref	Proj	Pos	Pos	Pos	Diff	DAQ	Motor-	Fehler
 No	/ °	ROT	START	END	Enc	 No	LIN	ROT
---	---	---	---	---	---	---	---	---
  1	  0	  0	  0	100	  0	  0	Kein Fehler	   
  1	  0	2985	100	16332	 -2	2765	Kein Fehler	Kein Fehler
  1	  2	58711	16332	103	 -1	2865	Kein Fehler	Kein Fehler
  1	  4	66519	103	16332	  1	2849	Kein Fehler	Kein Fehler
  1	  6	74300	16332	103	 -1	2731	Kein Fehler	Kein Fehler
  1	  8	81925	103	16332	  1	2801	Kein Fehler	Kein Fehler
  1	 10	89635	16332	103	 -1	2829	Kein Fehler	Kein Fehler
  1	 12	97534	103	16332	  1	2843	Kein Fehler	Kein Fehler
  1	 14	105121	16332	103	 -1	2749	Kein Fehler	Kein Fehler
  1	 16	112724	103	16332	  1	2735	Kein Fehler	Kein Fehler
  1	 18	120136	16332	102	  0	2761	Kein Fehler	Kein Fehler
  1	 20	127578	102	16331	  1	2809	Kein Fehler	Kein Fehler
  1	 22	135077	16331	101	  0	2765	Kein Fehler	Kein Fehler
  1	 24	142419	101	16330	  1	2705	Kein Fehler	Kein Fehler
  1	 26	150554	16330	101	 -1	2779	Kein Fehler	Kein Fehler
  1	 28	158211	101	16330	  1	2771	Kein Fehler	Kein Fehler
  1	 30	165723	16330	101	 -1	2851	Kein Fehler	Kein Fehler
  1	 32	173246	101	16330	  1	2769	Kein Fehler	Kein Fehler
  1	 34	180664	16330	101	 -1	2751	Kein Fehler	Kein Fehler
  1	 36	188127	101	16330	  1	2941	Kein Fehler	Kein Fehler
  1	 38	195936	16330	101	 -1	2811	Kein Fehler	Kein Fehler
  1	 40	203786	101	16330	  1	2849	Kein Fehler	Kein Fehler
  1	 42	211535	16330	101	 -1	2859	Kein Fehler	Kein Fehler
  1	 44	219774	101	16331	  0	2947	Kein Fehler	Kein Fehler
  1	 46	227759	16331	102	 -1	2775	Kein Fehler	Kein Fehler
  1	 48	236125	102	16331	  1	2859	Kein Fehler	Kein Fehler
  1	 50	244008	16331	101	  0	2861	Kein Fehler	Kein Fehler
  1	 52	251894	101	16330	  1	2717	Kein Fehler	Kein Fehler
  1	 54	259303	16330	101	 -1	2821	Kein Fehler	Kein Fehler
  1	 56	267124	101	16330	  1	2799	Kein Fehler	Kein Fehler
  1	 58	275149	16330	101	 -1	2765	Kein Fehler	Kein Fehler
  1	 60	282914	101	16331	  0	2731	Kein Fehler	Kein Fehler
  1	 62	290574	16331	102	 -1	2773	Kein Fehler	Kein Fehler
  1	 64	298409	102	16331	  1	2923	Kein Fehler	Kein Fehler
  1	 66	306229	16331	102	 -1	2951	Kein Fehler	Kein Fehler
  1	 68	314251	102	16331	  1	2865	Kein Fehler	Kein Fehler
  1	 70	321948	16331	102	 -1	2793	Kein Fehler	Kein Fehler
  1	 72	329415	102	16331	  1	2735	Kein Fehler	Kein Fehler
  1	 74	336796	16331	102	 -1	2831	Kein Fehler	Kein Fehler
  1	 76	345000	102	16331	  1	2853	Kein Fehler	Kein Fehler
  1	 78	352917	16331	102	 -1	2713	Kein Fehler	Kein Fehler
  1	 80	360545	102	16331	  1	2743	Kein Fehler	Kein Fehler
  1	 82	368182	16331	102	 -1	2815	Kein Fehler	Kein Fehler
  1	 84	376808	102	16332	  0	2765	Kein Fehler	Kein Fehler
  1	 86	385195	16332	103	 -1	2719	Kein Fehler	Kein Fehler
  1	 88	392750	103	16332	  1	2671	Kein Fehler	Kein Fehler
  1	 90	400201	16332	103	 -1	2845	Kein Fehler	Kein Fehler
  1	 92	407929	103	16332	  1	2781	Kein Fehler	Kein Fehler
  1	 94	415334	16332	102	  0	2841	Kein Fehler	Kein Fehler
  1	 96	423052	102	16331	  1	2843	Kein Fehler	Kein Fehler
  1	 98	430540	16331	102	 -1	2907	Kein Fehler	Kein Fehler
  1	100	438329	102	16331	  1	2863	Kein Fehler	Kein Fehler
  1	102	446095	16331	102	 -1	2795	Kein Fehler	Kein Fehler
  1	104	453655	102	16331	  1	2775	Kein Fehler	Kein Fehler
  1	106	461282	16331	102	 -1	2875	Kein Fehler	Kein Fehler
  1	108	469031	102	16332	  0	2777	Kein Fehler	Kein Fehler
  1	110	477522	16332	103	 -1	2807	Kein Fehler	Kein Fehler
  1	112	485497	103	16332	  1	2925	Kein Fehler	Kein Fehler
  1	114	493395	16332	102	  0	2851	Kein Fehler	Kein Fehler
  1	116	501080	102	16331	  1	2869	Kein Fehler	Kein Fehler
  1	118	508725	16331	101	  0	2819	Kein Fehler	Kein Fehler
  1	120	516601	101	16330	  1	2761	Kein Fehler	Kein Fehler
  1	122	524254	16330	100	  0	2921	Kein Fehler	Kein Fehler
  1	124	532000	100	16329	  1	2829	Kein Fehler	Kein Fehler
  1	126	539510	16329	100	 -1	2919	Kein Fehler	Kein Fehler
  1	128	547650	100	16329	  1	2813	Kein Fehler	Kein Fehler
  1	130	555212	16329	100	 -1	2753	Kein Fehler	Kein Fehler
  1	132	562600	100	16329	  1	2813	Kein Fehler	Kein Fehler
  1	134	570664	16329	100	 -1	2851	Kein Fehler	Kein Fehler
  1	136	578490	100	16330	  0	2781	Kein Fehler	Kein Fehler
  1	138	586582	16330	100	  0	2731	Kein Fehler	Kein Fehler
  1	140	594623	100	16329	  1	2905	Kein Fehler	Kein Fehler
  1	142	602910	16329	100	 -1	2887	Kein Fehler	Kein Fehler
  1	144	610605	100	16329	  1	2877	Kein Fehler	Kein Fehler
  1	146	618251	16329	 99	  0	2841	Kein Fehler	Kein Fehler
  1	148	625872	 99	16328	  1	2805	Kein Fehler	Kein Fehler
  1	150	633531	16328	 99	 -1	2837	Kein Fehler	Kein Fehler
  1	152	641151	 99	16328	  1	2805	Kein Fehler	Kein Fehler
  1	154	648802	16328	 99	 -1	2823	Kein Fehler	Kein Fehler
  1	156	656553	 99	16328	  1	2831	Kein Fehler	Kein Fehler
  1	158	664107	16328	 99	 -1	2855	Kein Fehler	Kein Fehler
  1	160	672147	 99	16328	  1	2897	Kein Fehler	Kein Fehler
  1	162	679758	16328	 98	  0	2717	Kein Fehler	Kein Fehler
  1	164	687085	 98	16327	  1	2841	Kein Fehler	Kein Fehler
  1	166	694643	16327	 98	 -1	2873	Kein Fehler	Kein Fehler
  1	168	702297	 98	16327	  1	2753	Kein Fehler	Kein Fehler
  1	170	709638	16327	 97	  0	2769	Kein Fehler	Kein Fehler
  1	172	717303	 97	16326	  1	2771	Kein Fehler	Kein Fehler
  1	174	724753	16326	 97	 -1	2827	Kein Fehler	Kein Fehler
  1	176	732605	 97	16326	  1	2763	Kein Fehler	Kein Fehler
  1	178	740215	16326	 97	 -1	2791	Kein Fehler	Kein Fehler
C:\PET-Messungen\2015-10-18_19-20\Scans

Soll: v_Fahrt: 22,00 mm/s -- Fahrweg: 30 BIN
Ist:  v_Fahrt: 20,00 mm/s -- Fahrweg: 101,44 mm
