Ref	Proj	Pos	Pos	Pos	Diff	DAQ	Motor-	Fehler
 No	/ °	ROT	START	END	Enc	 No	LIN	ROT
---	---	---	---	---	---	---	---	---
  1	  0	  0	  0	100	  0	  0	Kein Fehler	   
  1	  0	296	100	21741	 -1	473	Kein Fehler	Kein Fehler
  1	  2	5993	21741	102	 -1	447	Kein Fehler	Kein Fehler
  1	  4	7168	102	21741	  1	507	Kein Fehler	Kein Fehler
  1	  6	8375	21741	102	 -1	439	Kein Fehler	Kein Fehler
  1	  8	9459	102	21741	  1	497	Kein Fehler	Kein Fehler
  1	 10	10664	21741	102	 -1	471	Kein Fehler	Kein Fehler
  1	 12	11850	102	21741	  1	483	Kein Fehler	Kein Fehler
  1	 14	12996	21741	102	 -1	513	Kein Fehler	Kein Fehler
  1	 16	14265	102	21741	  1	449	Kein Fehler	Kein Fehler
  1	 18	15342	21741	102	 -1	463	Kein Fehler	Kein Fehler
  1	 20	16449	102	21741	  1	495	Kein Fehler	Kein Fehler
  1	 22	17712	21741	102	 -1	457	Kein Fehler	Kein Fehler
  1	 24	18797	102	21741	  1	469	Kein Fehler	Kein Fehler
  1	 26	20004	21741	102	 -1	503	Kein Fehler	Kein Fehler
  1	 28	21190	102	21741	  1	475	Kein Fehler	Kein Fehler
  1	 30	22310	21741	102	 -1	481	Kein Fehler	Kein Fehler
  1	 32	23484	102	21741	  1	457	Kein Fehler	Kein Fehler
  1	 34	24595	21741	102	 -1	471	Kein Fehler	Kein Fehler
  1	 36	25721	102	21741	  1	461	Kein Fehler	Kein Fehler
  1	 38	26811	21741	101	  0	487	Kein Fehler	Kein Fehler
  1	 40	27962	101	21740	  1	467	Kein Fehler	Kein Fehler
  1	 42	29115	21740	101	 -1	467	Kein Fehler	Kein Fehler
  1	 44	30295	101	21740	  1	455	Kein Fehler	Kein Fehler
  1	 46	31396	21740	101	 -1	485	Kein Fehler	Kein Fehler
  1	 48	32555	101	21740	  1	461	Kein Fehler	Kein Fehler
  1	 50	33661	21740	101	 -1	463	Kein Fehler	Kein Fehler
  1	 52	34757	101	21740	  1	435	Kein Fehler	Kein Fehler
  1	 54	35954	21740	101	 -1	441	Kein Fehler	Kein Fehler
  1	 56	37016	101	21740	  1	433	Kein Fehler	Kein Fehler
  1	 58	38052	21740	101	 -1	471	Kein Fehler	Kein Fehler
  1	 60	39291	101	21740	  1	473	Kein Fehler	Kein Fehler
  1	 62	40439	21740	101	 -1	465	Kein Fehler	Kein Fehler
  1	 64	41558	101	21740	  1	423	Kein Fehler	Kein Fehler
  1	 66	42618	21740	101	 -1	465	Kein Fehler	Kein Fehler
  1	 68	43747	101	21740	  1	469	Kein Fehler	Kein Fehler
  1	 70	44985	21740	101	 -1	507	Kein Fehler	Kein Fehler
  1	 72	46167	101	21740	  1	465	Kein Fehler	Kein Fehler
  1	 74	47273	21740	101	 -1	449	Kein Fehler	Kein Fehler
  1	 76	48420	101	21740	  1	473	Kein Fehler	Kein Fehler
  1	 78	49585	21740	101	 -1	499	Kein Fehler	Kein Fehler
  1	 80	50737	101	21740	  1	433	Kein Fehler	Kein Fehler
  1	 82	51799	21740	101	 -1	499	Kein Fehler	Kein Fehler
  1	 84	53032	101	21740	  1	487	Kein Fehler	Kein Fehler
  1	 86	54623	21740	101	 -1	457	Kein Fehler	Kein Fehler
  1	 88	55672	101	21740	  1	461	Kein Fehler	Kein Fehler
  1	 90	56808	21740	101	 -1	441	Kein Fehler	Kein Fehler
  1	 92	57871	101	21740	  1	483	Kein Fehler	Kein Fehler
  1	 94	59036	21740	101	 -1	467	Kein Fehler	Kein Fehler
  1	 96	60453	101	21740	  1	479	Kein Fehler	Kein Fehler
  1	 98	61666	21740	101	 -1	505	Kein Fehler	Kein Fehler
  1	100	62855	101	21740	  1	455	Kein Fehler	Kein Fehler
  1	102	63968	21740	101	 -1	449	Kein Fehler	Kein Fehler
  1	104	65042	101	21740	  1	461	Kein Fehler	Kein Fehler
  1	106	66161	21740	101	 -1	455	Kein Fehler	Kein Fehler
  1	108	67247	101	21740	  1	453	Kein Fehler	Kein Fehler
  1	110	68360	21740	101	 -1	451	Kein Fehler	Kein Fehler
  1	112	69436	101	21740	  1	497	Kein Fehler	Kein Fehler
  1	114	70670	21740	101	 -1	505	Kein Fehler	Kein Fehler
  1	116	71860	101	21740	  1	467	Kein Fehler	Kein Fehler
  1	118	73071	21740	101	 -1	473	Kein Fehler	Kein Fehler
  1	120	74216	101	21741	  0	481	Kein Fehler	Kein Fehler
  1	122	75375	21741	102	 -1	491	Kein Fehler	Kein Fehler
  1	124	76556	102	21741	  1	445	Kein Fehler	Kein Fehler
  1	126	77616	21741	102	 -1	461	Kein Fehler	Kein Fehler
  1	128	78733	102	21741	  1	463	Kein Fehler	Kein Fehler
  1	130	79927	21741	102	 -1	461	Kein Fehler	Kein Fehler
  1	132	81016	102	21741	  1	461	Kein Fehler	Kein Fehler
  1	134	82142	21741	102	 -1	455	Kein Fehler	Kein Fehler
  1	136	83212	102	21741	  1	407	Kein Fehler	Kein Fehler
  1	138	84227	21741	102	 -1	487	Kein Fehler	Kein Fehler
  1	140	85420	102	21741	  1	491	Kein Fehler	Kein Fehler
  1	142	86578	21741	102	 -1	465	Kein Fehler	Kein Fehler
  1	144	87678	102	21741	  1	457	Kein Fehler	Kein Fehler
  1	146	88815	21741	102	 -1	433	Kein Fehler	Kein Fehler
  1	148	89854	102	21741	  1	463	Kein Fehler	Kein Fehler
  1	150	90993	21741	102	 -1	477	Kein Fehler	Kein Fehler
  1	152	92143	102	21741	  1	447	Kein Fehler	Kein Fehler
  1	154	93242	21741	102	 -1	481	Kein Fehler	Kein Fehler
  1	156	94381	102	21741	  1	465	Kein Fehler	Kein Fehler
  1	158	95485	21741	102	 -1	461	Kein Fehler	Kein Fehler
  1	160	96568	102	21741	  1	481	Kein Fehler	Kein Fehler
  1	162	97731	21741	102	 -1	471	Kein Fehler	Kein Fehler
  1	164	98846	102	21741	  1	471	Kein Fehler	Kein Fehler
  1	166	99974	21741	102	 -1	483	Kein Fehler	Kein Fehler
  1	168	101118	102	21741	  1	469	Kein Fehler	Kein Fehler
  1	170	102244	21741	102	 -1	451	Kein Fehler	Kein Fehler
  1	172	103295	102	21741	  1	453	Kein Fehler	Kein Fehler
  1	174	104390	21741	102	 -1	469	Kein Fehler	Kein Fehler
  1	176	105503	102	21741	  1	463	Kein Fehler	Kein Fehler
  1	178	106652	21741	102	 -1	465	Kein Fehler	Kein Fehler
C:\PET-Messungen\2015-10-18_17-49\Scans

Soll: v_Fahrt: 22,00 mm/s -- Fahrweg: 40 BIN
Ist:  v_Fahrt: 20,00 mm/s -- Fahrweg: 135,25 mm
