[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 10:51:42
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250,0000 to 800,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	2.989
252.0	4.594
254.0	5.994
256.0	6.042
258.0	5.969
260.0	5.695
262.0	5.853
264.0	5.609
266.0	5.701
268.0	5.505
270.0	5.341
272.0	5.426
274.0	5.811
276.0	6.091
278.0	6.097
280.0	6.018
282.0	5.554
284.0	4.858
286.0	5.249
288.0	5.035
290.0	4.694
292.0	5.048
294.0	3.375
296.0	1.428
298.0	1.587
300.0	1.758
302.0	2.411
304.0	3.955
306.0	3.699
308.0	3.735
310.0	2.521
312.0	2.643
314.0	2.240
316.0	2.765
318.0	5.035
320.0	5.084
322.0	5.859
324.0	5.255
326.0	4.633
328.0	5.151
330.0	5.127
332.0	5.023
334.0	5.017
336.0	5.078
338.0	5.164
340.0	5.383
342.0	5.511
344.0	5.566
346.0	5.640
348.0	5.676
350.0	5.865
352.0	5.951
354.0	6.104
356.0	6.195
358.0	6.287
360.0	6.299
362.0	6.354
364.0	6.482
366.0	6.433
368.0	6.592
370.0	6.702
372.0	6.830
374.0	7.001
376.0	7.043
378.0	7.263
380.0	7.355
382.0	7.452
384.0	7.550
386.0	7.550
388.0	7.635
390.0	7.703
392.0	7.739
394.0	7.806
396.0	7.813
398.0	7.794
400.0	7.813
402.0	7.715
404.0	7.776
406.0	7.715
408.0	7.697
410.0	7.758
412.0	7.678
414.0	7.782
416.0	7.770
418.0	7.764
420.0	7.697
422.0	7.605
424.0	7.568
426.0	7.483
428.0	7.452
430.0	7.422
432.0	7.324
434.0	7.275
436.0	7.227
438.0	7.129
440.0	7.092
442.0	6.989
444.0	6.934
446.0	6.873
448.0	6.775
450.0	6.696
452.0	6.580
454.0	6.519
456.0	6.427
458.0	6.317
460.0	6.244
462.0	6.085
464.0	5.951
466.0	5.835
468.0	5.695
470.0	5.640
472.0	5.566
474.0	5.499
476.0	5.457
478.0	5.365
480.0	5.322
482.0	5.273
484.0	5.249
486.0	5.225
488.0	5.176
490.0	5.170
492.0	5.115
494.0	5.084
496.0	5.103
498.0	5.072
500.0	5.090
502.0	5.084
504.0	5.060
506.0	5.066
508.0	5.066
510.0	5.042
512.0	5.035
514.0	5.054
516.0	5.054
518.0	5.103
520.0	5.121
522.0	5.096
524.0	5.096
526.0	5.029
528.0	4.950
530.0	4.950
532.0	4.938
534.0	4.987
536.0	5.072
538.0	5.090
540.0	5.115
542.0	5.151
544.0	5.151
546.0	5.151
548.0	5.139
550.0	5.096
552.0	5.078
554.0	5.072
556.0	5.096
558.0	5.103
560.0	5.090
562.0	5.078
564.0	5.029
566.0	5.042
568.0	5.072
570.0	5.084
572.0	5.078
574.0	5.066
576.0	5.029
578.0	5.035
580.0	5.060
582.0	5.054
584.0	5.078
586.0	5.066
588.0	5.054
590.0	5.066
592.0	5.066
594.0	5.072
596.0	5.048
598.0	5.035
600.0	5.054
602.0	5.066
604.0	5.109
606.0	5.109
608.0	5.078
610.0	5.078
612.0	5.078
614.0	5.103
616.0	5.096
618.0	5.090
620.0	5.096
622.0	5.054
624.0	5.096
626.0	5.072
628.0	5.048
630.0	5.048
632.0	5.017
634.0	5.011
636.0	5.023
638.0	5.090
640.0	5.109
642.0	5.127
644.0	5.139
646.0	5.109
648.0	5.121
650.0	5.121
652.0	5.090
654.0	5.103
656.0	5.042
658.0	5.017
660.0	5.042
662.0	5.017
664.0	5.066
666.0	5.066
668.0	5.023
670.0	5.023
672.0	4.950
674.0	4.968
676.0	4.962
678.0	4.980
680.0	5.090
682.0	5.060
684.0	5.084
686.0	5.072
688.0	4.993
690.0	5.054
692.0	5.005
694.0	4.962
696.0	4.956
698.0	4.901
700.0	4.950
702.0	4.980
704.0	4.980
706.0	4.913
708.0	4.962
710.0	4.968
712.0	5.005
714.0	5.023
716.0	5.005
718.0	4.932
720.0	4.901
722.0	4.980
724.0	4.938
726.0	4.993
728.0	4.907
730.0	4.865
732.0	4.950
734.0	5.042
736.0	5.151
738.0	5.188
740.0	5.054
742.0	4.944
744.0	5.078
746.0	5.096
748.0	4.828
750.0	4.675
752.0	4.504
754.0	4.663
756.0	4.962
758.0	5.444
760.0	5.438
762.0	5.334
764.0	5.304
766.0	5.414
768.0	5.719
770.0	5.884
772.0	5.817
774.0	4.926
776.0	4.449
778.0	3.876
780.0	4.138
782.0	5.090
784.0	5.493
786.0	5.475
788.0	4.907
790.0	4.779
792.0	4.620
794.0	4.980
796.0	5.255
798.0	4.755
800.0	4.559
