[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 09:23:50
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	350,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
350.0	29.408
351.0	31.108
352.0	32.771
353.0	34.592
354.0	36.032
355.0	37.680
356.0	39.233
357.0	40.730
358.0	41.776
359.0	43.359
360.0	44.980
361.0	46.156
362.0	47.586
363.0	48.416
364.0	49.602
365.0	50.787
366.0	51.897
367.0	53.091
368.0	53.802
369.0	54.744
370.0	55.478
371.0	56.223
372.0	57.191
373.0	58.179
374.0	58.789
375.0	59.521
376.0	59.964
377.0	60.530
378.0	61.380
379.0	62.137
380.0	62.505
381.0	63.199
382.0	63.725
383.0	64.256
384.0	64.854
385.0	65.314
386.0	65.829
387.0	66.020
388.0	66.516
389.0	66.954
390.0	67.618
391.0	67.982
392.0	68.188
393.0	68.610
394.0	68.661
395.0	69.069
396.0	69.196
397.0	69.333
398.0	69.513
399.0	69.452
400.0	69.701
401.0	69.482
402.0	69.609
403.0	69.861
404.0	69.731
405.0	69.589
406.0	69.450
407.0	69.661
408.0	69.608
409.0	69.531
410.0	69.470
411.0	69.324
412.0	69.186
413.0	69.025
414.0	68.680
415.0	68.674
416.0	68.436
417.0	68.405
418.0	68.114
419.0	67.940
420.0	67.766
421.0	67.473
422.0	67.329
423.0	66.866
424.0	66.515
425.0	66.154
426.0	65.755
427.0	65.231
428.0	64.902
429.0	64.594
430.0	64.133
431.0	63.620
432.0	63.130
433.0	62.811
434.0	62.141
435.0	61.800
436.0	61.166
437.0	60.657
438.0	60.301
439.0	59.634
440.0	59.123
441.0	58.641
442.0	58.142
443.0	57.825
444.0	57.079
445.0	56.523
446.0	55.864
447.0	55.128
448.0	54.376
449.0	53.554
450.0	52.826
451.0	51.981
452.0	51.196
453.0	50.510
454.0	49.832
455.0	49.020
456.0	48.123
457.0	47.357
458.0	46.487
459.0	45.467
460.0	44.540
461.0	43.477
462.0	42.589
463.0	41.412
464.0	40.230
465.0	39.041
466.0	37.788
467.0	36.424
468.0	34.993
469.0	33.591
470.0	32.100
471.0	30.577
472.0	29.042
473.0	27.505
474.0	26.164
475.0	24.706
476.0	23.296
477.0	21.941
478.0	20.613
479.0	19.299
480.0	17.967
481.0	16.772
482.0	15.636
483.0	14.481
484.0	13.330
485.0	12.306
486.0	11.337
487.0	10.393
488.0	9.537
489.0	8.759
490.0	8.009
491.0	7.336
492.0	6.680
493.0	6.157
494.0	5.641
495.0	5.179
496.0	4.776
497.0	4.395
498.0	4.063
499.0	3.738
500.0	3.458
501.0	3.177
502.0	2.928
503.0	2.646
504.0	2.382
505.0	2.132
506.0	1.843
507.0	1.628
508.0	1.414
509.0	1.244
510.0	1.085
511.0	0.949
512.0	0.839
513.0	0.735
514.0	0.650
515.0	0.569
516.0	0.496
517.0	0.432
518.0	0.371
519.0	0.311
520.0	0.269
521.0	0.224
522.0	0.192
523.0	0.160
524.0	0.134
525.0	0.111
526.0	0.096
527.0	0.079
528.0	0.063
529.0	0.056
530.0	0.047
531.0	0.037
532.0	0.037
533.0	0.031
534.0	0.021
535.0	0.026
536.0	0.020
537.0	0.020
538.0	0.015
539.0	0.015
540.0	0.020
541.0	0.015
542.0	0.020
543.0	0.015
544.0	0.020
545.0	0.020
546.0	0.020
547.0	0.026
548.0	0.031
549.0	0.031
550.0	0.031
551.0	0.037
552.0	0.041
553.0	0.047
554.0	0.052
555.0	0.058
556.0	0.073
557.0	0.073
558.0	0.073
559.0	0.079
560.0	0.078
561.0	0.084
562.0	0.084
563.0	0.084
564.0	0.078
565.0	0.072
566.0	0.072
567.0	0.063
568.0	0.056
569.0	0.052
570.0	0.046
571.0	0.041
572.0	0.031
573.0	0.024
574.0	0.020
575.0	0.020
576.0	0.009
577.0	0.009
578.0	0.009
579.0	0.003
580.0	0.003
581.0	0.000
582.0	0.003
583.0	0.003
584.0	0.000
585.0	0.003
586.0	0.003
587.0	0.003
588.0	0.003
589.0	0.000
590.0	0.003
591.0	0.000
592.0	0.003
593.0	0.000
594.0	0.000
595.0	0.000
596.0	0.000
597.0	0.000
598.0	0.000
599.0	0.000
600.0	0.000
601.0	0.000
602.0	0.000
603.0	0.000
604.0	0.000
605.0	0.000
606.0	0.000
607.0	-0.003
608.0	0.000
609.0	0.003
610.0	0.000
611.0	0.000
612.0	0.000
613.0	-0.003
614.0	0.003
615.0	0.000
616.0	0.000
617.0	0.003
618.0	0.000
619.0	0.000
620.0	0.000
621.0	0.000
622.0	0.000
623.0	0.000
624.0	0.000
625.0	0.000
626.0	0.000
627.0	0.000
628.0	0.003
629.0	0.000
630.0	0.000
631.0	0.000
632.0	0.000
633.0	0.003
634.0	0.000
635.0	0.003
636.0	0.003
637.0	0.000
638.0	0.000
639.0	0.000
640.0	0.003
641.0	0.000
642.0	0.000
643.0	0.000
644.0	0.000
645.0	0.000
646.0	0.000
647.0	0.000
648.0	-0.003
649.0	0.000
650.0	0.000
651.0	0.000
652.0	0.000
653.0	0.000
654.0	0.000
655.0	0.000
656.0	0.000
657.0	0.000
658.0	0.000
659.0	0.000
660.0	0.000
661.0	0.000
662.0	0.000
663.0	0.000
664.0	0.000
665.0	-0.003
666.0	0.000
667.0	0.000
668.0	0.000
669.0	0.000
670.0	0.000
671.0	0.000
672.0	0.000
673.0	0.003
674.0	0.003
675.0	0.003
676.0	0.003
677.0	0.003
678.0	0.015
679.0	0.015
680.0	0.018
681.0	0.024
682.0	0.037
683.0	0.046
684.0	0.052
685.0	0.067
686.0	0.082
687.0	0.104
688.0	0.119
689.0	0.150
690.0	0.177
691.0	0.203
692.0	0.246
693.0	0.276
694.0	0.313
695.0	0.351
696.0	0.400
697.0	0.436
698.0	0.471
699.0	0.519
700.0	0.562
701.0	0.600
702.0	0.655
703.0	0.690
704.0	0.739
705.0	0.760
706.0	0.792
707.0	0.824
708.0	0.854
709.0	0.887
710.0	0.902
711.0	0.929
712.0	0.951
713.0	0.960
714.0	0.972
715.0	0.977
716.0	1.003
717.0	0.996
718.0	1.019
719.0	1.007
720.0	1.018
721.0	1.019
722.0	1.019
723.0	1.015
724.0	1.009
725.0	1.018
726.0	1.003
727.0	1.003
728.0	1.003
729.0	0.996
730.0	0.983
731.0	0.987
732.0	0.974
733.0	0.974
734.0	0.963
735.0	0.954
736.0	0.949
737.0	0.943
738.0	0.940
739.0	0.928
740.0	0.934
741.0	0.917
742.0	0.906
743.0	0.891
744.0	0.890
745.0	0.888
746.0	0.867
747.0	0.868
748.0	0.862
749.0	0.853
750.0	0.847
751.0	0.841
752.0	0.836
753.0	0.809
754.0	0.819
755.0	0.804
756.0	0.797
757.0	0.800
758.0	0.798
759.0	0.778
760.0	0.777
761.0	0.761
762.0	0.755
763.0	0.751
764.0	0.752
765.0	0.755
766.0	0.755
767.0	0.717
768.0	0.740
769.0	0.729
770.0	0.717
771.0	0.723
772.0	0.719
773.0	0.719
774.0	0.682
775.0	0.702
776.0	0.687
777.0	0.697
778.0	0.691
779.0	0.676
780.0	0.688
781.0	0.687
782.0	0.658
783.0	0.665
784.0	0.670
785.0	0.671
786.0	0.655
787.0	0.664
788.0	0.656
789.0	0.659
790.0	0.661
791.0	0.648
792.0	0.650
793.0	0.650
794.0	0.644
795.0	0.629
796.0	0.633
797.0	0.650
798.0	0.621
799.0	0.639
800.0	0.635
