[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 10:42:35
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250,0000 to 800,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	2.982
252.0	4.253
254.0	5.511
256.0	5.353
258.0	5.115
260.0	4.675
262.0	4.895
264.0	5.096
266.0	5.450
268.0	5.707
270.0	5.493
272.0	4.791
274.0	4.614
276.0	4.895
278.0	4.987
280.0	5.493
282.0	5.481
284.0	2.942
286.0	0.867
288.0	-1.410
290.0	-3.802
292.0	-0.946
294.0	2.106
296.0	4.431
298.0	6.659
300.0	6.610
302.0	4.010
304.0	3.241
306.0	2.911
308.0	2.295
310.0	2.545
312.0	2.631
314.0	2.307
316.0	2.649
318.0	3.644
320.0	3.973
322.0	4.944
324.0	4.871
326.0	5.109
328.0	5.078
330.0	5.115
332.0	4.901
334.0	4.761
336.0	4.816
338.0	4.871
340.0	5.127
342.0	5.151
344.0	5.060
346.0	4.816
348.0	4.669
350.0	4.730
352.0	4.700
354.0	4.834
356.0	4.871
358.0	4.828
360.0	5.060
362.0	5.066
364.0	5.023
366.0	5.115
368.0	4.974
370.0	4.962
372.0	5.042
374.0	5.066
376.0	5.060
378.0	5.078
380.0	5.048
382.0	5.066
384.0	5.145
386.0	5.127
388.0	5.090
390.0	5.066
392.0	5.035
394.0	5.054
396.0	5.090
398.0	5.084
400.0	5.072
402.0	5.054
404.0	5.017
406.0	4.987
408.0	4.956
410.0	4.926
412.0	4.950
414.0	5.005
416.0	5.066
418.0	5.066
420.0	5.035
422.0	4.993
424.0	4.987
426.0	5.048
428.0	5.060
430.0	5.078
432.0	5.054
434.0	5.005
436.0	5.029
438.0	5.011
440.0	5.023
442.0	5.066
444.0	5.042
446.0	5.072
448.0	5.078
450.0	5.072
452.0	5.103
454.0	5.103
456.0	5.066
458.0	5.078
460.0	5.072
462.0	5.090
464.0	5.121
466.0	5.109
468.0	5.115
470.0	5.109
472.0	5.103
474.0	5.096
476.0	5.096
478.0	5.078
480.0	5.078
482.0	5.078
484.0	5.078
486.0	5.103
488.0	5.151
490.0	5.225
492.0	5.365
494.0	5.579
496.0	5.902
498.0	6.244
500.0	6.635
502.0	7.025
504.0	7.379
506.0	7.739
508.0	8.002
510.0	8.221
512.0	8.350
514.0	8.459
516.0	8.557
518.0	8.594
520.0	8.667
522.0	8.734
524.0	8.771
526.0	8.820
528.0	8.771
530.0	8.807
532.0	8.899
534.0	8.966
536.0	9.076
538.0	9.088
540.0	9.082
542.0	9.100
544.0	9.125
546.0	9.143
548.0	9.131
550.0	9.076
552.0	9.052
554.0	9.052
556.0	9.058
558.0	9.100
560.0	9.119
562.0	9.149
564.0	9.186
566.0	9.192
568.0	9.186
570.0	9.167
572.0	9.149
574.0	9.155
576.0	9.186
578.0	9.143
580.0	9.137
582.0	9.149
584.0	9.186
586.0	9.198
588.0	9.167
590.0	9.149
592.0	9.100
594.0	9.088
596.0	9.106
598.0	9.070
600.0	9.076
602.0	9.082
604.0	9.094
606.0	9.088
608.0	9.033
610.0	9.082
612.0	9.058
614.0	9.082
616.0	9.131
618.0	9.088
620.0	9.100
622.0	9.131
624.0	9.131
626.0	9.113
628.0	9.052
630.0	9.021
632.0	9.009
634.0	9.045
636.0	9.094
638.0	9.106
640.0	9.064
642.0	9.045
644.0	9.027
646.0	9.009
648.0	9.070
650.0	9.113
652.0	9.180
654.0	9.210
656.0	9.204
658.0	9.180
660.0	9.198
662.0	9.192
664.0	9.216
666.0	9.198
668.0	9.161
670.0	9.167
672.0	9.143
674.0	9.186
676.0	9.131
678.0	9.052
680.0	9.064
682.0	9.033
684.0	9.186
686.0	9.290
688.0	9.302
690.0	9.338
692.0	9.155
694.0	9.045
696.0	8.972
698.0	8.911
700.0	8.978
702.0	9.076
704.0	9.198
706.0	9.204
708.0	9.235
710.0	9.186
712.0	9.052
714.0	9.027
716.0	8.966
718.0	9.033
720.0	9.027
722.0	9.064
724.0	9.125
726.0	9.204
728.0	9.131
730.0	9.064
732.0	9.137
734.0	9.174
736.0	9.198
738.0	9.534
740.0	9.387
742.0	9.290
744.0	9.210
746.0	8.936
748.0	8.893
750.0	8.783
752.0	9.137
754.0	9.003
756.0	9.082
758.0	9.222
760.0	8.942
762.0	9.241
764.0	9.167
766.0	8.990
768.0	8.917
770.0	8.490
772.0	8.057
774.0	8.350
776.0	8.765
778.0	9.497
780.0	10.046
782.0	9.692
784.0	9.485
786.0	8.868
788.0	8.685
790.0	9.052
792.0	8.716
794.0	9.015
796.0	8.902
798.0	8.423
800.0	8.475
