[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 09:13:58
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	350,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
350.0	-0.027
351.0	-0.032
352.0	-0.015
353.0	-0.021
354.0	-0.021
355.0	-0.027
356.0	-0.021
357.0	-0.015
358.0	-0.021
359.0	-0.040
360.0	-0.034
361.0	-0.038
362.0	-0.034
363.0	-0.027
364.0	-0.027
365.0	-0.034
366.0	-0.027
367.0	-0.027
368.0	-0.021
369.0	-0.015
370.0	-0.015
371.0	-0.015
372.0	-0.015
373.0	-0.009
374.0	-0.021
375.0	-0.015
376.0	-0.009
377.0	-0.009
378.0	-0.009
379.0	-0.015
380.0	-0.009
381.0	-0.015
382.0	-0.015
383.0	-0.009
384.0	-0.015
385.0	-0.003
386.0	-0.009
387.0	-0.009
388.0	-0.009
389.0	-0.009
390.0	-0.003
391.0	-0.009
392.0	-0.003
393.0	-0.009
394.0	-0.003
395.0	-0.003
396.0	-0.009
397.0	-0.003
398.0	-0.009
399.0	0.000
400.0	-0.003
401.0	-0.003
402.0	-0.003
403.0	-0.003
404.0	-0.009
405.0	-0.009
406.0	-0.003
407.0	-0.009
408.0	-0.003
409.0	-0.003
410.0	-0.003
411.0	-0.003
412.0	-0.003
413.0	-0.003
414.0	-0.003
415.0	-0.003
416.0	-0.003
417.0	-0.003
418.0	0.000
419.0	-0.009
420.0	-0.003
421.0	-0.003
422.0	-0.003
423.0	-0.003
424.0	-0.003
425.0	0.000
426.0	0.000
427.0	-0.003
428.0	0.000
429.0	-0.009
430.0	-0.003
431.0	0.000
432.0	0.000
433.0	-0.009
434.0	0.000
435.0	-0.003
436.0	0.000
437.0	0.000
438.0	-0.003
439.0	0.000
440.0	0.000
441.0	-0.003
442.0	-0.003
443.0	-0.003
444.0	0.000
445.0	-0.003
446.0	0.000
447.0	0.000
448.0	-0.003
449.0	0.000
450.0	-0.003
451.0	0.003
452.0	0.000
453.0	0.000
454.0	-0.003
455.0	-0.003
456.0	0.000
457.0	-0.003
458.0	0.000
459.0	0.000
460.0	0.000
461.0	0.003
462.0	-0.003
463.0	0.003
464.0	-0.003
465.0	0.000
466.0	0.000
467.0	-0.003
468.0	0.003
469.0	0.000
470.0	0.000
471.0	-0.003
472.0	-0.003
473.0	0.000
474.0	0.000
475.0	0.000
476.0	0.000
477.0	0.000
478.0	0.000
479.0	0.000
480.0	0.009
481.0	0.009
482.0	0.031
483.0	0.079
484.0	0.172
485.0	0.365
486.0	0.731
487.0	1.443
488.0	2.681
489.0	4.564
490.0	7.285
491.0	10.869
492.0	15.433
493.0	20.595
494.0	26.355
495.0	32.222
496.0	37.770
497.0	43.158
498.0	48.135
499.0	52.765
500.0	56.773
501.0	60.365
502.0	63.589
503.0	66.116
504.0	68.321
505.0	70.302
506.0	72.008
507.0	73.383
508.0	74.533
509.0	75.632
510.0	76.515
511.0	77.324
512.0	77.917
513.0	78.528
514.0	79.240
515.0	79.811
516.0	80.254
517.0	80.602
518.0	80.893
519.0	81.247
520.0	81.601
521.0	81.923
522.0	82.037
523.0	82.460
524.0	82.579
525.0	82.819
526.0	83.093
527.0	83.102
528.0	83.415
529.0	83.559
530.0	83.566
531.0	83.600
532.0	83.911
533.0	84.074
534.0	84.021
535.0	84.404
536.0	84.286
537.0	84.441
538.0	84.431
539.0	84.604
540.0	84.872
541.0	84.747
542.0	84.706
543.0	84.897
544.0	85.103
545.0	85.005
546.0	85.077
547.0	85.205
548.0	85.231
549.0	85.197
550.0	85.292
551.0	85.231
552.0	85.571
553.0	85.408
554.0	85.495
555.0	85.353
556.0	85.599
557.0	85.614
558.0	85.837
559.0	85.709
560.0	85.753
561.0	85.786
562.0	85.809
563.0	85.832
564.0	85.898
565.0	85.767
566.0	86.052
567.0	85.951
568.0	86.082
569.0	86.110
570.0	86.014
571.0	85.962
572.0	86.060
573.0	86.180
574.0	86.214
575.0	85.965
576.0	86.218
577.0	86.118
578.0	86.241
579.0	86.060
580.0	86.180
581.0	86.212
582.0	86.267
583.0	86.263
584.0	86.183
585.0	86.337
586.0	86.250
587.0	86.304
588.0	86.378
589.0	86.263
590.0	86.432
591.0	86.285
592.0	86.482
593.0	86.369
594.0	86.449
595.0	86.449
596.0	86.464
597.0	86.395
598.0	86.481
599.0	86.469
600.0	86.549
601.0	86.539
602.0	86.540
603.0	86.313
604.0	86.583
605.0	86.560
606.0	86.534
607.0	86.542
608.0	86.481
609.0	86.662
610.0	86.505
611.0	86.543
612.0	86.623
613.0	86.534
614.0	86.676
615.0	86.551
616.0	86.728
617.0	86.629
618.0	86.565
619.0	86.551
620.0	86.510
621.0	86.687
622.0	86.502
623.0	86.513
624.0	86.578
625.0	86.491
626.0	86.603
627.0	86.351
628.0	86.626
629.0	86.577
630.0	86.635
631.0	86.595
632.0	86.696
633.0	86.649
634.0	86.797
635.0	86.639
636.0	86.731
637.0	86.580
638.0	86.891
639.0	86.742
640.0	86.833
641.0	86.694
642.0	86.792
643.0	86.757
644.0	86.642
645.0	86.736
646.0	86.807
647.0	86.598
648.0	86.717
649.0	86.589
650.0	86.801
651.0	86.717
652.0	86.819
653.0	86.731
654.0	86.726
655.0	86.833
656.0	86.803
657.0	86.705
658.0	86.711
659.0	86.543
660.0	86.650
661.0	86.542
662.0	86.748
663.0	86.664
664.0	86.748
665.0	86.649
666.0	86.485
667.0	86.583
668.0	86.635
669.0	86.813
670.0	86.717
671.0	86.848
672.0	86.610
673.0	86.632
674.0	86.696
675.0	86.780
676.0	86.661
677.0	86.629
678.0	86.673
679.0	86.635
680.0	86.584
681.0	86.554
682.0	86.765
683.0	86.754
684.0	86.671
685.0	86.617
686.0	86.909
687.0	86.736
688.0	86.772
689.0	86.853
690.0	86.703
691.0	86.766
692.0	86.415
693.0	86.703
694.0	86.681
695.0	86.772
696.0	86.656
697.0	86.749
698.0	86.754
699.0	86.598
700.0	86.627
701.0	86.842
702.0	86.758
703.0	86.829
704.0	86.691
705.0	86.876
706.0	86.549
707.0	86.812
708.0	86.613
709.0	86.560
710.0	86.580
711.0	86.945
712.0	86.801
713.0	86.693
714.0	86.613
715.0	86.707
716.0	86.621
717.0	86.679
718.0	86.612
719.0	86.682
720.0	86.635
721.0	86.543
722.0	86.880
723.0	86.763
724.0	86.603
725.0	86.658
726.0	86.649
727.0	86.678
728.0	86.612
729.0	86.801
730.0	86.603
731.0	86.795
732.0	86.583
733.0	86.661
734.0	86.569
735.0	86.696
736.0	86.720
737.0	86.781
738.0	86.816
739.0	86.856
740.0	86.676
741.0	86.745
742.0	86.774
743.0	86.882
744.0	86.424
745.0	86.484
746.0	86.627
747.0	86.601
748.0	86.874
749.0	86.725
750.0	86.848
751.0	86.656
752.0	86.633
753.0	86.789
754.0	86.763
755.0	86.789
756.0	86.699
757.0	86.513
758.0	86.685
759.0	86.632
760.0	86.862
761.0	86.554
762.0	86.668
763.0	86.699
764.0	86.673
765.0	86.568
766.0	86.731
767.0	86.620
768.0	86.549
769.0	86.577
770.0	86.604
771.0	86.577
772.0	86.870
773.0	86.542
774.0	86.902
775.0	86.533
776.0	86.687
777.0	86.543
778.0	86.510
779.0	86.644
780.0	86.751
781.0	86.504
782.0	86.557
783.0	86.391
784.0	86.674
785.0	86.456
786.0	86.679
787.0	86.557
788.0	86.316
789.0	86.559
790.0	86.530
791.0	86.780
792.0	86.667
793.0	86.484
794.0	86.421
795.0	86.429
796.0	86.923
797.0	86.540
798.0	86.620
799.0	86.664
800.0	86.324
