[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 09:20:51
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	350,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
350.0	-0.027
351.0	-0.027
352.0	-0.021
353.0	-0.027
354.0	-0.015
355.0	-0.021
356.0	-0.015
357.0	-0.021
358.0	-0.021
359.0	-0.050
360.0	-0.044
361.0	-0.034
362.0	-0.034
363.0	-0.027
364.0	-0.034
365.0	-0.021
366.0	-0.021
367.0	-0.021
368.0	-0.021
369.0	-0.021
370.0	-0.021
371.0	-0.015
372.0	-0.021
373.0	-0.009
374.0	-0.015
375.0	-0.009
376.0	-0.015
377.0	-0.009
378.0	-0.009
379.0	-0.015
380.0	-0.009
381.0	-0.015
382.0	-0.009
383.0	-0.003
384.0	-0.009
385.0	-0.009
386.0	-0.015
387.0	-0.003
388.0	-0.009
389.0	-0.009
390.0	-0.003
391.0	-0.009
392.0	-0.003
393.0	-0.009
394.0	-0.009
395.0	-0.003
396.0	-0.003
397.0	-0.003
398.0	-0.003
399.0	-0.009
400.0	-0.009
401.0	-0.009
402.0	-0.003
403.0	-0.009
404.0	-0.003
405.0	-0.009
406.0	-0.003
407.0	-0.009
408.0	-0.009
409.0	-0.003
410.0	-0.009
411.0	-0.003
412.0	-0.003
413.0	-0.003
414.0	-0.003
415.0	-0.003
416.0	-0.003
417.0	-0.003
418.0	-0.003
419.0	-0.003
420.0	-0.003
421.0	-0.003
422.0	-0.003
423.0	-0.003
424.0	-0.003
425.0	-0.003
426.0	-0.003
427.0	-0.009
428.0	-0.003
429.0	-0.003
430.0	0.000
431.0	-0.003
432.0	0.000
433.0	-0.003
434.0	0.000
435.0	-0.003
436.0	0.000
437.0	-0.003
438.0	0.000
439.0	0.000
440.0	-0.003
441.0	-0.003
442.0	-0.003
443.0	0.000
444.0	0.000
445.0	-0.003
446.0	-0.003
447.0	-0.003
448.0	-0.003
449.0	-0.003
450.0	-0.003
451.0	-0.003
452.0	-0.003
453.0	-0.003
454.0	-0.003
455.0	-0.003
456.0	0.000
457.0	0.000
458.0	0.000
459.0	-0.003
460.0	0.000
461.0	0.000
462.0	0.000
463.0	0.003
464.0	0.000
465.0	0.000
466.0	0.000
467.0	0.000
468.0	0.000
469.0	-0.003
470.0	0.003
471.0	0.000
472.0	0.000
473.0	0.000
474.0	0.000
475.0	0.000
476.0	0.000
477.0	0.000
478.0	0.000
479.0	-0.003
480.0	0.000
481.0	0.000
482.0	0.003
483.0	0.000
484.0	0.000
485.0	0.000
486.0	0.000
487.0	0.000
488.0	0.000
489.0	0.000
490.0	0.000
491.0	0.000
492.0	0.000
493.0	0.000
494.0	0.003
495.0	0.000
496.0	0.000
497.0	0.000
498.0	-0.003
499.0	0.003
500.0	0.000
501.0	0.000
502.0	-0.003
503.0	0.000
504.0	0.000
505.0	-0.003
506.0	0.000
507.0	0.000
508.0	0.000
509.0	0.000
510.0	0.000
511.0	-0.003
512.0	-0.003
513.0	0.000
514.0	-0.003
515.0	0.000
516.0	-0.003
517.0	0.000
518.0	0.000
519.0	0.000
520.0	0.000
521.0	0.000
522.0	-0.003
523.0	0.000
524.0	-0.003
525.0	0.000
526.0	0.000
527.0	0.000
528.0	-0.003
529.0	0.000
530.0	0.000
531.0	0.000
532.0	0.000
533.0	0.000
534.0	0.000
535.0	0.000
536.0	0.000
537.0	0.000
538.0	0.000
539.0	0.003
540.0	0.000
541.0	0.009
542.0	0.015
543.0	0.031
544.0	0.063
545.0	0.105
546.0	0.204
547.0	0.362
548.0	0.671
549.0	1.147
550.0	1.903
551.0	3.008
552.0	4.608
553.0	6.805
554.0	9.715
555.0	13.152
556.0	17.241
557.0	21.603
558.0	26.480
559.0	31.421
560.0	36.525
561.0	41.576
562.0	46.060
563.0	50.478
564.0	54.355
565.0	58.327
566.0	61.685
567.0	64.809
568.0	67.659
569.0	70.111
570.0	72.182
571.0	74.060
572.0	75.731
573.0	77.440
574.0	78.456
575.0	79.807
576.0	80.545
577.0	81.685
578.0	82.401
579.0	83.116
580.0	83.719
581.0	84.177
582.0	84.828
583.0	85.168
584.0	85.555
585.0	86.127
586.0	86.290
587.0	86.661
588.0	86.693
589.0	87.163
590.0	87.241
591.0	87.448
592.0	87.717
593.0	87.842
594.0	87.935
595.0	88.168
596.0	88.263
597.0	88.318
598.0	88.565
599.0	88.692
600.0	88.820
601.0	88.895
602.0	88.948
603.0	88.918
604.0	89.105
605.0	89.078
606.0	89.290
607.0	89.236
608.0	89.401
609.0	89.337
610.0	89.253
611.0	89.427
612.0	89.500
613.0	89.575
614.0	89.656
615.0	89.572
616.0	89.688
617.0	89.754
618.0	89.671
619.0	89.674
620.0	89.824
621.0	89.827
622.0	89.873
623.0	89.883
624.0	89.882
625.0	89.932
626.0	90.010
627.0	90.027
628.0	90.152
629.0	89.975
630.0	90.086
631.0	89.964
632.0	90.109
633.0	89.987
634.0	90.067
635.0	90.059
636.0	90.092
637.0	90.259
638.0	90.134
639.0	90.340
640.0	90.259
641.0	90.164
642.0	90.326
643.0	90.224
644.0	90.260
645.0	90.273
646.0	90.346
647.0	90.221
648.0	90.236
649.0	90.338
650.0	90.254
651.0	90.382
652.0	90.358
653.0	90.430
654.0	90.533
655.0	90.540
656.0	90.369
657.0	90.466
658.0	90.431
659.0	90.462
660.0	90.222
661.0	90.453
662.0	90.277
663.0	90.402
664.0	90.384
665.0	90.302
666.0	90.436
667.0	90.363
668.0	90.453
669.0	90.511
670.0	90.492
671.0	90.550
672.0	90.413
673.0	90.450
674.0	90.492
675.0	90.579
676.0	90.356
677.0	90.471
678.0	90.582
679.0	90.628
680.0	90.546
681.0	90.485
682.0	90.611
683.0	90.594
684.0	90.460
685.0	90.588
686.0	90.561
687.0	90.613
688.0	90.533
689.0	90.518
690.0	90.532
691.0	90.433
692.0	90.565
693.0	90.404
694.0	90.726
695.0	90.515
696.0	90.544
697.0	90.651
698.0	90.500
699.0	90.540
700.0	90.427
701.0	90.504
702.0	90.732
703.0	90.488
704.0	90.602
705.0	90.706
706.0	90.723
707.0	90.562
708.0	90.514
709.0	90.526
710.0	90.569
711.0	90.718
712.0	90.750
713.0	90.459
714.0	90.596
715.0	90.434
716.0	90.472
717.0	90.338
718.0	90.633
719.0	90.500
720.0	90.538
721.0	90.652
722.0	90.517
723.0	90.822
724.0	90.527
725.0	90.527
726.0	90.404
727.0	90.466
728.0	90.697
729.0	90.538
730.0	90.587
731.0	90.572
732.0	90.529
733.0	90.497
734.0	90.457
735.0	90.703
736.0	90.695
737.0	90.837
738.0	90.756
739.0	90.567
740.0	90.506
741.0	90.611
742.0	90.631
743.0	90.604
744.0	90.436
745.0	90.459
746.0	90.419
747.0	90.623
748.0	90.599
749.0	90.721
750.0	90.501
751.0	90.503
752.0	90.485
753.0	90.703
754.0	90.622
755.0	90.712
756.0	90.398
757.0	90.530
758.0	90.398
759.0	90.695
760.0	90.559
761.0	90.578
762.0	90.292
763.0	90.459
764.0	90.465
765.0	90.497
766.0	90.514
767.0	90.500
768.0	90.375
769.0	90.396
770.0	90.364
771.0	90.504
772.0	90.382
773.0	90.489
774.0	90.547
775.0	90.440
776.0	90.428
777.0	90.544
778.0	90.329
779.0	90.341
780.0	90.451
781.0	90.530
782.0	90.210
783.0	90.285
784.0	90.363
785.0	90.604
786.0	90.239
787.0	90.051
788.0	90.379
789.0	90.195
790.0	90.411
791.0	90.524
792.0	90.097
793.0	90.353
794.0	89.886
795.0	90.428
796.0	90.187
797.0	90.424
798.0	90.211
799.0	90.440
800.0	89.960
