[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2,43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29,01,2016 10:48:49
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm,):	250,0000 to 800,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250,0	1,685
252,0	2,078
254,0	3,394
256,0	3,595
258,0	4,211
260,0	4,797
262,0	4,846
264,0	4,962
266,0	4,877
268,0	5,157
270,0	4,858
272,0	4,803
274,0	4,932
276,0	4,816
278,0	4,773
280,0	4,730
282,0	4,669
284,0	7,526
286,0	3,784
288,0	5,420
290,0	3,278
292,0	-0,403
294,0	2,722
296,0	1,196
298,0	1,465
300,0	2,118
302,0	3,107
304,0	2,899
306,0	5,530
308,0	5,530
310,0	5,725
312,0	5,316
314,0	4,639
316,0	4,211
318,0	3,204
320,0	3,741
322,0	3,375
324,0	3,882
326,0	4,102
328,0	4,095
330,0	4,346
332,0	4,541
334,0	4,651
336,0	4,486
338,0	4,419
340,0	4,205
342,0	4,419
344,0	4,364
346,0	4,309
348,0	4,205
350,0	4,132
352,0	4,126
354,0	4,187
356,0	4,327
358,0	4,236
360,0	4,315
362,0	4,266
364,0	4,297
366,0	4,346
368,0	4,291
370,0	4,303
372,0	4,260
374,0	4,254
376,0	4,376
378,0	4,364
380,0	4,407
382,0	4,480
384,0	4,462
386,0	4,456
388,0	4,395
390,0	4,443
392,0	4,462
394,0	4,504
396,0	4,498
398,0	4,443
400,0	4,486
402,0	4,492
404,0	4,584
406,0	4,584
408,0	4,547
410,0	4,541
412,0	4,486
414,0	4,535
416,0	4,529
418,0	4,510
420,0	4,523
422,0	4,486
424,0	4,480
426,0	4,517
428,0	4,517
430,0	4,517
432,0	4,541
434,0	4,541
436,0	4,517
438,0	4,541
440,0	4,510
442,0	4,504
444,0	4,565
446,0	4,529
448,0	4,572
450,0	4,584
452,0	4,553
454,0	4,565
456,0	4,529
458,0	4,547
460,0	4,565
462,0	4,547
464,0	4,578
466,0	4,559
468,0	4,565
470,0	4,584
472,0	4,559
474,0	4,553
476,0	4,578
478,0	4,608
480,0	4,633
482,0	4,657
484,0	4,651
486,0	4,675
488,0	4,694
490,0	4,694
492,0	4,718
494,0	4,712
496,0	4,712
498,0	4,706
500,0	4,700
502,0	4,694
504,0	4,694
506,0	4,700
508,0	4,651
510,0	4,675
512,0	4,694
514,0	4,663
516,0	4,688
518,0	4,614
520,0	4,584
522,0	4,584
524,0	4,626
526,0	4,651
528,0	4,620
530,0	4,614
532,0	4,578
534,0	4,596
536,0	4,626
538,0	4,669
540,0	4,645
542,0	4,663
544,0	4,688
546,0	4,663
548,0	4,700
550,0	4,730
552,0	4,755
554,0	4,889
556,0	5,029
558,0	5,237
560,0	5,469
562,0	5,731
564,0	6,067
566,0	6,384
568,0	6,757
570,0	7,104
572,0	7,379
574,0	7,611
576,0	7,800
578,0	7,916
580,0	8,026
582,0	8,130
584,0	8,209
586,0	8,295
588,0	8,386
590,0	8,435
592,0	8,478
594,0	8,539
596,0	8,557
598,0	8,606
600,0	8,630
602,0	8,618
604,0	8,655
606,0	8,655
608,0	8,679
610,0	8,698
612,0	8,673
614,0	8,649
616,0	8,661
618,0	8,698
620,0	8,710
622,0	8,771
624,0	8,777
626,0	8,759
628,0	8,752
630,0	8,734
632,0	8,722
634,0	8,698
636,0	8,691
638,0	8,685
640,0	8,716
642,0	8,746
644,0	8,801
646,0	8,807
648,0	8,771
650,0	8,746
652,0	8,716
654,0	8,722
656,0	8,765
658,0	8,765
660,0	8,759
662,0	8,728
664,0	8,704
666,0	8,728
668,0	8,716
670,0	8,746
672,0	8,722
674,0	8,746
676,0	8,734
678,0	8,752
680,0	8,765
682,0	8,685
684,0	8,716
686,0	8,649
688,0	8,661
690,0	8,722
692,0	8,716
694,0	8,777
696,0	8,752
698,0	8,771
700,0	8,716
702,0	8,673
704,0	8,698
706,0	8,649
708,0	8,630
710,0	8,673
712,0	8,661
714,0	8,710
716,0	8,765
718,0	8,734
720,0	8,673
722,0	8,606
724,0	8,618
726,0	8,667
728,0	8,673
730,0	8,661
732,0	8,783
734,0	8,704
736,0	8,801
738,0	8,911
740,0	8,984
742,0	8,954
744,0	8,972
746,0	8,978
748,0	8,868
750,0	8,813
752,0	8,673
754,0	8,350
756,0	8,099
758,0	8,136
760,0	8,423
762,0	8,350
764,0	8,453
766,0	8,160
768,0	7,849
770,0	8,228
772,0	8,167
774,0	8,459
776,0	8,307
778,0	7,727
780,0	8,038
782,0	7,648
784,0	8,258
786,0	8,600
788,0	8,502
790,0	8,954
792,0	8,728
794,0	8,643
796,0	8,371
798,0	8,215
800,0	7,907
