[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2,43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29,01,2016 10:45:58
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm,):	250,0000 to 800,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250,0	2,307
252,0	3,674
254,0	4,596
256,0	5,334
258,0	5,597
260,0	5,328
262,0	5,658
264,0	5,048
266,0	4,584
268,0	4,663
270,0	4,596
272,0	4,608
274,0	4,865
276,0	4,895
278,0	4,480
280,0	4,437
282,0	4,425
284,0	7,257
286,0	8,960
288,0	5,566
290,0	6,445
292,0	3,802
294,0	0,629
296,0	2,014
298,0	-0,537
300,0	-1,526
302,0	-1,154
304,0	-0,452
306,0	0,415
308,0	1,648
310,0	2,509
312,0	2,881
314,0	3,851
316,0	3,717
318,0	4,480
320,0	5,438
322,0	4,816
324,0	4,388
326,0	4,370
328,0	4,315
330,0	4,865
332,0	4,572
334,0	4,321
336,0	4,510
338,0	4,333
340,0	4,779
342,0	4,724
344,0	4,498
346,0	4,364
348,0	4,272
350,0	4,395
352,0	4,523
354,0	4,559
356,0	4,462
358,0	4,413
360,0	4,333
362,0	4,340
364,0	4,498
366,0	4,565
368,0	4,633
370,0	4,645
372,0	4,578
374,0	4,523
376,0	4,523
378,0	4,572
380,0	4,572
382,0	4,596
384,0	4,578
386,0	4,480
388,0	4,443
390,0	4,413
392,0	4,431
394,0	4,504
396,0	4,541
398,0	4,614
400,0	4,633
402,0	4,663
404,0	4,633
406,0	4,633
408,0	4,596
410,0	4,614
412,0	4,626
414,0	4,626
416,0	4,645
418,0	4,645
420,0	4,669
422,0	4,657
424,0	4,651
426,0	4,663
428,0	4,633
430,0	4,657
432,0	4,700
434,0	4,700
436,0	4,767
438,0	4,761
440,0	4,712
442,0	4,712
444,0	4,681
446,0	4,675
448,0	4,669
450,0	4,688
452,0	4,675
454,0	4,688
456,0	4,742
458,0	4,706
460,0	4,730
462,0	4,736
464,0	4,724
466,0	4,724
468,0	4,681
470,0	4,675
472,0	4,669
474,0	4,645
476,0	4,694
478,0	4,700
480,0	4,730
482,0	4,755
484,0	4,724
486,0	4,749
488,0	4,718
490,0	4,742
492,0	4,767
494,0	4,761
496,0	4,810
498,0	4,803
500,0	4,822
502,0	4,816
504,0	4,791
506,0	4,822
508,0	4,822
510,0	4,822
512,0	4,840
514,0	4,834
516,0	4,834
518,0	4,877
520,0	4,871
522,0	4,871
524,0	4,865
526,0	4,846
528,0	4,810
530,0	4,828
532,0	4,846
534,0	4,895
536,0	5,029
538,0	5,194
540,0	5,426
542,0	5,768
544,0	6,152
546,0	6,598
548,0	7,043
550,0	7,446
552,0	7,813
554,0	8,063
556,0	8,313
558,0	8,459
560,0	8,551
562,0	8,630
564,0	8,667
566,0	8,698
568,0	8,771
570,0	8,832
572,0	8,838
574,0	8,838
576,0	8,844
578,0	8,795
580,0	8,820
582,0	8,881
584,0	8,893
586,0	8,978
588,0	8,990
590,0	8,984
592,0	9,033
594,0	9,021
596,0	9,039
598,0	9,045
600,0	9,027
602,0	9,064
604,0	9,070
606,0	9,088
608,0	9,082
610,0	9,076
612,0	9,131
614,0	9,131
616,0	9,155
618,0	9,186
620,0	9,174
622,0	9,204
624,0	9,180
626,0	9,143
628,0	9,137
630,0	9,106
632,0	9,119
634,0	9,167
636,0	9,186
638,0	9,198
640,0	9,253
642,0	9,290
644,0	9,271
646,0	9,302
648,0	9,265
650,0	9,192
652,0	9,155
654,0	9,161
656,0	9,155
658,0	9,222
660,0	9,296
662,0	9,271
664,0	9,296
666,0	9,253
668,0	9,216
670,0	9,241
672,0	9,216
674,0	9,210
676,0	9,222
678,0	9,222
680,0	9,277
682,0	9,290
684,0	9,222
686,0	9,198
688,0	9,167
690,0	9,143
692,0	9,235
694,0	9,247
696,0	9,198
698,0	9,106
700,0	9,003
702,0	8,960
704,0	9,009
706,0	9,015
708,0	8,997
710,0	8,990
712,0	8,960
714,0	8,960
716,0	9,143
718,0	9,235
720,0	9,320
722,0	9,357
724,0	9,241
726,0	9,143
728,0	8,923
730,0	8,929
732,0	8,954
734,0	8,826
736,0	8,704
738,0	8,618
740,0	8,447
742,0	8,740
744,0	8,905
746,0	8,905
748,0	8,893
750,0	8,734
752,0	8,972
754,0	9,155
756,0	9,351
758,0	9,167
760,0	9,058
762,0	8,612
764,0	8,441
766,0	8,459
768,0	8,679
770,0	9,283
772,0	9,180
774,0	9,119
776,0	8,368
778,0	8,112
780,0	8,154
782,0	8,099
784,0	8,539
786,0	8,459
788,0	8,557
790,0	7,715
792,0	8,136
794,0	8,221
796,0	8,688
798,0	10,205
800,0	10,202
