[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2,43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29,01,2016 09:18:43
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm,):	350,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
350,0	-0,027
351,0	-0,027
352,0	-0,021
353,0	-0,027
354,0	-0,021
355,0	-0,027
356,0	-0,026
357,0	-0,015
358,0	-0,021
359,0	-0,034
360,0	-0,038
361,0	-0,034
362,0	-0,027
363,0	-0,021
364,0	-0,027
365,0	-0,032
366,0	-0,021
367,0	-0,027
368,0	-0,027
369,0	-0,021
370,0	-0,021
371,0	-0,015
372,0	-0,021
373,0	-0,009
374,0	-0,015
375,0	-0,015
376,0	-0,015
377,0	-0,021
378,0	-0,009
379,0	-0,015
380,0	-0,015
381,0	-0,009
382,0	-0,009
383,0	-0,009
384,0	-0,015
385,0	-0,009
386,0	-0,015
387,0	-0,009
388,0	-0,009
389,0	-0,009
390,0	-0,003
391,0	-0,009
392,0	-0,003
393,0	-0,009
394,0	-0,003
395,0	-0,003
396,0	-0,003
397,0	-0,003
398,0	-0,009
399,0	-0,009
400,0	-0,003
401,0	-0,009
402,0	-0,003
403,0	-0,009
404,0	-0,003
405,0	-0,003
406,0	-0,003
407,0	0,000
408,0	-0,009
409,0	-0,003
410,0	-0,009
411,0	-0,003
412,0	-0,009
413,0	-0,003
414,0	-0,003
415,0	-0,009
416,0	-0,003
417,0	-0,003
418,0	-0,003
419,0	-0,003
420,0	-0,003
421,0	-0,003
422,0	0,000
423,0	-0,003
424,0	-0,003
425,0	-0,003
426,0	0,000
427,0	-0,003
428,0	-0,003
429,0	-0,003
430,0	0,000
431,0	-0,003
432,0	0,000
433,0	0,000
434,0	0,000
435,0	0,000
436,0	-0,003
437,0	0,000
438,0	0,000
439,0	0,000
440,0	0,000
441,0	-0,003
442,0	-0,003
443,0	-0,003
444,0	-0,003
445,0	0,000
446,0	-0,003
447,0	0,000
448,0	0,000
449,0	-0,003
450,0	-0,003
451,0	-0,003
452,0	0,000
453,0	0,000
454,0	0,000
455,0	-0,003
456,0	0,000
457,0	0,000
458,0	-0,003
459,0	0,000
460,0	-0,003
461,0	0,000
462,0	0,000
463,0	-0,003
464,0	-0,003
465,0	0,000
466,0	0,000
467,0	0,000
468,0	0,000
469,0	0,000
470,0	0,000
471,0	0,000
472,0	0,000
473,0	0,000
474,0	0,000
475,0	-0,003
476,0	0,000
477,0	0,000
478,0	0,003
479,0	0,000
480,0	-0,003
481,0	0,000
482,0	0,000
483,0	0,000
484,0	-0,003
485,0	0,000
486,0	0,003
487,0	0,000
488,0	0,000
489,0	0,000
490,0	0,000
491,0	0,000
492,0	0,000
493,0	-0,003
494,0	0,000
495,0	0,000
496,0	0,000
497,0	0,003
498,0	0,000
499,0	0,000
500,0	-0,003
501,0	0,000
502,0	0,003
503,0	-0,003
504,0	0,000
505,0	0,000
506,0	0,000
507,0	0,000
508,0	0,000
509,0	0,000
510,0	0,000
511,0	0,000
512,0	0,000
513,0	-0,003
514,0	0,000
515,0	-0,003
516,0	0,000
517,0	0,000
518,0	0,000
519,0	0,000
520,0	0,000
521,0	0,000
522,0	0,000
523,0	0,003
524,0	0,003
525,0	0,003
526,0	0,020
527,0	0,047
528,0	0,084
529,0	0,165
530,0	0,267
531,0	0,641
532,0	1,144
533,0	2,046
534,0	3,494
535,0	5,696
536,0	8,557
537,0	12,306
538,0	16,687
539,0	21,840
540,0	27,448
541,0	33,218
542,0	38,696
543,0	44,267
544,0	49,217
545,0	53,995
546,0	58,336
547,0	62,129
548,0	65,662
549,0	68,530
550,0	70,895
551,0	72,971
552,0	74,783
553,0	76,579
554,0	77,744
555,0	79,002
556,0	79,767
557,0	80,727
558,0	81,511
559,0	82,065
560,0	82,698
561,0	83,159
562,0	83,577
563,0	83,865
564,0	84,158
565,0	84,477
566,0	84,578
567,0	84,984
568,0	85,260
569,0	85,518
570,0	85,570
571,0	85,550
572,0	85,899
573,0	85,899
574,0	86,134
575,0	86,221
576,0	86,171
577,0	86,470
578,0	86,383
579,0	86,563
580,0	86,411
581,0	86,624
582,0	86,826
583,0	86,781
584,0	87,056
585,0	86,871
586,0	87,021
587,0	86,992
588,0	87,131
589,0	87,192
590,0	87,215
591,0	87,225
592,0	87,253
593,0	87,320
594,0	87,352
595,0	87,317
596,0	87,477
597,0	87,399
598,0	87,526
599,0	87,541
600,0	87,540
601,0	87,785
602,0	87,601
603,0	87,685
604,0	87,689
605,0	87,762
606,0	87,888
607,0	87,686
608,0	87,717
609,0	87,811
610,0	87,790
611,0	87,846
612,0	87,749
613,0	87,915
614,0	87,805
615,0	88,034
616,0	87,926
617,0	87,994
618,0	88,060
619,0	87,856
620,0	88,025
621,0	87,894
622,0	88,100
623,0	87,909
624,0	87,971
625,0	88,074
626,0	88,083
627,0	88,036
628,0	88,074
629,0	88,052
630,0	88,165
631,0	88,011
632,0	88,145
633,0	88,007
634,0	88,170
635,0	88,136
636,0	88,124
637,0	88,103
638,0	88,385
639,0	88,362
640,0	88,326
641,0	88,269
642,0	88,234
643,0	88,066
644,0	88,246
645,0	88,211
646,0	88,396
647,0	88,109
648,0	88,104
649,0	88,242
650,0	88,268
651,0	88,428
652,0	88,489
653,0	88,301
654,0	88,451
655,0	88,293
656,0	88,501
657,0	88,309
658,0	88,493
659,0	88,313
660,0	88,309
661,0	88,234
662,0	88,448
663,0	88,350
664,0	88,350
665,0	88,309
666,0	88,371
667,0	88,135
668,0	88,466
669,0	88,428
670,0	88,506
671,0	88,327
672,0	88,319
673,0	88,367
674,0	88,493
675,0	88,490
676,0	88,315
677,0	88,297
678,0	88,477
679,0	88,412
680,0	88,536
681,0	88,330
682,0	88,580
683,0	88,419
684,0	88,354
685,0	88,371
686,0	88,541
687,0	88,512
688,0	88,417
689,0	88,362
690,0	88,432
691,0	88,251
692,0	88,379
693,0	88,318
694,0	88,457
695,0	88,435
696,0	88,504
697,0	88,530
698,0	88,469
699,0	88,516
700,0	88,477
701,0	88,510
702,0	88,666
703,0	88,448
704,0	88,635
705,0	88,420
706,0	88,577
707,0	88,490
708,0	88,461
709,0	88,559
710,0	88,495
711,0	88,612
712,0	88,663
713,0	88,396
714,0	88,474
715,0	88,391
716,0	88,438
717,0	88,396
718,0	88,429
719,0	88,300
720,0	88,397
721,0	88,467
722,0	88,667
723,0	88,731
724,0	88,463
725,0	88,568
726,0	88,605
727,0	88,423
728,0	88,586
729,0	88,396
730,0	88,664
731,0	88,739
732,0	88,503
733,0	88,599
734,0	88,402
735,0	88,605
736,0	88,576
737,0	88,597
738,0	88,655
739,0	88,490
740,0	88,625
741,0	88,417
742,0	88,582
743,0	88,562
744,0	88,467
745,0	88,489
746,0	88,509
747,0	88,466
748,0	88,606
749,0	88,725
750,0	88,676
751,0	88,553
752,0	88,591
753,0	88,397
754,0	88,530
755,0	88,490
756,0	88,448
757,0	88,335
758,0	88,399
759,0	88,455
760,0	88,487
761,0	88,477
762,0	88,509
763,0	88,089
764,0	88,393
765,0	88,533
766,0	88,519
767,0	88,339
768,0	88,553
769,0	88,385
770,0	88,326
771,0	88,626
772,0	88,371
773,0	88,513
774,0	88,589
775,0	88,467
776,0	88,220
777,0	88,441
778,0	88,512
779,0	88,272
780,0	88,506
781,0	88,336
782,0	88,269
783,0	88,382
784,0	88,379
785,0	88,390
786,0	88,326
787,0	88,260
788,0	88,237
789,0	88,165
790,0	88,345
791,0	88,301
792,0	88,528
793,0	88,242
794,0	88,496
795,0	88,577
796,0	88,411
797,0	88,318
798,0	88,052
799,0	88,084
800,0	88,132
