[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2,43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29,01,2016 10:09:45
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm,):	350,0000 to 1100,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
350,0	-0,027
351,0	-0,027
352,0	-0,027
353,0	-0,027
354,0	-0,026
355,0	-0,026
356,0	-0,021
357,0	-0,026
358,0	-0,021
359,0	-0,038
360,0	-0,038
361,0	-0,034
362,0	-0,027
363,0	-0,027
364,0	-0,027
365,0	-0,027
366,0	-0,027
367,0	-0,015
368,0	-0,021
369,0	-0,027
370,0	-0,015
371,0	-0,015
372,0	-0,009
373,0	-0,003
374,0	-0,003
375,0	0,003
376,0	0,009
377,0	0,015
378,0	0,026
379,0	0,043
380,0	0,053
381,0	0,089
382,0	0,128
383,0	0,172
384,0	0,227
385,0	0,293
386,0	0,377
387,0	0,456
388,0	0,565
389,0	0,644
390,0	0,732
391,0	0,816
392,0	0,896
393,0	0,981
394,0	1,088
395,0	1,173
396,0	1,318
397,0	1,425
398,0	1,593
399,0	1,698
400,0	1,859
401,0	1,967
402,0	2,069
403,0	2,109
404,0	2,144
405,0	2,177
406,0	2,136
407,0	2,118
408,0	2,103
409,0	2,090
410,0	2,116
411,0	2,142
412,0	2,197
413,0	2,252
414,0	2,347
415,0	2,440
416,0	2,559
417,0	2,675
418,0	2,777
419,0	2,846
420,0	2,873
421,0	2,892
422,0	2,895
423,0	2,846
424,0	2,794
425,0	2,737
426,0	2,686
427,0	2,675
428,0	2,647
429,0	2,692
430,0	2,707
431,0	2,757
432,0	2,835
433,0	2,943
434,0	3,085
435,0	3,186
436,0	3,355
437,0	3,465
438,0	3,578
439,0	3,627
440,0	3,653
441,0	3,676
442,0	3,633
443,0	3,572
444,0	3,522
445,0	3,458
446,0	3,424
447,0	3,400
448,0	3,366
449,0	3,355
450,0	3,404
451,0	3,456
452,0	3,535
453,0	3,661
454,0	3,766
455,0	3,946
456,0	4,112
457,0	4,298
458,0	4,466
459,0	4,611
460,0	4,755
461,0	4,788
462,0	4,852
463,0	4,828
464,0	4,810
465,0	4,764
466,0	4,688
467,0	4,642
468,0	4,553
469,0	4,524
470,0	4,495
471,0	4,486
472,0	4,521
473,0	4,553
474,0	4,620
475,0	4,741
476,0	4,897
477,0	5,045
478,0	5,255
479,0	5,453
480,0	5,716
481,0	5,960
482,0	6,206
483,0	6,386
484,0	6,584
485,0	6,673
486,0	6,773
487,0	6,783
488,0	6,754
489,0	6,662
490,0	6,555
491,0	6,451
492,0	6,317
493,0	6,209
494,0	6,079
495,0	6,012
496,0	5,940
497,0	5,855
498,0	5,859
499,0	5,849
500,0	5,907
501,0	5,980
502,0	6,085
503,0	6,242
504,0	6,386
505,0	6,635
506,0	6,834
507,0	7,086
508,0	7,298
509,0	7,469
510,0	7,649
511,0	7,742
512,0	7,758
513,0	7,698
514,0	7,553
515,0	7,387
516,0	7,181
517,0	6,970
518,0	6,715
519,0	6,451
520,0	6,233
521,0	5,995
522,0	5,807
523,0	5,618
524,0	5,490
525,0	5,379
526,0	5,267
527,0	5,232
528,0	5,208
529,0	5,237
530,0	5,246
531,0	5,330
532,0	5,446
533,0	5,605
534,0	5,766
535,0	5,942
536,0	6,122
537,0	6,293
538,0	6,471
539,0	6,570
540,0	6,648
541,0	6,682
542,0	6,679
543,0	6,592
544,0	6,444
545,0	6,274
546,0	6,068
547,0	5,853
548,0	5,594
549,0	5,380
550,0	5,180
551,0	4,950
552,0	4,764
553,0	4,614
554,0	4,453
555,0	4,333
556,0	4,231
557,0	4,164
558,0	4,109
559,0	4,054
560,0	4,062
561,0	4,051
562,0	4,117
563,0	4,156
564,0	4,228
565,0	4,344
566,0	4,442
567,0	4,576
568,0	4,716
569,0	4,858
570,0	5,026
571,0	5,144
572,0	5,261
573,0	5,313
574,0	5,368
575,0	5,385
576,0	5,334
577,0	5,255
578,0	5,133
579,0	5,019
580,0	4,845
581,0	4,663
582,0	4,504
583,0	4,333
584,0	4,164
585,0	3,984
586,0	3,850
587,0	3,702
588,0	3,574
589,0	3,461
590,0	3,368
591,0	3,297
592,0	3,212
593,0	3,163
594,0	3,131
595,0	3,102
596,0	3,096
597,0	3,098
598,0	3,125
599,0	3,154
600,0	3,201
601,0	3,258
602,0	3,323
603,0	3,426
604,0	3,514
605,0	3,619
606,0	3,719
607,0	3,839
608,0	3,938
609,0	4,034
610,0	4,123
611,0	4,196
612,0	4,227
613,0	4,242
614,0	4,231
615,0	4,187
616,0	4,134
617,0	4,050
618,0	3,928
619,0	3,816
620,0	3,697
621,0	3,566
622,0	3,442
623,0	3,314
624,0	3,200
625,0	3,091
626,0	2,971
627,0	2,878
628,0	2,768
629,0	2,686
630,0	2,618
631,0	2,551
632,0	2,493
633,0	2,443
634,0	2,422
635,0	2,386
636,0	2,371
637,0	2,361
638,0	2,353
639,0	2,368
640,0	2,396
641,0	2,420
642,0	2,454
643,0	2,489
644,0	2,545
645,0	2,591
646,0	2,672
647,0	2,733
648,0	2,818
649,0	2,885
650,0	2,963
651,0	3,052
652,0	3,130
653,0	3,195
654,0	3,249
655,0	3,302
656,0	3,326
657,0	3,326
658,0	3,328
659,0	3,300
660,0	3,259
661,0	3,204
662,0	3,137
663,0	3,053
664,0	2,966
665,0	2,887
666,0	2,776
667,0	2,695
668,0	2,588
669,0	2,501
670,0	2,406
671,0	2,330
672,0	2,249
673,0	2,167
674,0	2,115
675,0	2,040
676,0	1,971
677,0	1,947
678,0	1,891
679,0	1,872
680,0	1,828
681,0	1,799
682,0	1,790
683,0	1,778
684,0	1,764
685,0	1,746
686,0	1,758
687,0	1,773
688,0	1,787
689,0	1,799
690,0	1,825
691,0	1,859
692,0	1,878
693,0	1,921
694,0	1,964
695,0	2,007
696,0	2,063
697,0	2,103
698,0	2,176
699,0	2,229
700,0	2,269
701,0	2,321
702,0	2,374
703,0	2,435
704,0	2,477
705,0	2,504
706,0	2,562
707,0	2,567
708,0	2,585
709,0	2,582
710,0	2,571
711,0	2,556
712,0	2,521
713,0	2,502
714,0	2,435
715,0	2,394
716,0	2,325
717,0	2,269
718,0	2,209
719,0	2,133
720,0	2,080
721,0	2,010
722,0	1,959
723,0	1,881
724,0	1,825
725,0	1,770
726,0	1,720
727,0	1,683
728,0	1,639
729,0	1,590
730,0	1,558
731,0	1,529
732,0	1,492
733,0	1,453
734,0	1,448
735,0	1,405
736,0	1,395
737,0	1,387
738,0	1,364
739,0	1,355
740,0	1,340
741,0	1,357
742,0	1,355
743,0	1,335
744,0	1,366
745,0	1,369
746,0	1,382
747,0	1,396
748,0	1,407
749,0	1,424
750,0	1,443
751,0	1,471
752,0	1,503
753,0	1,534
754,0	1,563
755,0	1,619
756,0	1,639
757,0	1,683
758,0	1,723
759,0	1,759
760,0	1,775
761,0	1,825
762,0	1,871
763,0	1,913
764,0	1,930
765,0	1,967
766,0	1,984
767,0	1,993
768,0	2,022
769,0	2,010
770,0	2,020
771,0	2,019
772,0	1,991
773,0	1,990
774,0	1,971
775,0	1,927
776,0	1,877
777,0	1,857
778,0	1,791
779,0	1,758
780,0	1,723
781,0	1,662
782,0	1,643
783,0	1,595
784,0	1,541
785,0	1,501
786,0	1,465
787,0	1,430
788,0	1,384
789,0	1,349
790,0	1,323
791,0	1,277
792,0	1,256
793,0	1,227
794,0	1,204
795,0	1,151
796,0	1,154
797,0	1,123
798,0	1,112
799,0	1,097
800,0	1,091
801,0	1,099
802,0	1,057
803,0	1,056
804,0	1,047
805,0	1,018
806,0	1,018
807,0	1,038
808,0	1,013
809,0	1,021
810,0	1,030
811,0	1,036
812,0	1,047
813,0	1,057
814,0	1,047
815,0	1,059
816,0	1,054
817,0	1,102
818,0	1,094
819,0	1,129
820,0	1,146
821,0	1,180
822,0	1,184
823,0	1,180
824,0	1,221
825,0	1,265
826,0	1,289
827,0	1,299
828,0	1,357
829,0	1,350
830,0	1,382
831,0	1,395
832,0	1,436
833,0	1,463
834,0	1,474
835,0	1,505
836,0	1,569
837,0	1,532
838,0	1,552
839,0	1,532
840,0	1,563
