[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 10:55:03
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250.0000 to 800.0000
Scan Speed:	Slow
Sampling Interval:	2.0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8.0 nm
Light Source Change Wavelength:	285.0 nm
Detector Change Wavelength:	885.0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0.0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	1.524
252.0	2.232
254.0	3.009
256.0	2.643
258.0	3.522
260.0	3.412
262.0	3.455
264.0	3.741
266.0	3.339
268.0	3.540
270.0	3.534
272.0	3.522
274.0	3.632
276.0	3.540
278.0	3.583
280.0	3.625
282.0	3.455
284.0	8.148
286.0	10.028
288.0	9.509
290.0	10.284
292.0	6.104
294.0	2.411
296.0	3.210
298.0	2.490
300.0	1.526
302.0	3.674
304.0	4.016
306.0	3.796
308.0	3.790
310.0	2.197
312.0	1.245
314.0	2.393
316.0	3.113
318.0	4.749
320.0	5.096
322.0	4.565
324.0	4.675
326.0	4.443
328.0	4.938
330.0	4.938
332.0	5.188
334.0	5.530
336.0	5.945
338.0	5.902
340.0	5.981
342.0	5.951
344.0	5.573
346.0	5.646
348.0	5.658
350.0	5.841
352.0	5.933
354.0	5.981
356.0	6.018
358.0	6.006
360.0	6.061
362.0	6.226
364.0	6.274
366.0	6.360
368.0	6.396
370.0	6.421
372.0	6.451
374.0	6.396
376.0	6.415
378.0	6.378
380.0	6.421
382.0	6.464
384.0	6.512
386.0	6.470
388.0	6.482
390.0	6.549
392.0	6.567
394.0	6.635
396.0	6.647
398.0	6.635
400.0	6.598
402.0	6.598
404.0	6.708
406.0	6.708
408.0	6.738
410.0	6.750
412.0	6.665
414.0	6.738
416.0	6.812
418.0	6.885
420.0	6.903
422.0	6.860
424.0	6.818
426.0	6.757
428.0	6.793
430.0	6.812
432.0	6.842
434.0	6.842
436.0	6.842
438.0	6.866
440.0	6.873
442.0	6.915
444.0	6.879
446.0	6.891
448.0	6.866
450.0	6.854
452.0	6.915
454.0	6.927
456.0	6.952
458.0	6.989
460.0	6.982
462.0	6.982
464.0	6.995
466.0	6.976
468.0	7.007
470.0	7.050
472.0	7.068
474.0	7.086
476.0	7.043
478.0	7.074
480.0	7.056
482.0	7.111
484.0	7.196
486.0	7.172
488.0	7.220
490.0	7.166
492.0	7.166
494.0	7.184
496.0	7.202
498.0	7.263
500.0	7.251
502.0	7.263
504.0	7.257
506.0	7.281
508.0	7.281
510.0	7.263
512.0	7.233
514.0	7.184
516.0	7.214
518.0	7.208
520.0	7.227
522.0	7.251
524.0	7.263
526.0	7.263
528.0	7.196
530.0	7.178
532.0	7.153
534.0	7.208
536.0	7.324
538.0	7.373
540.0	7.397
542.0	7.367
544.0	7.367
546.0	7.373
548.0	7.355
550.0	7.361
552.0	7.379
554.0	7.379
556.0	7.410
558.0	7.440
560.0	7.440
562.0	7.416
564.0	7.434
566.0	7.422
568.0	7.422
570.0	7.428
572.0	7.410
574.0	7.434
576.0	7.452
578.0	7.501
580.0	7.489
582.0	7.507
584.0	7.513
586.0	7.501
588.0	7.526
590.0	7.507
592.0	7.520
594.0	7.532
596.0	7.574
598.0	7.581
600.0	7.568
602.0	7.581
604.0	7.568
606.0	7.593
608.0	7.611
610.0	7.611
612.0	7.617
614.0	7.617
616.0	7.617
618.0	7.623
620.0	7.617
622.0	7.581
624.0	7.556
626.0	7.544
628.0	7.556
630.0	7.581
632.0	7.642
634.0	7.666
636.0	7.684
638.0	7.672
640.0	7.666
642.0	7.648
644.0	7.672
646.0	7.684
648.0	7.660
650.0	7.678
652.0	7.666
654.0	7.697
656.0	7.733
658.0	7.782
660.0	7.782
662.0	7.831
664.0	7.806
666.0	7.758
668.0	7.764
670.0	7.788
672.0	7.788
674.0	7.837
676.0	7.831
678.0	7.800
680.0	7.831
682.0	7.770
684.0	7.800
686.0	7.782
688.0	7.770
690.0	7.813
692.0	7.800
694.0	7.837
696.0	7.843
698.0	7.855
700.0	7.788
702.0	7.739
704.0	7.758
706.0	7.758
708.0	7.806
710.0	7.922
712.0	7.916
714.0	7.892
716.0	7.928
718.0	7.977
720.0	7.916
722.0	8.008
724.0	8.008
726.0	7.813
728.0	7.867
730.0	7.794
732.0	7.788
734.0	7.831
736.0	7.971
738.0	8.008
740.0	7.971
742.0	7.965
744.0	7.867
746.0	7.672
748.0	7.733
750.0	7.623
752.0	7.629
754.0	7.813
756.0	7.806
758.0	8.136
760.0	8.276
762.0	8.405
764.0	8.783
766.0	8.240
768.0	8.191
770.0	8.136
772.0	7.782
774.0	7.965
776.0	8.093
778.0	7.867
780.0	7.648
782.0	7.404
784.0	7.074
786.0	6.989
788.0	6.836
790.0	6.982
792.0	6.512
794.0	6.976
796.0	6.927
798.0	6.818
800.0	6.989
