[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 09:31:06
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250.0000 to 800.0000
Scan Speed:	Medium
Sampling Interval:	1.0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0.8 nm
Light Source Change Wavelength:	285.0 nm
Detector Change Wavelength:	885.0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0.0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	-0.026
251.0	-0.015
252.0	-0.021
253.0	-0.021
254.0	-0.015
255.0	-0.021
256.0	-0.015
257.0	-0.027
258.0	-0.021
259.0	-0.015
260.0	-0.021
261.0	-0.015
262.0	-0.015
263.0	-0.015
264.0	-0.015
265.0	-0.015
266.0	-0.009
267.0	-0.015
268.0	-0.015
269.0	-0.015
270.0	-0.015
271.0	-0.009
272.0	-0.021
273.0	-0.009
274.0	-0.021
275.0	-0.015
276.0	-0.009
277.0	-0.015
278.0	-0.009
279.0	-0.009
280.0	-0.003
281.0	-0.003
282.0	0.000
283.0	0.015
284.0	0.038
285.0	0.067
286.0	-0.072
287.0	-0.017
288.0	0.169
289.0	0.308
290.0	0.421
291.0	0.627
292.0	0.961
293.0	1.341
294.0	1.892
295.0	2.460
296.0	3.214
297.0	4.076
298.0	4.874
299.0	5.923
300.0	7.356
301.0	8.549
302.0	10.072
303.0	11.667
304.0	13.350
305.0	14.780
306.0	16.766
307.0	18.665
308.0	20.956
309.0	23.178
310.0	24.924
311.0	27.274
312.0	29.286
313.0	32.114
314.0	33.815
315.0	35.843
316.0	37.770
317.0	39.885
318.0	41.878
319.0	44.325
320.0	46.153
321.0	47.826
322.0	49.663
323.0	51.389
324.0	52.708
325.0	54.758
326.0	56.403
327.0	57.353
328.0	58.945
329.0	60.228
330.0	61.577
331.0	62.914
332.0	64.130
333.0	65.195
334.0	66.307
335.0	67.421
336.0	68.311
337.0	69.258
338.0	69.969
339.0	70.816
340.0	71.872
341.0	72.304
342.0	73.297
343.0	73.729
344.0	74.443
345.0	74.806
346.0	75.337
347.0	75.935
348.0	76.491
349.0	76.802
350.0	76.811
351.0	77.626
352.0	78.114
353.0	78.455
354.0	78.914
355.0	78.813
356.0	79.138
357.0	79.909
358.0	80.081
359.0	80.095
360.0	80.589
361.0	80.714
362.0	80.946
363.0	81.209
364.0	81.625
365.0	81.302
366.0	81.647
367.0	81.898
368.0	82.283
369.0	82.278
370.0	82.562
371.0	82.381
372.0	82.683
373.0	82.443
374.0	82.542
375.0	82.814
376.0	83.025
377.0	82.672
378.0	82.672
379.0	82.710
380.0	82.860
381.0	82.990
382.0	83.237
383.0	83.569
384.0	83.696
385.0	83.928
386.0	83.981
387.0	84.146
388.0	84.100
389.0	84.256
390.0	84.320
391.0	84.573
392.0	84.494
393.0	84.474
394.0	85.075
395.0	85.074
396.0	84.787
397.0	84.911
398.0	85.092
399.0	85.237
400.0	85.190
401.0	85.265
402.0	85.413
403.0	85.658
404.0	85.493
405.0	85.599
406.0	85.632
407.0	85.620
408.0	85.805
409.0	85.583
410.0	85.748
411.0	85.675
412.0	85.614
413.0	85.652
414.0	85.745
415.0	86.090
416.0	85.471
417.0	85.866
418.0	85.860
419.0	85.931
420.0	85.992
421.0	85.808
422.0	86.134
423.0	85.999
424.0	86.081
425.0	85.930
426.0	85.973
427.0	86.157
428.0	85.849
429.0	86.328
430.0	86.240
431.0	86.240
432.0	86.230
433.0	86.302
434.0	86.240
435.0	86.061
436.0	86.327
437.0	86.307
438.0	86.488
439.0	86.383
440.0	86.449
441.0	86.531
442.0	86.333
443.0	86.435
444.0	86.397
445.0	86.497
446.0	86.462
447.0	86.424
448.0	86.543
449.0	86.569
450.0	86.487
451.0	86.348
452.0	86.678
453.0	86.726
454.0	86.787
455.0	86.783
456.0	86.777
457.0	86.876
458.0	86.929
459.0	86.800
460.0	86.859
461.0	86.850
462.0	86.946
463.0	87.004
464.0	87.062
465.0	87.073
466.0	87.126
467.0	87.088
468.0	86.990
469.0	87.068
470.0	87.274
471.0	87.125
472.0	87.093
473.0	87.152
474.0	87.257
475.0	87.267
476.0	87.151
477.0	87.303
478.0	87.286
479.0	87.386
480.0	87.340
481.0	87.425
482.0	87.474
483.0	87.296
484.0	87.328
485.0	87.276
486.0	87.456
487.0	87.411
488.0	87.451
489.0	87.492
490.0	87.413
491.0	87.503
492.0	87.460
493.0	87.593
494.0	87.575
495.0	87.521
496.0	87.663
497.0	87.555
498.0	87.775
499.0	87.724
500.0	87.541
501.0	87.843
502.0	87.761
503.0	87.762
504.0	87.656
505.0	87.823
506.0	87.660
507.0	87.775
508.0	87.837
509.0	87.895
510.0	87.907
511.0	87.935
512.0	87.926
513.0	87.959
514.0	87.886
515.0	88.020
516.0	87.939
517.0	87.964
518.0	87.964
519.0	87.933
520.0	87.827
521.0	87.849
522.0	88.017
523.0	88.007
524.0	87.906
525.0	88.127
526.0	88.150
527.0	88.223
528.0	87.984
529.0	88.000
530.0	88.181
531.0	87.898
532.0	88.084
533.0	88.164
534.0	88.225
535.0	88.060
536.0	88.240
537.0	88.197
538.0	88.196
539.0	88.199
540.0	88.304
541.0	88.364
542.0	88.228
543.0	88.293
544.0	88.176
545.0	88.174
546.0	88.364
547.0	88.219
548.0	88.341
549.0	88.177
550.0	88.379
551.0	88.351
552.0	88.400
553.0	88.544
554.0	88.318
555.0	88.316
556.0	88.240
557.0	88.365
558.0	88.400
559.0	88.423
560.0	88.562
561.0	88.512
562.0	88.498
563.0	88.412
564.0	88.481
565.0	88.547
566.0	88.463
567.0	88.628
568.0	88.573
569.0	88.675
570.0	88.452
571.0	88.432
572.0	88.518
573.0	88.435
574.0	88.651
575.0	88.477
576.0	88.461
577.0	88.675
578.0	88.564
579.0	88.596
580.0	88.506
581.0	88.727
582.0	88.715
583.0	88.548
584.0	88.655
585.0	88.702
586.0	88.724
587.0	88.701
588.0	88.658
589.0	88.689
590.0	88.637
591.0	88.655
592.0	88.522
593.0	88.747
594.0	88.667
595.0	88.658
596.0	88.690
597.0	88.702
598.0	88.751
599.0	88.693
600.0	88.742
601.0	88.741
602.0	88.820
603.0	88.934
604.0	88.744
605.0	88.785
606.0	88.855
607.0	88.753
608.0	88.834
609.0	88.753
610.0	88.885
611.0	88.785
612.0	88.805
613.0	88.722
614.0	88.826
615.0	88.864
616.0	88.818
617.0	88.942
618.0	88.866
619.0	88.797
620.0	88.852
621.0	88.771
622.0	88.916
623.0	88.834
624.0	88.853
625.0	89.046
626.0	89.056
627.0	89.061
628.0	88.882
629.0	88.986
630.0	89.018
631.0	88.930
632.0	88.977
633.0	88.835
634.0	89.059
635.0	89.006
636.0	89.102
637.0	88.893
638.0	88.924
639.0	89.088
640.0	89.052
641.0	89.117
642.0	89.073
643.0	89.093
644.0	89.053
645.0	88.939
646.0	89.091
647.0	89.026
648.0	89.204
649.0	88.927
650.0	88.989
651.0	89.093
652.0	88.976
653.0	89.163
654.0	89.044
655.0	89.211
656.0	89.291
657.0	89.041
658.0	89.206
659.0	89.255
660.0	89.249
661.0	89.082
662.0	89.026
663.0	89.267
664.0	89.207
665.0	89.392
666.0	89.323
667.0	89.403
668.0	89.252
669.0	89.250
670.0	89.307
671.0	89.310
672.0	89.310
673.0	89.273
674.0	89.261
675.0	89.323
676.0	89.125
677.0	89.397
678.0	89.218
679.0	89.513
680.0	89.520
681.0	89.262
682.0	89.523
683.0	89.325
684.0	89.453
685.0	89.345
686.0	89.183
687.0	89.397
688.0	89.243
689.0	89.328
690.0	89.371
691.0	89.409
692.0	89.278
693.0	89.394
694.0	89.439
695.0	89.507
696.0	89.580
697.0	89.317
698.0	89.418
699.0	89.619
700.0	89.503
701.0	89.574
702.0	89.345
703.0	89.639
704.0	89.499
705.0	89.519
706.0	89.731
707.0	89.787
708.0	89.742
709.0	89.685
710.0	89.629
711.0	89.632
712.0	89.479
713.0	89.592
714.0	89.716
715.0	89.798
716.0	89.732
717.0	89.699
718.0	89.801
719.0	89.436
720.0	89.709
721.0	89.606
722.0	89.575
723.0	89.500
724.0	89.700
725.0	89.661
726.0	89.494
727.0	89.622
728.0	89.543
729.0	89.307
730.0	89.619
731.0	89.516
732.0	89.807
733.0	89.594
734.0	89.868
735.0	89.635
736.0	89.786
737.0	89.740
738.0	89.694
739.0	89.622
