[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 11:12:16
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250.0000 to 800.0000
Scan Speed:	Slow
Sampling Interval:	2.0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8.0 nm
Light Source Change Wavelength:	285.0 nm
Detector Change Wavelength:	885.0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0.0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	2.774
252.0	3.853
254.0	5.023
256.0	4.791
258.0	4.480
260.0	4.144
262.0	4.022
264.0	3.943
266.0	3.802
268.0	4.315
270.0	4.437
272.0	4.895
274.0	4.950
276.0	4.956
278.0	4.755
280.0	4.486
282.0	4.425
284.0	2.698
286.0	0.366
288.0	0.885
290.0	-0.458
292.0	-0.562
294.0	4.681
296.0	4.535
298.0	7.153
300.0	9.833
302.0	7.727
304.0	7.434
306.0	6.720
308.0	6.714
310.0	6.702
312.0	7.001
314.0	6.445
316.0	5.695
318.0	5.713
320.0	5.792
322.0	6.073
324.0	5.829
326.0	5.621
328.0	5.762
330.0	5.902
332.0	6.281
334.0	6.183
336.0	5.890
338.0	5.786
340.0	5.603
342.0	5.463
344.0	5.756
346.0	6.213
348.0	6.665
350.0	7.031
352.0	7.166
354.0	7.239
356.0	7.361
358.0	7.349
360.0	7.306
362.0	7.104
364.0	6.836
366.0	6.586
368.0	6.317
370.0	6.195
372.0	6.097
374.0	6.213
376.0	6.476
378.0	6.702
380.0	7.123
382.0	7.574
384.0	7.898
386.0	8.191
388.0	8.197
390.0	8.191
392.0	8.105
394.0	7.855
396.0	7.617
398.0	7.227
400.0	6.818
402.0	6.543
404.0	6.433
406.0	6.555
408.0	6.940
410.0	7.709
412.0	8.698
414.0	9.998
416.0	11.572
418.0	13.184
420.0	14.972
422.0	16.779
424.0	18.555
426.0	20.221
428.0	21.838
430.0	23.254
432.0	24.353
434.0	25.171
436.0	25.366
438.0	24.902
440.0	23.718
442.0	21.777
444.0	19.244
446.0	16.339
448.0	13.489
450.0	11.151
452.0	9.753
454.0	9.717
456.0	11.163
458.0	13.953
460.0	17.798
462.0	22.321
464.0	27.051
466.0	31.732
468.0	36.176
470.0	40.143
472.0	43.561
474.0	46.381
476.0	48.517
478.0	50.043
480.0	51.007
482.0	51.294
484.0	51.135
486.0	50.439
488.0	49.219
490.0	47.455
492.0	44.995
494.0	41.809
496.0	37.866
498.0	33.203
500.0	28.156
502.0	23.090
504.0	18.567
506.0	15.344
508.0	14.056
510.0	15.216
512.0	18.927
514.0	25.012
516.0	32.703
518.0	41.071
520.0	49.451
522.0	57.178
524.0	64.001
526.0	69.720
528.0	74.219
530.0	78.857
532.0	82.654
534.0	86.298
536.0	90.002
538.0	92.505
540.0	94.775
542.0	96.796
544.0	98.468
546.0	100.067
548.0	101.746
550.0	103.125
552.0	104.486
554.0	105.774
556.0	106.976
558.0	108.160
560.0	109.180
562.0	110.004
564.0	110.693
566.0	111.389
568.0	112.097
570.0	112.781
572.0	113.477
574.0	114.026
576.0	114.465
578.0	114.935
580.0	115.283
582.0	115.771
584.0	116.235
586.0	116.626
588.0	116.980
590.0	116.949
592.0	117.114
594.0	117.200
596.0	117.352
598.0	117.657
600.0	117.731
602.0	117.761
604.0	117.731
606.0	117.780
608.0	117.841
610.0	117.883
612.0	117.883
614.0	117.975
616.0	117.981
618.0	118.036
620.0	117.975
622.0	117.706
624.0	117.542
626.0	117.303
628.0	117.126
630.0	117.108
632.0	117.059
634.0	117.255
636.0	117.371
638.0	117.377
640.0	117.535
642.0	117.468
644.0	117.566
646.0	117.340
648.0	116.943
650.0	116.669
652.0	116.180
654.0	115.863
656.0	115.686
658.0	115.436
660.0	115.173
662.0	114.990
664.0	114.539
666.0	114.069
668.0	113.824
670.0	113.440
672.0	112.952
674.0	112.201
676.0	111.346
678.0	110.425
680.0	109.760
682.0	109.082
684.0	108.185
686.0	107.104
688.0	106.116
690.0	105.121
692.0	103.943
694.0	102.704
696.0	101.038
698.0	99.316
700.0	97.363
702.0	95.490
704.0	93.414
706.0	90.930
708.0	88.446
710.0	85.681
712.0	82.581
714.0	79.187
716.0	75.702
718.0	71.906
720.0	67.932
722.0	63.910
724.0	59.576
726.0	55.334
728.0	50.739
730.0	46.265
732.0	42.035
734.0	37.482
736.0	33.453
738.0	29.565
740.0	25.574
742.0	22.363
744.0	19.214
746.0	16.382
748.0	14.191
750.0	12.067
752.0	10.529
754.0	9.540
756.0	8.667
758.0	8.276
760.0	8.423
762.0	8.984
764.0	9.644
766.0	10.229
768.0	11.084
770.0	11.841
772.0	11.890
774.0	12.793
776.0	13.245
778.0	14.160
780.0	15.479
782.0	16.650
784.0	17.407
786.0	17.780
788.0	18.140
790.0	19.373
792.0	20.367
794.0	20.685
796.0	21.307
798.0	20.374
800.0	19.952
