[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2,43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29,01,2016 09:58:24
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm,):	250,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250,0	-0,044
251,0	-0,034
252,0	-0,040
253,0	-0,029
254,0	-0,038
255,0	-0,029
256,0	-0,029
257,0	-0,034
258,0	-0,029
259,0	-0,029
260,0	-0,024
261,0	-0,034
262,0	-0,040
263,0	-0,029
264,0	-0,040
265,0	-0,034
266,0	-0,024
267,0	-0,034
268,0	-0,029
269,0	-0,029
270,0	-0,029
271,0	-0,029
272,0	-0,020
273,0	-0,029
274,0	-0,029
275,0	-0,023
276,0	-0,034
277,0	-0,029
278,0	-0,029
279,0	-0,040
280,0	-0,029
281,0	-0,035
282,0	-0,029
283,0	-0,035
284,0	-0,024
285,0	-0,035
286,0	-0,580
287,0	-0,555
288,0	-0,644
289,0	-0,589
290,0	-0,438
291,0	-0,510
292,0	-0,443
293,0	-0,502
294,0	-0,371
295,0	-0,481
296,0	-0,426
297,0	-0,346
298,0	-0,334
299,0	-0,337
300,0	-0,302
301,0	-0,284
302,0	-0,320
303,0	-0,238
304,0	-0,214
305,0	-0,240
306,0	-0,339
307,0	-0,285
308,0	-0,288
309,0	-0,305
310,0	-0,233
311,0	-0,269
312,0	-0,233
313,0	-0,226
314,0	-0,224
315,0	-0,191
316,0	-0,221
317,0	-0,201
318,0	-0,172
319,0	-0,177
320,0	-0,156
321,0	-0,179
322,0	-0,121
323,0	-0,121
324,0	-0,114
325,0	-0,136
326,0	-0,114
327,0	-0,102
328,0	-0,119
329,0	-0,137
330,0	-0,101
331,0	-0,092
332,0	-0,095
333,0	-0,090
334,0	-0,090
335,0	-0,085
336,0	-0,079
337,0	-0,061
338,0	-0,079
339,0	-0,073
340,0	-0,073
341,0	-0,084
342,0	-0,067
343,0	-0,073
344,0	-0,055
345,0	-0,067
346,0	-0,055
347,0	-0,067
348,0	-0,044
349,0	-0,049
350,0	-0,055
351,0	-0,055
352,0	-0,049
353,0	-0,055
354,0	-0,055
355,0	-0,044
356,0	-0,049
357,0	-0,049
358,0	-0,043
359,0	-0,078
360,0	-0,055
361,0	-0,061
362,0	-0,061
363,0	-0,061
364,0	-0,049
365,0	-0,043
366,0	-0,055
367,0	-0,055
368,0	-0,043
369,0	-0,043
370,0	-0,034
371,0	-0,038
372,0	-0,037
373,0	-0,032
374,0	-0,032
375,0	-0,027
376,0	-0,027
377,0	-0,032
378,0	-0,021
379,0	-0,032
380,0	-0,027
381,0	-0,027
382,0	-0,032
383,0	-0,027
384,0	-0,027
385,0	-0,026
386,0	-0,027
387,0	-0,026
388,0	-0,021
389,0	-0,026
390,0	-0,015
391,0	-0,026
392,0	-0,021
393,0	-0,015
394,0	-0,026
395,0	-0,021
396,0	-0,021
397,0	-0,015
398,0	-0,015
399,0	-0,015
400,0	-0,015
401,0	-0,021
402,0	-0,009
403,0	-0,021
404,0	-0,015
405,0	-0,015
406,0	-0,015
407,0	-0,015
408,0	-0,015
409,0	-0,015
410,0	-0,015
411,0	-0,015
412,0	-0,015
413,0	-0,015
414,0	-0,015
415,0	-0,015
416,0	-0,015
417,0	-0,015
418,0	-0,015
419,0	-0,009
420,0	-0,015
421,0	-0,009
422,0	-0,015
423,0	-0,015
424,0	-0,009
425,0	-0,015
426,0	-0,009
427,0	-0,015
428,0	-0,009
429,0	-0,015
430,0	-0,015
431,0	-0,009
432,0	-0,009
433,0	-0,015
434,0	-0,009
435,0	-0,009
436,0	-0,009
437,0	-0,009
438,0	-0,009
439,0	-0,015
440,0	-0,003
441,0	-0,009
442,0	-0,003
443,0	-0,009
444,0	-0,009
445,0	-0,009
446,0	-0,009
447,0	-0,009
448,0	-0,009
449,0	-0,009
450,0	-0,009
451,0	-0,009
452,0	-0,009
453,0	-0,009
454,0	-0,003
455,0	-0,009
456,0	-0,003
457,0	-0,009
458,0	-0,009
459,0	-0,003
460,0	-0,009
461,0	-0,003
462,0	-0,009
463,0	-0,003
464,0	-0,003
465,0	-0,003
466,0	-0,003
467,0	-0,009
468,0	-0,009
469,0	-0,009
470,0	-0,003
471,0	-0,003
472,0	-0,009
473,0	-0,003
474,0	-0,003
475,0	-0,009
476,0	-0,009
477,0	-0,009
478,0	-0,003
479,0	-0,003
480,0	-0,003
481,0	-0,003
482,0	-0,009
483,0	0,000
484,0	-0,003
485,0	0,000
486,0	-0,003
487,0	-0,009
488,0	0,000
489,0	0,000
490,0	0,000
491,0	0,003
492,0	0,009
493,0	0,020
494,0	0,031
495,0	0,047
496,0	0,069
497,0	0,095
498,0	0,133
499,0	0,169
500,0	0,224
501,0	0,305
502,0	0,380
503,0	0,499
504,0	0,656
505,0	0,864
506,0	1,125
507,0	1,524
508,0	2,045
509,0	2,870
510,0	3,955
511,0	5,492
512,0	7,431
513,0	9,763
514,0	12,578
515,0	15,793
516,0	19,228
517,0	22,983
518,0	26,430
519,0	29,407
520,0	31,404
521,0	32,651
522,0	32,738
523,0	31,940
524,0	30,717
525,0	29,121
526,0	27,646
527,0	25,975
528,0	24,298
529,0	22,365
530,0	20,738
531,0	17,636
532,0	14,876
533,0	12,051
534,0	9,288
535,0	7,024
536,0	5,205
537,0	3,824
538,0	2,806
539,0	2,089
540,0	1,585
541,0	1,207
542,0	0,946
543,0	0,748
544,0	0,584
545,0	0,475
546,0	0,383
547,0	0,308
548,0	0,255
549,0	0,218
550,0	0,180
551,0	0,148
552,0	0,127
553,0	0,110
554,0	0,099
555,0	0,084
556,0	0,078
557,0	0,067
558,0	0,056
559,0	0,052
560,0	0,046
561,0	0,040
562,0	0,031
563,0	0,031
564,0	0,031
565,0	0,024
566,0	0,024
567,0	0,015
568,0	0,018
569,0	0,015
570,0	0,015
571,0	0,015
572,0	0,009
573,0	0,009
574,0	0,009
575,0	0,009
576,0	0,003
577,0	0,003
578,0	0,003
579,0	0,003
580,0	0,003
581,0	0,003
582,0	0,003
583,0	0,003
584,0	0,000
585,0	0,003
586,0	0,000
587,0	0,003
588,0	0,000
589,0	0,003
590,0	0,000
591,0	-0,003
592,0	0,003
593,0	0,000
594,0	0,000
595,0	0,000
596,0	0,000
597,0	0,000
598,0	0,000
599,0	0,000
600,0	0,000
601,0	0,000
602,0	0,000
603,0	0,000
604,0	0,000
605,0	0,000
606,0	0,000
607,0	-0,003
608,0	0,000
609,0	0,000
610,0	-0,003
611,0	0,000
612,0	-0,003
613,0	0,000
614,0	-0,003
615,0	-0,003
616,0	0,000
617,0	0,000
618,0	-0,003
619,0	0,000
620,0	0,000
621,0	0,000
622,0	-0,003
623,0	0,000
624,0	0,000
625,0	-0,003
626,0	0,000
627,0	-0,003
628,0	0,000
629,0	-0,003
630,0	-0,003
631,0	-0,003
632,0	-0,003
633,0	0,000
634,0	-0,003
635,0	0,000
636,0	-0,003
637,0	0,000
638,0	-0,003
639,0	-0,003
640,0	0,000
641,0	-0,003
642,0	0,000
643,0	-0,003
644,0	-0,003
645,0	-0,003
646,0	-0,003
647,0	0,000
648,0	0,000
649,0	0,000
650,0	-0,003
651,0	-0,003
652,0	0,000
653,0	-0,003
654,0	-0,003
655,0	-0,003
656,0	-0,003
657,0	-0,003
658,0	0,000
659,0	0,000
660,0	-0,003
661,0	-0,003
662,0	0,000
663,0	-0,003
664,0	-0,003
665,0	-0,003
666,0	-0,003
667,0	-0,003
668,0	-0,003
669,0	-0,003
670,0	-0,003
671,0	0,000
672,0	-0,003
673,0	-0,003
674,0	-0,003
675,0	-0,003
676,0	-0,003
677,0	-0,003
678,0	-0,003
679,0	-0,003
680,0	-0,003
681,0	-0,003
682,0	-0,003
683,0	-0,003
684,0	-0,003
685,0	-0,003
686,0	-0,003
687,0	-0,003
688,0	-0,003
689,0	-0,009
690,0	-0,003
691,0	-0,009
692,0	-0,003
693,0	-0,009
694,0	-0,003
695,0	-0,003
696,0	-0,003
697,0	-0,003
698,0	-0,003
699,0	-0,009
700,0	-0,003
701,0	-0,003
702,0	-0,003
703,0	-0,003
704,0	-0,003
705,0	-0,003
