[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2,43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29,01,2016 11:00:36
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm,):	250,0000 to 800,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250,0	3,064
252,0	4,446
254,0	5,646
256,0	5,225
258,0	5,261
260,0	5,670
262,0	6,018
264,0	6,543
266,0	6,476
268,0	6,097
270,0	5,652
272,0	5,481
274,0	5,157
276,0	5,127
278,0	5,530
280,0	5,731
282,0	5,786
284,0	5,487
286,0	7,153
288,0	6,769
290,0	6,122
292,0	3,168
294,0	0,470
296,0	-0,214
298,0	1,031
300,0	4,559
302,0	5,695
304,0	8,197
306,0	7,776
308,0	7,507
310,0	7,813
312,0	7,300
314,0	9,045
316,0	11,981
318,0	15,326
320,0	19,220
322,0	23,676
324,0	27,002
326,0	29,590
328,0	29,785
330,0	27,802
332,0	24,133
334,0	19,324
336,0	15,149
338,0	11,737
340,0	10,376
342,0	10,938
344,0	13,739
346,0	18,304
348,0	25,146
350,0	33,850
352,0	43,744
354,0	54,034
356,0	64,221
358,0	72,845
360,0	80,457
362,0	86,584
364,0	91,235
366,0	94,446
368,0	96,973
370,0	99,042
372,0	100,391
374,0	102,063
376,0	103,125
378,0	104,425
380,0	105,261
382,0	106,262
384,0	106,653
386,0	107,117
388,0	107,953
390,0	108,331
392,0	108,716
394,0	108,643
396,0	107,928
398,0	106,519
400,0	104,645
402,0	100,867
404,0	94,208
406,0	84,454
408,0	70,978
410,0	55,688
412,0	41,321
414,0	30,432
416,0	24,744
418,0	24,512
420,0	28,925
422,0	36,853
424,0	47,101
426,0	58,282
428,0	70,178
430,0	80,713
432,0	89,270
434,0	95,825
436,0	99,872
438,0	102,698
440,0	104,401
442,0	105,780
444,0	106,708
446,0	107,275
448,0	108,215
450,0	108,862
452,0	109,534
454,0	110,248
456,0	110,443
458,0	110,815
460,0	110,986
462,0	111,151
464,0	111,499
466,0	111,682
468,0	112,042
470,0	112,219
472,0	112,396
474,0	112,659
476,0	112,726
478,0	112,952
480,0	113,293
482,0	113,409
484,0	113,538
486,0	113,678
488,0	113,696
490,0	113,751
492,0	113,910
494,0	114,093
496,0	114,246
498,0	114,374
500,0	114,441
502,0	114,270
504,0	114,355
506,0	114,557
508,0	114,771
510,0	115,131
512,0	115,118
514,0	115,100
516,0	115,143
518,0	114,966
520,0	114,783
522,0	114,679
524,0	114,319
526,0	114,063
528,0	112,775
530,0	112,366
532,0	111,804
534,0	110,449
536,0	109,106
538,0	104,138
540,0	95,605
542,0	82,916
544,0	66,986
546,0	51,398
548,0	39,612
550,0	34,174
552,0	34,784
554,0	39,520
556,0	46,692
558,0	55,212
560,0	64,691
562,0	74,695
564,0	84,143
566,0	92,059
568,0	98,053
570,0	102,161
572,0	104,901
574,0	106,799
576,0	107,990
578,0	109,003
580,0	109,766
582,0	110,419
584,0	111,066
586,0	111,438
588,0	111,884
590,0	111,963
592,0	112,183
594,0	112,512
596,0	112,561
598,0	112,836
600,0	112,976
602,0	113,165
604,0	113,306
606,0	113,385
608,0	113,586
610,0	113,635
612,0	113,776
614,0	113,922
616,0	114,032
618,0	114,166
620,0	114,331
622,0	114,447
624,0	114,368
626,0	114,209
628,0	114,099
630,0	114,209
632,0	114,307
634,0	114,496
636,0	114,661
638,0	114,716
640,0	114,954
642,0	115,143
644,0	115,497
646,0	115,466
648,0	115,540
650,0	115,491
652,0	115,216
654,0	115,167
656,0	115,118
658,0	115,112
660,0	115,063
662,0	115,308
664,0	115,472
666,0	115,552
668,0	115,881
670,0	115,851
672,0	115,857
674,0	115,924
676,0	115,692
678,0	115,619
680,0	115,704
682,0	115,717
684,0	115,979
686,0	115,961
688,0	115,747
690,0	115,912
692,0	115,710
694,0	115,869
696,0	115,942
698,0	115,833
700,0	115,759
702,0	115,601
704,0	115,686
706,0	115,814
708,0	116,058
710,0	116,284
712,0	116,382
714,0	116,284
716,0	116,180
718,0	115,997
720,0	115,814
722,0	115,906
724,0	116,156
726,0	116,315
728,0	116,040
730,0	116,272
732,0	116,406
734,0	116,516
736,0	117,114
738,0	117,249
740,0	117,084
742,0	116,986
744,0	117,230
746,0	117,413
748,0	117,554
750,0	117,639
752,0	117,102
754,0	116,687
756,0	116,632
758,0	116,351
760,0	116,040
762,0	116,656
764,0	116,663
766,0	117,670
768,0	118,890
770,0	117,761
772,0	117,804
774,0	116,058
776,0	114,880
778,0	114,874
780,0	114,764
782,0	115,332
784,0	115,808
786,0	115,808
788,0	115,167
790,0	115,942
792,0	116,028
794,0	115,112
796,0	113,177
798,0	110,339
800,0	107,642
