[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2,43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29,01,2016 09:53:53
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm,):	250,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250,0	-0,038
251,0	-0,040
252,0	-0,040
253,0	-0,044
254,0	-0,034
255,0	-0,038
256,0	-0,034
257,0	-0,034
258,0	-0,029
259,0	-0,044
260,0	-0,034
261,0	-0,044
262,0	-0,034
263,0	-0,029
264,0	-0,034
265,0	-0,023
266,0	-0,029
267,0	-0,034
268,0	-0,034
269,0	-0,040
270,0	-0,029
271,0	-0,029
272,0	-0,035
273,0	-0,029
274,0	-0,023
275,0	-0,029
276,0	-0,040
277,0	-0,029
278,0	-0,035
279,0	-0,035
280,0	-0,029
281,0	-0,040
282,0	-0,035
283,0	-0,029
284,0	-0,029
285,0	-0,024
286,0	-0,609
287,0	-0,685
288,0	-0,641
289,0	-0,517
290,0	-0,580
291,0	-0,536
292,0	-0,491
293,0	-0,484
294,0	-0,449
295,0	-0,385
296,0	-0,432
297,0	-0,352
298,0	-0,415
299,0	-0,331
300,0	-0,302
301,0	-0,325
302,0	-0,298
303,0	-0,301
304,0	-0,278
305,0	-0,296
306,0	-0,233
307,0	-0,327
308,0	-0,391
309,0	-0,281
310,0	-0,316
311,0	-0,269
312,0	-0,221
313,0	-0,232
314,0	-0,237
315,0	-0,238
316,0	-0,215
317,0	-0,203
318,0	-0,200
319,0	-0,177
320,0	-0,162
321,0	-0,172
322,0	-0,171
323,0	-0,171
324,0	-0,131
325,0	-0,160
326,0	-0,108
327,0	-0,113
328,0	-0,108
329,0	-0,131
330,0	-0,119
331,0	-0,125
332,0	-0,090
333,0	-0,095
334,0	-0,107
335,0	-0,101
336,0	-0,073
337,0	-0,079
338,0	-0,073
339,0	-0,067
340,0	-0,061
341,0	-0,061
342,0	-0,073
343,0	-0,067
344,0	-0,055
345,0	-0,061
346,0	-0,073
347,0	-0,061
348,0	-0,055
349,0	-0,061
350,0	-0,061
351,0	-0,055
352,0	-0,049
353,0	-0,043
354,0	-0,055
355,0	-0,049
356,0	-0,049
357,0	-0,038
358,0	-0,038
359,0	-0,078
360,0	-0,078
361,0	-0,073
362,0	-0,055
363,0	-0,055
364,0	-0,049
365,0	-0,061
366,0	-0,043
367,0	-0,055
368,0	-0,055
369,0	-0,038
370,0	-0,049
371,0	-0,043
372,0	-0,037
373,0	-0,037
374,0	-0,027
375,0	-0,032
376,0	-0,027
377,0	-0,027
378,0	-0,032
379,0	-0,027
380,0	-0,027
381,0	-0,027
382,0	-0,032
383,0	-0,027
384,0	-0,032
385,0	-0,021
386,0	-0,027
387,0	-0,021
388,0	-0,021
389,0	-0,026
390,0	-0,021
391,0	-0,026
392,0	-0,021
393,0	-0,026
394,0	-0,026
395,0	-0,015
396,0	-0,026
397,0	-0,015
398,0	-0,021
399,0	-0,021
400,0	-0,021
401,0	-0,021
402,0	-0,015
403,0	-0,015
404,0	-0,015
405,0	-0,021
406,0	-0,021
407,0	-0,015
408,0	-0,021
409,0	-0,009
410,0	-0,021
411,0	-0,021
412,0	-0,015
413,0	-0,021
414,0	-0,015
415,0	-0,015
416,0	-0,015
417,0	-0,009
418,0	-0,015
419,0	-0,015
420,0	-0,015
421,0	-0,015
422,0	-0,015
423,0	-0,009
424,0	-0,015
425,0	-0,021
426,0	-0,021
427,0	-0,015
428,0	-0,015
429,0	-0,015
430,0	-0,015
431,0	-0,009
432,0	-0,009
433,0	-0,015
434,0	-0,009
435,0	-0,015
436,0	-0,009
437,0	-0,009
438,0	-0,009
439,0	-0,015
440,0	-0,009
441,0	-0,009
442,0	-0,003
443,0	-0,009
444,0	-0,009
445,0	-0,009
446,0	-0,009
447,0	-0,003
448,0	-0,009
449,0	-0,009
450,0	-0,009
451,0	-0,009
452,0	-0,009
453,0	-0,009
454,0	-0,009
455,0	-0,015
456,0	-0,009
457,0	-0,015
458,0	-0,009
459,0	-0,003
460,0	-0,009
461,0	-0,009
462,0	-0,009
463,0	-0,009
464,0	-0,009
465,0	-0,009
466,0	-0,009
467,0	-0,009
468,0	-0,009
469,0	-0,009
470,0	-0,009
471,0	-0,009
472,0	-0,009
473,0	-0,009
474,0	-0,009
475,0	-0,003
476,0	-0,003
477,0	-0,003
478,0	0,000
479,0	-0,003
480,0	0,003
481,0	0,003
482,0	0,015
483,0	0,024
484,0	0,041
485,0	0,079
486,0	0,127
487,0	0,192
488,0	0,290
489,0	0,409
490,0	0,583
491,0	0,768
492,0	0,998
493,0	1,205
494,0	1,390
495,0	1,514
496,0	1,555
497,0	1,549
498,0	1,439
499,0	1,279
500,0	1,105
501,0	0,934
502,0	0,781
503,0	0,633
504,0	0,520
505,0	0,429
506,0	0,352
507,0	0,294
508,0	0,246
509,0	0,212
510,0	0,182
511,0	0,154
512,0	0,127
513,0	0,110
514,0	0,095
515,0	0,079
516,0	0,073
517,0	0,063
518,0	0,052
519,0	0,052
520,0	0,041
521,0	0,037
522,0	0,031
523,0	0,031
524,0	0,024
525,0	0,020
526,0	0,020
527,0	0,015
528,0	0,015
529,0	0,015
530,0	0,009
531,0	0,003
532,0	0,003
533,0	0,003
534,0	0,003
535,0	0,000
536,0	0,000
537,0	0,003
538,0	0,003
539,0	0,003
540,0	0,003
541,0	0,000
542,0	0,000
543,0	0,000
544,0	0,000
545,0	0,000
546,0	0,000
547,0	0,000
548,0	0,000
549,0	0,000
550,0	0,000
551,0	-0,003
552,0	-0,003
553,0	0,000
554,0	0,000
555,0	-0,003
556,0	0,000
557,0	0,000
558,0	-0,003
559,0	-0,003
560,0	-0,003
561,0	0,000
562,0	0,000
563,0	0,000
564,0	0,000
565,0	-0,003
566,0	0,000
567,0	-0,003
568,0	0,000
569,0	-0,003
570,0	0,000
571,0	-0,003
572,0	-0,003
573,0	0,000
574,0	0,000
575,0	-0,003
576,0	-0,003
577,0	-0,003
578,0	0,000
579,0	-0,003
580,0	0,000
581,0	-0,003
582,0	0,000
583,0	-0,003
584,0	-0,003
585,0	-0,003
586,0	-0,003
587,0	0,000
588,0	0,000
589,0	0,000
590,0	0,000
591,0	-0,003
592,0	0,000
593,0	-0,003
594,0	-0,003
595,0	0,000
596,0	-0,003
597,0	0,000
598,0	0,000
599,0	0,000
600,0	-0,003
601,0	-0,003
602,0	0,000
603,0	0,000
604,0	0,000
605,0	-0,003
606,0	-0,003
607,0	-0,003
608,0	-0,003
609,0	-0,003
610,0	-0,003
611,0	0,000
612,0	-0,003
613,0	-0,003
614,0	-0,003
615,0	-0,003
616,0	0,000
617,0	-0,003
618,0	-0,003
619,0	-0,003
620,0	-0,003
621,0	-0,003
622,0	-0,003
623,0	-0,003
624,0	-0,003
625,0	0,000
626,0	-0,003
627,0	-0,003
628,0	-0,003
629,0	-0,003
630,0	0,000
631,0	-0,003
632,0	-0,003
633,0	-0,003
634,0	-0,003
635,0	-0,003
636,0	-0,003
637,0	-0,003
638,0	-0,003
639,0	-0,003
640,0	-0,003
641,0	-0,003
642,0	-0,003
643,0	-0,003
644,0	-0,003
645,0	-0,003
646,0	-0,009
647,0	-0,003
648,0	-0,003
649,0	-0,003
650,0	-0,003
651,0	-0,003
652,0	0,000
653,0	-0,009
654,0	-0,003
655,0	-0,003
656,0	-0,003
657,0	-0,003
658,0	-0,003
659,0	-0,003
660,0	-0,003
661,0	-0,003
662,0	-0,003
663,0	-0,003
664,0	-0,003
665,0	-0,003
666,0	-0,003
667,0	-0,003
668,0	-0,003
669,0	-0,003
670,0	-0,003
671,0	-0,003
672,0	-0,003
673,0	-0,003
674,0	-0,003
675,0	0,000
676,0	0,000
677,0	0,000
678,0	0,000
679,0	0,003
680,0	0,003
681,0	0,009
682,0	0,015
683,0	0,024
684,0	0,024
685,0	0,035
686,0	0,040
687,0	0,046
688,0	0,046
689,0	0,046
690,0	0,050
691,0	0,046
692,0	0,046
693,0	0,050
694,0	0,050
695,0	0,050
696,0	0,040
697,0	0,050
698,0	0,046
699,0	0,040
700,0	0,040
701,0	0,040
702,0	0,031
703,0	0,035
704,0	0,031
