[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 09:43:09
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	-2.927
251.0	-2.922
252.0	-2.899
253.0	-2.870
254.0	-2.853
255.0	-2.831
256.0	-2.826
257.0	-2.826
258.0	-2.812
259.0	-2.802
260.0	-2.782
261.0	-2.782
262.0	-2.768
263.0	-2.769
264.0	-2.768
265.0	-2.759
266.0	-2.756
267.0	-2.739
268.0	-2.748
269.0	-2.744
270.0	-2.750
271.0	-2.748
272.0	-2.750
273.0	-2.762
274.0	-2.751
275.0	-2.757
276.0	-2.745
277.0	-2.756
278.0	-2.766
279.0	-2.766
280.0	-2.769
281.0	-2.765
282.0	-2.762
283.0	-2.773
284.0	-2.771
285.0	-2.771
286.0	105.238
287.0	104.730
288.0	104.704
289.0	104.999
290.0	104.456
291.0	103.951
292.0	103.496
293.0	103.889
294.0	116.803
295.0	142.958
296.0	-2769.678
297.0	-145.135
298.0	-65.576
299.0	-40.768
300.0	-31.195
301.0	-25.076
302.0	-20.578
303.0	-17.592
304.0	-15.868
305.0	-14.702
306.0	-45.334
307.0	-33.458
308.0	-26.385
309.0	-22.015
310.0	-18.901
311.0	-16.214
312.0	-14.708
313.0	-12.770
314.0	-11.322
315.0	-10.400
316.0	-9.760
317.0	-8.899
318.0	-8.270
319.0	-7.782
320.0	-7.391
321.0	-6.950
322.0	-6.680
323.0	-6.339
324.0	-6.107
325.0	-5.844
326.0	-5.594
327.0	-5.476
328.0	-5.302
329.0	-5.203
330.0	-5.026
331.0	-4.901
332.0	-4.794
333.0	-4.654
334.0	-4.610
335.0	-4.532
336.0	-4.437
337.0	-4.393
338.0	-4.350
339.0	-4.291
340.0	-4.239
341.0	-4.214
342.0	-3.445
343.0	-1.155
344.0	1.671
345.0	4.552
346.0	7.062
347.0	9.651
348.0	12.250
349.0	14.464
350.0	16.295
351.0	17.613
352.0	19.177
353.0	19.777
354.0	20.462
355.0	20.958
356.0	21.420
357.0	21.924
358.0	22.316
359.0	16.165
360.0	18.025
361.0	20.033
362.0	22.337
363.0	24.600
364.0	27.591
365.0	29.825
366.0	32.896
367.0	35.048
368.0	37.254
369.0	39.099
370.0	40.454
371.0	41.359
372.0	41.489
373.0	40.927
374.0	40.021
375.0	38.490
376.0	36.688
377.0	35.095
378.0	32.800
379.0	31.084
380.0	29.762
381.0	28.278
382.0	27.264
383.0	26.180
384.0	25.755
385.0	25.429
386.0	25.323
387.0	25.491
388.0	25.562
389.0	26.111
390.0	26.814
391.0	28.014
392.0	28.720
393.0	30.362
394.0	31.802
395.0	33.299
396.0	35.136
397.0	37.126
398.0	38.747
399.0	40.840
400.0	42.430
401.0	43.571
402.0	44.363
403.0	44.899
404.0	44.841
405.0	44.376
406.0	43.642
407.0	42.473
408.0	40.909
409.0	39.299
410.0	37.897
411.0	36.172
412.0	34.566
413.0	33.195
414.0	31.882
415.0	30.675
416.0	29.785
417.0	28.952
418.0	28.177
419.0	27.692
420.0	27.295
421.0	27.069
422.0	26.880
423.0	26.819
424.0	27.023
425.0	27.402
426.0	27.750
427.0	28.348
428.0	28.963
429.0	29.926
430.0	30.609
431.0	32.568
432.0	33.951
433.0	35.388
434.0	37.100
435.0	39.023
436.0	41.273
437.0	43.622
438.0	46.300
439.0	49.095
440.0	52.161
441.0	55.461
442.0	58.855
443.0	62.363
444.0	65.910
445.0	69.472
446.0	72.781
447.0	75.755
448.0	78.487
449.0	80.565
450.0	81.831
451.0	82.364
452.0	82.423
453.0	81.572
454.0	79.846
455.0	77.556
456.0	74.818
457.0	71.996
458.0	68.657
459.0	65.179
460.0	61.981
461.0	58.820
462.0	55.817
463.0	52.859
464.0	50.218
465.0	47.743
466.0	45.355
467.0	43.430
468.0	41.481
469.0	39.893
470.0	38.286
471.0	37.013
472.0	35.684
473.0	34.679
474.0	33.974
475.0	33.246
476.0	32.675
477.0	32.188
478.0	31.941
479.0	31.760
480.0	31.628
481.0	31.708
482.0	31.931
483.0	32.198
484.0	32.697
485.0	33.194
486.0	33.968
487.0	34.792
488.0	35.847
489.0	37.027
490.0	38.451
491.0	40.295
492.0	41.878
493.0	44.069
494.0	46.318
495.0	48.964
496.0	51.826
497.0	55.060
498.0	58.580
499.0	62.358
500.0	66.306
501.0	70.297
502.0	74.399
503.0	78.246
504.0	81.551
505.0	84.180
506.0	85.956
507.0	86.258
508.0	84.941
509.0	82.321
510.0	78.706
511.0	73.854
512.0	68.878
513.0	63.280
514.0	57.863
515.0	52.234
516.0	46.912
517.0	42.389
518.0	37.984
519.0	34.210
520.0	30.644
521.0	27.455
522.0	24.702
523.0	22.302
524.0	20.233
525.0	18.291
526.0	16.615
527.0	15.060
528.0	13.710
529.0	12.509
530.0	11.649
531.0	10.364
532.0	9.616
533.0	8.888
534.0	8.308
535.0	7.709
536.0	7.256
537.0	6.776
538.0	6.351
539.0	5.969
540.0	5.592
541.0	5.287
542.0	4.924
543.0	4.671
544.0	4.372
545.0	4.089
546.0	3.885
547.0	3.712
548.0	3.534
549.0	3.374
550.0	3.258
551.0	3.125
552.0	3.041
553.0	2.927
554.0	2.835
555.0	2.786
556.0	2.724
557.0	2.664
558.0	2.589
559.0	2.574
560.0	2.510
561.0	2.448
562.0	2.382
563.0	2.347
564.0	2.271
565.0	2.226
566.0	2.158
567.0	2.074
568.0	2.005
569.0	1.944
570.0	1.872
571.0	1.848
572.0	1.804
573.0	1.784
574.0	1.732
575.0	1.715
576.0	1.682
577.0	1.675
578.0	1.683
579.0	1.685
580.0	1.688
581.0	1.700
582.0	1.698
583.0	1.683
584.0	1.704
585.0	1.717
586.0	1.741
587.0	1.732
588.0	1.758
589.0	1.746
590.0	1.755
591.0	1.755
592.0	1.773
593.0	1.758
594.0	1.764
595.0	1.765
596.0	1.768
597.0	1.773
598.0	1.794
599.0	1.775
600.0	1.784
601.0	1.775
602.0	1.785
603.0	1.799
604.0	1.793
605.0	1.793
606.0	1.830
607.0	1.836
608.0	1.840
609.0	1.855
610.0	1.868
611.0	1.883
612.0	1.895
613.0	1.918
614.0	1.949
615.0	1.953
616.0	1.982
617.0	1.982
618.0	2.029
619.0	2.057
620.0	2.074
621.0	2.100
622.0	2.148
623.0	2.202
624.0	2.237
625.0	2.322
626.0	2.383
627.0	2.469
628.0	2.524
629.0	2.600
630.0	2.657
631.0	2.742
632.0	2.785
633.0	2.841
634.0	2.892
635.0	2.950
636.0	3.011
637.0	3.065
638.0	3.102
639.0	3.163
640.0	3.232
641.0	3.282
642.0	3.345
643.0	3.423
644.0	3.473
645.0	3.531
646.0	3.658
647.0	3.717
648.0	3.819
649.0	3.908
650.0	3.979
651.0	4.123
652.0	4.216
653.0	4.333
654.0	4.431
655.0	4.597
656.0	4.706
657.0	4.829
658.0	4.971
659.0	5.135
660.0	5.292
661.0	5.434
662.0	5.620
663.0	5.795
664.0	5.994
665.0	6.152
666.0	6.326
667.0	6.551
668.0	6.731
669.0	6.984
670.0	7.242
671.0	7.480
672.0	7.677
673.0	7.988
674.0	8.241
675.0	8.501
676.0	8.774
677.0	9.088
678.0	9.444
679.0	9.775
680.0	10.088
681.0	10.556
682.0	10.800
683.0	11.215
684.0	11.633
685.0	12.057
686.0	12.512
687.0	12.898
688.0	13.393
689.0	13.849
690.0	14.406
691.0	14.813
692.0	15.456
693.0	16.037
694.0	16.571
695.0	17.278
696.0	17.882
697.0	18.526
698.0	19.191
699.0	19.873
700.0	20.665
701.0	21.368
702.0	22.194
703.0	22.958
704.0	23.831
705.0	24.716
706.0	25.552
707.0	26.537
708.0	27.469
709.0	28.552
710.0	29.576
711.0	30.566
712.0	31.909
713.0	32.790
714.0	33.989
715.0	35.193
716.0	36.383
717.0	37.703
718.0	38.953
719.0	40.279
720.0	41.594
721.0	42.854
722.0	44.337
723.0	45.796
724.0	47.144
725.0	48.558
726.0	49.995
727.0	51.523
728.0	53.004
729.0	54.626
730.0	56.038
731.0	57.619
732.0	59.195
733.0	60.800
