[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 10:27:51
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	900,0000 to 1500,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
900.0	1.309
901.0	1.547
902.0	1.324
903.0	1.260
904.0	1.434
905.0	1.265
906.0	1.299
907.0	0.867
908.0	1.393
909.0	1.512
910.0	1.653
911.0	1.593
912.0	1.401
913.0	1.472
914.0	0.990
915.0	1.379
916.0	1.369
917.0	1.105
918.0	1.210
919.0	1.115
920.0	0.951
921.0	1.314
922.0	1.180
923.0	1.274
924.0	0.932
925.0	1.173
926.0	1.300
927.0	1.073
928.0	0.993
929.0	0.879
930.0	0.934
931.0	1.051
932.0	1.108
933.0	0.935
934.0	0.955
935.0	0.827
936.0	0.876
937.0	1.085
938.0	0.735
939.0	0.789
940.0	1.047
941.0	0.970
942.0	0.644
943.0	0.923
944.0	0.716
945.0	0.595
946.0	0.813
947.0	0.500
948.0	0.603
949.0	0.871
950.0	0.694
951.0	0.743
952.0	0.734
953.0	0.702
954.0	0.645
955.0	0.560
956.0	0.629
957.0	0.819
958.0	0.743
959.0	0.685
960.0	0.485
961.0	0.603
962.0	0.662
963.0	0.658
964.0	0.652
965.0	0.623
966.0	0.688
967.0	0.589
968.0	0.587
969.0	0.423
970.0	0.774
971.0	0.635
972.0	0.758
973.0	0.713
974.0	0.749
975.0	0.681
976.0	0.758
977.0	0.668
978.0	0.731
979.0	0.723
980.0	0.679
981.0	0.711
982.0	0.587
983.0	0.766
984.0	0.803
985.0	0.865
986.0	0.795
987.0	0.635
988.0	0.746
989.0	0.645
990.0	0.916
991.0	0.774
992.0	0.674
993.0	0.800
994.0	0.702
995.0	0.975
996.0	0.912
997.0	0.797
998.0	0.807
999.0	0.856
1000.0	0.900
1001.0	0.984
1002.0	0.923
1003.0	0.827
1004.0	0.809
1005.0	1.009
1006.0	1.006
1007.0	1.064
1008.0	0.955
1009.0	1.086
1010.0	0.958
1011.0	1.025
1012.0	1.016
1013.0	0.995
1014.0	0.937
1015.0	1.079
1016.0	1.028
1017.0	1.166
1018.0	1.004
1019.0	0.964
1020.0	0.941
1021.0	1.079
1022.0	0.977
1023.0	1.054
1024.0	1.094
1025.0	1.016
1026.0	0.899
1027.0	0.955
1028.0	0.925
1029.0	0.858
1030.0	0.888
1031.0	0.990
1032.0	0.894
1033.0	0.752
1034.0	0.883
1035.0	0.702
1036.0	0.876
1037.0	0.772
1038.0	0.768
1039.0	0.735
1040.0	0.777
1041.0	0.815
1042.0	0.728
1043.0	0.667
1044.0	0.798
1045.0	0.693
1046.0	0.859
1047.0	0.700
1048.0	0.598
1049.0	0.600
1050.0	0.638
1051.0	0.679
1052.0	0.648
1053.0	0.560
1054.0	0.433
1055.0	0.612
1056.0	0.542
1057.0	0.584
1058.0	0.623
1059.0	0.499
1060.0	0.385
1061.0	0.562
1062.0	0.519
1063.0	0.479
1064.0	0.491
1065.0	0.569
1066.0	0.597
1067.0	0.513
1068.0	0.568
1069.0	0.404
1070.0	0.470
1071.0	0.523
1072.0	0.522
1073.0	0.562
1074.0	0.519
1075.0	0.505
1076.0	0.560
1077.0	0.531
1078.0	0.465
1079.0	0.504
1080.0	0.504
1081.0	0.598
1082.0	0.517
1083.0	0.558
1084.0	0.478
1085.0	0.305
1086.0	0.505
1087.0	0.455
1088.0	0.522
1089.0	0.481
1090.0	0.496
1091.0	0.627
1092.0	0.536
1093.0	0.496
1094.0	0.443
1095.0	0.539
1096.0	0.536
1097.0	0.523
1098.0	0.510
1099.0	0.552
1100.0	0.497
1101.0	0.589
1102.0	0.563
1103.0	0.560
1104.0	0.496
1105.0	0.522
1106.0	0.507
1107.0	0.531
1108.0	0.528
1109.0	0.542
1110.0	0.511
1111.0	0.577
1112.0	0.494
1113.0	0.594
1114.0	0.528
1115.0	0.525
1116.0	0.513
1117.0	0.610
1118.0	0.658
1119.0	0.615
1120.0	0.598
1121.0	0.548
1122.0	0.667
1123.0	0.655
1124.0	0.656
1125.0	0.699
1126.0	0.586
1127.0	0.652
1128.0	0.662
1129.0	0.620
1130.0	0.616
1131.0	0.575
1132.0	0.705
1133.0	0.626
1134.0	0.668
1135.0	0.708
1136.0	0.656
1137.0	0.743
1138.0	0.769
1139.0	0.667
1140.0	0.713
1141.0	0.664
1142.0	0.761
1143.0	0.764
1144.0	0.763
1145.0	0.768
1146.0	0.687
1147.0	0.861
1148.0	0.876
1149.0	0.789
1150.0	0.734
1151.0	0.797
1152.0	0.714
1153.0	0.850
1154.0	0.818
1155.0	0.612
1156.0	0.679
1157.0	0.833
1158.0	0.761
1159.0	0.847
1160.0	0.749
1161.0	0.713
1162.0	0.671
1163.0	0.774
1164.0	0.735
1165.0	0.687
1166.0	0.713
1167.0	0.650
1168.0	0.748
1169.0	0.673
1170.0	0.766
1171.0	0.679
1172.0	0.595
1173.0	0.595
1174.0	0.681
1175.0	0.691
1176.0	0.636
1177.0	0.548
1178.0	0.645
1179.0	0.546
1180.0	0.526
1181.0	0.558
1182.0	0.526
1183.0	0.603
1184.0	0.600
1185.0	0.461
1186.0	0.504
1187.0	0.507
1188.0	0.377
1189.0	0.471
1190.0	0.485
1191.0	0.420
1192.0	0.496
1193.0	0.368
1194.0	0.432
1195.0	0.444
1196.0	0.409
1197.0	0.444
1198.0	0.443
1199.0	0.511
1200.0	0.488
1201.0	0.496
1202.0	0.520
1203.0	0.476
1204.0	0.369
1205.0	0.282
1206.0	0.316
1207.0	0.360
1208.0	0.403
1209.0	0.362
1210.0	0.459
1211.0	0.461
1212.0	0.360
1213.0	0.459
1214.0	0.429
1215.0	0.439
1216.0	0.400
1217.0	0.407
1218.0	0.298
1219.0	0.452
1220.0	0.420
1221.0	0.400
1222.0	0.388
1223.0	0.412
1224.0	0.366
1225.0	0.388
1226.0	0.368
1227.0	0.400
1228.0	0.403
1229.0	0.414
1230.0	0.336
1231.0	0.381
1232.0	0.426
1233.0	0.394
1234.0	0.415
1235.0	0.362
1236.0	0.316
1237.0	0.327
1238.0	0.395
1239.0	0.327
1240.0	0.261
1241.0	0.340
1242.0	0.456
1243.0	0.252
1244.0	0.352
1245.0	0.308
1246.0	0.410
1247.0	0.298
1248.0	0.343
1249.0	0.345
1250.0	0.346
1251.0	0.320
1252.0	0.438
1253.0	0.334
1254.0	0.346
1255.0	0.371
1256.0	0.406
1257.0	0.407
1258.0	0.476
1259.0	0.360
1260.0	0.362
1261.0	0.397
1262.0	0.447
1263.0	0.388
1264.0	0.352
1265.0	0.352
1266.0	0.354
1267.0	0.259
1268.0	0.508
1269.0	0.357
1270.0	0.487
1271.0	0.429
1272.0	0.511
1273.0	0.453
1274.0	0.468
1275.0	0.478
1276.0	0.566
1277.0	0.264
1278.0	0.432
1279.0	0.374
1280.0	0.507
1281.0	0.461
1282.0	0.388
1283.0	0.401
1284.0	0.534
1285.0	0.536
1286.0	0.537
1287.0	0.452
1288.0	0.394
1289.0	0.516
1290.0	0.641
1291.0	0.578
1292.0	0.493
1293.0	0.496
1294.0	0.607
1295.0	0.623
1296.0	0.510
1297.0	0.537
1298.0	0.502
1299.0	0.540
1300.0	0.529
1301.0	0.555
1302.0	0.522
1303.0	0.623
1304.0	0.676
1305.0	0.587
1306.0	0.543
1307.0	0.522
1308.0	0.592
1309.0	0.548
1310.0	0.536
1311.0	0.459
1312.0	0.655
1313.0	0.607
1314.0	0.616
1315.0	0.562
1316.0	0.653
1317.0	0.572
1318.0	0.560
1319.0	0.648
1320.0	0.623
1321.0	0.687
1322.0	0.620
1323.0	0.711
1324.0	0.633
1325.0	0.609
1326.0	0.673
1327.0	0.569
1328.0	0.546
1329.0	0.662
1330.0	0.499
1331.0	0.511
1332.0	0.592
1333.0	0.591
1334.0	0.514
1335.0	0.571
1336.0	0.731
1337.0	0.562
1338.0	0.572
1339.0	0.536
1340.0	0.606
1341.0	0.607
1342.0	0.789
1343.0	0.597
1344.0	0.641
1345.0	0.548
1346.0	0.522
1347.0	0.429
1348.0	0.688
1349.0	0.566
1350.0	0.604
