[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 11:32:39
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	350,0000 to 1300,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
350.0	16.449
352.0	16.431
354.0	16.431
356.0	16.248
358.0	16.589
360.0	16.547
362.0	16.638
364.0	17.078
366.0	17.444
368.0	17.828
370.0	18.219
372.0	18.408
374.0	18.402
376.0	18.597
378.0	18.774
380.0	18.884
382.0	19.147
384.0	19.379
386.0	19.550
388.0	19.775
390.0	19.983
392.0	20.148
394.0	20.300
396.0	20.456
398.0	20.432
400.0	20.590
402.0	20.615
404.0	20.749
406.0	20.923
408.0	20.953
410.0	21.075
412.0	21.085
414.0	21.170
416.0	21.259
418.0	21.439
420.0	21.616
422.0	21.768
424.0	21.912
426.0	21.976
428.0	22.110
430.0	22.159
432.0	22.314
434.0	22.406
436.0	22.479
438.0	22.589
440.0	22.626
442.0	22.668
444.0	22.714
446.0	22.781
448.0	22.845
450.0	22.916
452.0	22.937
454.0	22.934
456.0	22.952
458.0	22.943
460.0	22.974
462.0	23.059
464.0	23.178
466.0	23.288
468.0	23.456
470.0	23.557
472.0	23.703
474.0	23.926
476.0	24.124
478.0	24.402
480.0	24.664
482.0	24.966
484.0	25.348
486.0	25.735
488.0	26.212
490.0	26.761
492.0	27.347
494.0	28.079
496.0	28.821
498.0	29.660
500.0	30.573
502.0	31.534
504.0	32.483
506.0	33.426
508.0	34.445
510.0	35.379
512.0	36.465
514.0	37.488
516.0	38.525
518.0	39.560
520.0	40.530
522.0	41.586
524.0	42.566
526.0	43.442
528.0	43.900
530.0	44.989
532.0	46.011
534.0	47.031
536.0	48.489
538.0	49.213
540.0	49.930
542.0	50.858
544.0	51.645
546.0	52.441
548.0	53.244
550.0	53.897
552.0	54.541
554.0	55.151
556.0	55.762
558.0	56.409
560.0	57.104
562.0	57.864
564.0	58.456
566.0	58.994
568.0	59.525
570.0	59.961
572.0	60.510
574.0	61.035
576.0	61.523
578.0	62.134
580.0	62.616
582.0	63.202
584.0	63.647
586.0	63.989
588.0	64.441
590.0	64.746
592.0	65.167
594.0	65.506
596.0	65.839
598.0	66.211
600.0	66.507
602.0	66.803
604.0	67.130
606.0	67.389
608.0	67.627
610.0	67.999
612.0	68.307
614.0	68.710
616.0	69.183
618.0	69.571
620.0	69.919
622.0	70.044
624.0	70.154
626.0	70.242
628.0	70.407
630.0	70.844
632.0	71.115
634.0	71.545
636.0	71.988
638.0	72.339
640.0	72.824
642.0	73.035
644.0	73.169
646.0	73.438
648.0	73.663
650.0	73.883
652.0	74.146
654.0	74.310
656.0	74.487
658.0	74.756
660.0	74.915
662.0	75.076
664.0	75.418
666.0	75.687
668.0	75.894
670.0	76.224
672.0	76.263
674.0	76.324
676.0	76.492
678.0	76.556
680.0	76.895
682.0	77.011
684.0	77.264
686.0	77.487
688.0	77.426
690.0	77.753
692.0	77.972
694.0	78.021
696.0	78.278
698.0	78.540
700.0	78.595
702.0	78.683
704.0	79.007
706.0	79.156
708.0	79.407
710.0	79.495
712.0	79.443
714.0	79.477
716.0	79.654
718.0	79.895
720.0	79.977
722.0	79.901
724.0	79.861
726.0	79.858
728.0	80.060
730.0	80.499
732.0	80.508
734.0	80.536
736.0	80.841
738.0	80.661
740.0	80.969
742.0	81.354
744.0	81.610
746.0	82.007
748.0	82.083
750.0	81.802
752.0	81.003
754.0	80.640
756.0	80.469
758.0	80.795
760.0	81.537
762.0	82.208
764.0	82.751
766.0	83.395
768.0	83.243
770.0	82.022
772.0	82.071
774.0	81.128
776.0	80.734
778.0	82.181
780.0	82.938
782.0	83.667
784.0	84.869
786.0	84.546
788.0	84.131
790.0	84.021
792.0	83.185
794.0	83.069
796.0	82.880
798.0	81.012
800.0	81.580
802.0	80.725
804.0	80.646
806.0	82.697
808.0	83.752
810.0	84.277
812.0	84.625
814.0	83.807
816.0	82.642
818.0	84.344
820.0	85.956
822.0	86.380
824.0	85.422
826.0	83.707
828.0	82.211
830.0	81.329
832.0	82.776
834.0	82.669
836.0	79.282
838.0	80.753
840.0	83.701
842.0	84.061
844.0	86.642
846.0	86.459
848.0	81.323
850.0	83.990
852.0	84.912
854.0	80.051
856.0	83.310
858.0	73.401
860.0	79.071
862.0	94.821
864.0	87.790
866.0	109.232
868.0	109.363
870.0	149.762
872.0	162.039
874.0	149.588
876.0	177.722
878.0	113.753
880.0	137.068
882.0	152.138
884.0	120.412
886.0	132.373
888.0	102.875
890.0	91.415
892.0	92.264
894.0	96.564
896.0	94.876
898.0	91.800
900.0	88.928
902.0	89.783
904.0	93.683
906.0	94.025
908.0	96.594
910.0	93.314
912.0	93.265
914.0	92.770
916.0	88.470
918.0	88.721
920.0	87.903
922.0	85.260
924.0	87.137
926.0	86.041
928.0	82.172
930.0	84.494
932.0	85.403
934.0	84.827
936.0	89.255
938.0	90.231
940.0	89.182
942.0	91.284
944.0	89.865
946.0	88.727
948.0	89.111
950.0	87.717
952.0	88.065
954.0	86.841
956.0	87.469
958.0	88.843
960.0	88.675
962.0	89.774
964.0	89.154
966.0	89.304
968.0	89.136
970.0	89.355
972.0	88.760
974.0	87.268
976.0	88.071
978.0	87.509
980.0	87.698
982.0	88.995
984.0	87.326
986.0	87.469
988.0	88.177
990.0	87.042
992.0	87.732
994.0	87.726
996.0	87.717
998.0	89.157
1000.0	89.737
1002.0	90.359
1004.0	90.082
1006.0	89.407
1008.0	88.058
1010.0	87.695
1012.0	88.474
1014.0	88.068
1016.0	88.446
1018.0	88.876
1020.0	88.135
1022.0	87.656
1024.0	88.101
1026.0	87.601
1028.0	87.943
1030.0	89.114
1032.0	89.194
1034.0	90.067
1036.0	90.323
1038.0	89.572
1040.0	89.401
1042.0	88.370
1044.0	88.351
1046.0	88.135
1048.0	88.058
1050.0	88.638
1052.0	88.974
1054.0	89.615
1056.0	90.372
1058.0	90.387
1060.0	89.816
1062.0	90.094
1064.0	89.810
1066.0	90.189
1068.0	89.597
1070.0	90.414
1072.0	91.376
1074.0	91.489
1076.0	91.800
1078.0	90.686
1080.0	90.024
1082.0	89.725
1084.0	90.222
1086.0	90.939
1088.0	90.598
1090.0	90.247
1092.0	90.863
1094.0	90.295
1096.0	90.506
1098.0	90.820
1100.0	90.607
1102.0	91.074
1104.0	91.010
1106.0	91.049
1108.0	91.000
1110.0	89.993
1112.0	90.259
1114.0	90.427
1116.0	90.030
1118.0	90.887
1120.0	90.677
1122.0	89.496
1124.0	89.670
1126.0	88.992
1128.0	89.365
1130.0	90.866
1132.0	90.610
1134.0	91.153
1136.0	91.324
1138.0	90.759
1140.0	90.918
1142.0	91.251
1144.0	90.848
1146.0	90.729
1148.0	90.677
1150.0	90.225
1152.0	90.625
1154.0	91.183
1156.0	91.150
1158.0	91.711
1160.0	91.812
1162.0	91.995
1164.0	92.786
1166.0	92.719
1168.0	92.715
1170.0	91.797
1172.0	90.741
1174.0	90.857
1176.0	90.527
1178.0	91.061
1180.0	91.763
1182.0	91.910
1184.0	92.090
1186.0	91.684
1188.0	91.907
1190.0	92.264
1192.0	92.291
1194.0	92.789
1196.0	92.432
1198.0	91.656
1200.0	91.891
1202.0	91.666
1204.0	91.681
1206.0	91.800
1208.0	91.666
1210.0	92.175
1212.0	91.959
1214.0	92.017
1216.0	91.858
1218.0	91.879
1220.0	92.166
1222.0	92.502
1224.0	92.654
1226.0	92.548
1228.0	93.204
1230.0	92.865
1232.0	92.749
1234.0	92.484
1236.0	91.486
1238.0	91.489
1240.0	91.498
1242.0	91.907
1244.0	91.992
1246.0	92.468
1248.0	92.508
1250.0	92.667
1252.0	93.066
1254.0	92.755
1256.0	92.865
1258.0	92.871
1260.0	93.063
1262.0	93.497
1264.0	93.433
1266.0	93.649
1268.0	93.060
1270.0	93.002
1272.0	93.192
1274.0	92.395
1276.0	92.905
1278.0	93.390
1280.0	93.860
1282.0	94.614
1284.0	94.827
1286.0	95.081
1288.0	95.135
1290.0	95.236
1292.0	95.541
1294.0	94.537
1296.0	94.528
1298.0	94.534
1300.0	94.461
