[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 11:36:55
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	350,0000 to 1300,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
350.0	2.533
352.0	2.728
354.0	2.765
356.0	2.698
358.0	2.753
360.0	2.606
362.0	2.557
364.0	2.585
366.0	2.695
368.0	2.725
370.0	2.890
372.0	2.979
374.0	2.948
376.0	2.966
378.0	2.985
380.0	3.070
382.0	3.204
384.0	3.485
386.0	3.854
388.0	4.404
390.0	5.203
392.0	6.192
394.0	7.346
396.0	8.548
398.0	9.747
400.0	10.873
402.0	11.847
404.0	12.653
406.0	13.403
408.0	13.925
410.0	14.407
412.0	14.828
414.0	15.134
416.0	15.387
418.0	15.567
420.0	15.787
422.0	15.964
424.0	16.116
426.0	16.333
428.0	16.428
430.0	16.528
432.0	16.666
434.0	16.730
436.0	16.879
438.0	16.928
440.0	17.026
442.0	17.075
444.0	17.163
446.0	17.206
448.0	17.276
450.0	17.331
452.0	17.343
454.0	17.429
456.0	17.374
458.0	17.392
460.0	17.361
462.0	17.377
464.0	17.395
466.0	17.371
468.0	17.371
470.0	17.282
472.0	17.203
474.0	17.209
476.0	17.148
478.0	17.169
480.0	17.184
482.0	17.056
484.0	17.001
486.0	16.849
488.0	16.742
490.0	16.699
492.0	16.611
494.0	16.641
496.0	16.647
498.0	16.669
500.0	16.718
502.0	16.800
504.0	16.919
506.0	17.075
508.0	17.288
510.0	17.496
512.0	17.731
514.0	17.963
516.0	18.198
518.0	18.484
520.0	18.753
522.0	19.055
524.0	19.431
526.0	19.702
528.0	19.940
530.0	20.331
532.0	20.764
534.0	21.182
536.0	21.768
538.0	22.235
540.0	22.577
542.0	23.050
544.0	23.428
546.0	23.761
548.0	24.109
550.0	24.454
552.0	24.872
554.0	25.250
556.0	25.684
558.0	26.025
560.0	26.367
562.0	26.779
564.0	27.127
566.0	27.536
568.0	27.933
570.0	28.247
572.0	28.601
574.0	28.967
576.0	29.327
578.0	29.694
580.0	30.103
582.0	30.499
584.0	30.859
586.0	31.213
588.0	31.567
590.0	31.830
592.0	32.123
594.0	32.495
596.0	32.782
598.0	33.127
600.0	33.432
602.0	33.743
604.0	34.106
606.0	34.442
608.0	34.787
610.0	35.043
612.0	35.333
614.0	35.641
616.0	36.026
618.0	36.496
620.0	36.823
622.0	37.192
624.0	37.469
626.0	37.634
628.0	37.970
630.0	38.300
632.0	38.611
634.0	38.995
636.0	39.352
638.0	39.685
640.0	39.996
642.0	40.295
644.0	40.582
646.0	40.875
648.0	41.180
650.0	41.492
652.0	41.711
654.0	41.901
656.0	42.175
658.0	42.419
660.0	42.670
662.0	42.798
664.0	42.938
666.0	42.969
668.0	43.002
670.0	43.149
672.0	43.185
674.0	43.381
676.0	43.604
678.0	43.872
680.0	44.174
682.0	44.681
684.0	45.117
686.0	45.422
688.0	45.908
690.0	46.185
692.0	46.591
694.0	47.055
696.0	47.375
698.0	47.794
700.0	48.083
702.0	48.340
704.0	48.624
706.0	48.892
708.0	49.121
710.0	49.374
712.0	49.500
714.0	49.612
716.0	49.854
718.0	50.018
720.0	50.427
722.0	50.494
724.0	50.674
726.0	50.903
728.0	51.126
730.0	51.617
732.0	51.895
734.0	52.191
736.0	52.423
738.0	52.545
740.0	52.676
742.0	52.902
744.0	53.122
746.0	53.290
748.0	53.516
750.0	53.418
752.0	53.375
754.0	53.467
756.0	53.555
758.0	53.983
760.0	54.068
762.0	54.700
764.0	54.831
766.0	55.365
768.0	55.597
770.0	55.402
772.0	56.195
774.0	55.804
776.0	55.692
778.0	56.021
780.0	55.429
782.0	55.576
784.0	56.537
786.0	56.488
788.0	57.721
790.0	58.051
792.0	58.075
794.0	57.831
796.0	57.141
798.0	56.815
800.0	57.187
802.0	57.779
804.0	58.670
806.0	58.899
808.0	58.453
810.0	58.652
812.0	58.517
814.0	59.311
816.0	59.940
818.0	60.724
820.0	60.968
822.0	60.208
824.0	60.269
826.0	58.261
828.0	58.163
830.0	58.762
832.0	59.689
834.0	60.910
836.0	58.850
838.0	59.433
840.0	57.935
842.0	56.894
844.0	59.558
846.0	59.235
848.0	59.579
850.0	61.127
852.0	61.685
854.0	62.277
856.0	65.280
858.0	63.260
860.0	74.915
862.0	84.912
864.0	89.877
866.0	84.872
868.0	63.583
870.0	93.546
872.0	101.813
874.0	108.563
876.0	121.875
878.0	90.344
880.0	322.308
882.0	315.967
884.0	313.382
886.0	302.856
888.0	54.456
890.0	62.213
892.0	60.092
894.0	61.618
896.0	63.312
898.0	63.956
900.0	62.711
902.0	61.859
904.0	59.973
906.0	58.047
908.0	59.491
910.0	63.693
912.0	65.512
914.0	65.085
916.0	64.624
918.0	63.150
920.0	63.214
922.0	62.689
924.0	64.331
926.0	62.631
928.0	61.469
930.0	63.824
932.0	62.903
934.0	64.658
936.0	66.446
938.0	66.956
940.0	67.664
942.0	67.148
944.0	67.557
946.0	66.333
948.0	67.270
950.0	68.082
952.0	66.946
954.0	67.856
956.0	66.498
958.0	66.339
960.0	66.217
962.0	66.650
964.0	66.660
966.0	66.489
968.0	66.681
970.0	67.352
972.0	67.743
974.0	67.877
976.0	68.463
978.0	66.809
980.0	66.937
982.0	67.221
984.0	66.934
986.0	67.801
988.0	69.083
990.0	68.063
992.0	68.307
994.0	68.069
996.0	67.456
998.0	68.188
1000.0	68.396
1002.0	69.360
1004.0	69.119
1006.0	68.765
1008.0	68.954
1010.0	68.243
1012.0	67.490
1014.0	67.847
1016.0	67.831
1018.0	68.735
1020.0	70.221
1022.0	69.763
1024.0	69.455
1026.0	68.893
1028.0	68.365
1030.0	69.492
1032.0	69.418
1034.0	69.693
1036.0	70.142
1038.0	69.867
1040.0	70.367
1042.0	70.499
1044.0	70.663
1046.0	70.148
1048.0	70.856
1050.0	70.059
1052.0	70.462
1054.0	71.539
1056.0	71.304
1058.0	72.690
1060.0	72.144
1062.0	71.683
1064.0	71.664
1066.0	70.868
1068.0	70.676
1070.0	71.265
1072.0	71.527
1074.0	72.452
1076.0	72.549
1078.0	72.272
1080.0	72.357
1082.0	71.704
1084.0	72.348
1086.0	72.980
1088.0	72.952
1090.0	72.922
1092.0	73.105
1094.0	72.531
1096.0	71.722
1098.0	71.982
1100.0	71.436
1102.0	71.466
1104.0	72.198
1106.0	72.375
1108.0	72.806
1110.0	72.467
1112.0	72.263
1114.0	71.631
1116.0	70.908
1118.0	70.715
1120.0	70.490
1122.0	69.711
1124.0	69.086
1126.0	67.975
1128.0	66.852
1130.0	66.367
1132.0	65.491
1134.0	65.134
1136.0	65.298
1138.0	65.469
1140.0	65.881
1142.0	66.559
1144.0	66.733
1146.0	67.447
1148.0	68.445
1150.0	69.540
1152.0	70.416
1154.0	71.185
1156.0	71.490
1158.0	71.811
1160.0	72.174
1162.0	72.324
1164.0	72.223
1166.0	72.043
1168.0	71.814
1170.0	71.167
1172.0	70.789
1174.0	70.685
1176.0	70.233
1178.0	70.297
1180.0	70.068
1182.0	69.955
1184.0	69.992
1186.0	69.519
1188.0	69.690
1190.0	69.748
1192.0	70.065
1194.0	71.030
1196.0	72.473
1198.0	73.373
1200.0	74.115
1202.0	75.092
1204.0	75.037
1206.0	75.906
1208.0	75.842
1210.0	75.696
1212.0	75.833
1214.0	75.278
1216.0	76.135
1218.0	76.917
1220.0	77.240
1222.0	77.768
1224.0	77.203
1226.0	77.017
1228.0	77.798
1230.0	77.792
1232.0	78.635
1234.0	78.580
1236.0	77.921
1238.0	77.795
1240.0	77.234
1242.0	77.423
1244.0	77.710
1246.0	78.479
1248.0	79.181
1250.0	79.437
1252.0	79.343
1254.0	79.477
1256.0	79.456
1258.0	78.976
1260.0	79.141
1262.0	78.281
1264.0	77.802
1266.0	78.406
1268.0	78.412
1270.0	79.520
1272.0	79.935
1274.0	79.697
1276.0	79.871
1278.0	79.337
1280.0	79.471
1282.0	79.788
1284.0	79.987
1286.0	80.875
1288.0	81.119
1290.0	80.862
1292.0	80.682
1294.0	80.280
1296.0	80.197
1298.0	80.420
1300.0	80.585
