[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 10:14:25
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	350,0000 to 1100,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
350.0	-0.021
351.0	-0.021
352.0	-0.027
353.0	-0.032
354.0	-0.027
355.0	-0.026
356.0	-0.015
357.0	-0.026
358.0	-0.026
359.0	-0.038
360.0	-0.027
361.0	-0.038
362.0	-0.027
363.0	-0.021
364.0	-0.032
365.0	-0.021
366.0	-0.021
367.0	-0.021
368.0	-0.015
369.0	-0.015
370.0	-0.009
371.0	-0.009
372.0	-0.003
373.0	0.000
374.0	0.003
375.0	0.009
376.0	0.021
377.0	0.044
378.0	0.060
379.0	0.087
380.0	0.128
381.0	0.166
382.0	0.223
383.0	0.290
384.0	0.374
385.0	0.479
386.0	0.580
387.0	0.703
388.0	0.845
389.0	1.016
390.0	1.193
391.0	1.343
392.0	1.532
393.0	1.678
394.0	1.875
395.0	2.019
396.0	2.177
397.0	2.310
398.0	2.461
399.0	2.556
400.0	2.686
401.0	2.779
402.0	2.872
403.0	2.956
404.0	3.032
405.0	3.090
406.0	3.192
407.0	3.220
408.0	3.258
409.0	3.345
410.0	3.363
411.0	3.409
412.0	3.458
413.0	3.516
414.0	3.548
415.0	3.580
416.0	3.615
417.0	3.664
418.0	3.697
419.0	3.706
420.0	3.754
421.0	3.786
422.0	3.836
423.0	3.868
424.0	3.908
425.0	3.947
426.0	3.975
427.0	4.010
428.0	4.039
429.0	4.077
430.0	4.131
431.0	4.138
432.0	4.189
433.0	4.231
434.0	4.271
435.0	4.298
436.0	4.330
437.0	4.390
438.0	4.413
439.0	4.474
440.0	4.497
441.0	4.570
442.0	4.597
443.0	4.642
444.0	4.707
445.0	4.726
446.0	4.768
447.0	4.851
448.0	4.892
449.0	4.922
450.0	4.990
451.0	5.038
452.0	5.107
453.0	5.161
454.0	5.211
455.0	5.284
456.0	5.348
457.0	5.367
458.0	5.461
459.0	5.495
460.0	5.560
461.0	5.640
462.0	5.695
463.0	5.766
464.0	5.821
465.0	5.910
466.0	5.969
467.0	6.046
468.0	6.122
469.0	6.197
470.0	6.267
471.0	6.342
472.0	6.444
473.0	6.512
474.0	6.564
475.0	6.676
476.0	6.760
477.0	6.859
478.0	6.958
479.0	7.033
480.0	7.121
481.0	7.199
482.0	7.288
483.0	7.387
484.0	7.481
485.0	7.568
486.0	7.668
487.0	7.764
488.0	7.829
489.0	7.904
490.0	7.982
491.0	8.047
492.0	8.142
493.0	8.174
494.0	8.267
495.0	8.331
496.0	8.372
497.0	8.395
498.0	8.405
499.0	8.485
500.0	8.475
501.0	8.537
502.0	8.563
503.0	8.545
504.0	8.588
505.0	8.588
506.0	8.566
507.0	8.554
508.0	8.549
509.0	8.510
510.0	8.501
511.0	8.478
512.0	8.435
513.0	8.418
514.0	8.388
515.0	8.328
516.0	8.337
517.0	8.281
518.0	8.226
519.0	8.171
520.0	8.142
521.0	8.113
522.0	8.017
523.0	7.959
524.0	7.918
525.0	7.863
526.0	7.813
527.0	7.738
528.0	7.727
529.0	7.686
530.0	7.625
531.0	7.545
532.0	7.521
533.0	7.416
534.0	7.396
535.0	7.352
536.0	7.280
537.0	7.231
538.0	7.167
539.0	7.141
540.0	7.037
541.0	6.996
542.0	6.989
543.0	6.897
544.0	6.880
545.0	6.789
546.0	6.767
547.0	6.693
548.0	6.647
549.0	6.606
550.0	6.555
551.0	6.500
552.0	6.442
553.0	6.424
554.0	6.375
555.0	6.326
556.0	6.284
557.0	6.207
558.0	6.178
559.0	6.123
560.0	6.084
561.0	6.050
562.0	5.994
563.0	5.949
564.0	5.884
565.0	5.858
566.0	5.820
567.0	5.779
568.0	5.736
569.0	5.687
570.0	5.676
571.0	5.623
572.0	5.554
573.0	5.537
574.0	5.478
575.0	5.466
576.0	5.405
577.0	5.357
578.0	5.353
579.0	5.307
580.0	5.264
581.0	5.214
582.0	5.194
583.0	5.151
584.0	5.122
585.0	5.089
586.0	5.038
587.0	5.031
588.0	4.974
589.0	4.968
590.0	4.922
591.0	4.887
592.0	4.868
593.0	4.825
594.0	4.793
595.0	4.745
596.0	4.738
597.0	4.716
598.0	4.660
599.0	4.649
600.0	4.614
601.0	4.579
602.0	4.546
603.0	4.518
604.0	4.501
605.0	4.459
606.0	4.442
607.0	4.395
608.0	4.402
609.0	4.343
610.0	4.317
611.0	4.303
612.0	4.272
613.0	4.248
614.0	4.221
615.0	4.208
616.0	4.184
617.0	4.141
618.0	4.143
619.0	4.092
620.0	4.088
621.0	4.057
622.0	4.047
623.0	4.010
624.0	3.989
625.0	3.958
626.0	3.949
627.0	3.914
628.0	3.896
629.0	3.860
630.0	3.873
631.0	3.839
632.0	3.828
633.0	3.786
634.0	3.770
635.0	3.752
636.0	3.726
637.0	3.716
638.0	3.703
639.0	3.683
640.0	3.648
641.0	3.609
642.0	3.621
643.0	3.592
644.0	3.583
645.0	3.545
646.0	3.529
647.0	3.511
648.0	3.499
649.0	3.484
650.0	3.445
651.0	3.439
652.0	3.423
653.0	3.392
654.0	3.380
655.0	3.371
656.0	3.343
657.0	3.328
658.0	3.323
659.0	3.299
660.0	3.268
661.0	3.256
662.0	3.255
663.0	3.227
664.0	3.198
665.0	3.185
666.0	3.168
667.0	3.137
668.0	3.127
669.0	3.105
670.0	3.090
671.0	3.067
672.0	3.040
673.0	3.033
674.0	3.000
675.0	2.988
676.0	2.974
677.0	2.966
678.0	2.948
679.0	2.934
680.0	2.922
681.0	2.905
682.0	2.896
683.0	2.876
684.0	2.872
685.0	2.882
686.0	2.853
687.0	2.870
688.0	2.834
689.0	2.837
690.0	2.826
691.0	2.811
692.0	2.815
693.0	2.797
694.0	2.779
695.0	2.776
696.0	2.756
697.0	2.747
698.0	2.727
699.0	2.728
700.0	2.704
701.0	2.690
702.0	2.690
703.0	2.695
704.0	2.682
705.0	2.654
706.0	2.655
707.0	2.638
708.0	2.626
709.0	2.621
710.0	2.591
711.0	2.605
712.0	2.588
713.0	2.582
714.0	2.563
715.0	2.557
716.0	2.545
717.0	2.527
718.0	2.533
719.0	2.504
720.0	2.512
721.0	2.495
722.0	2.490
723.0	2.477
724.0	2.446
725.0	2.469
726.0	2.449
727.0	2.438
728.0	2.423
729.0	2.408
730.0	2.422
731.0	2.394
732.0	2.397
733.0	2.393
734.0	2.350
735.0	2.376
736.0	2.354
737.0	2.361
738.0	2.341
739.0	2.339
740.0	2.325
741.0	2.315
742.0	2.307
743.0	2.269
744.0	2.278
745.0	2.319
746.0	2.275
747.0	2.277
748.0	2.251
749.0	2.243
750.0	2.240
751.0	2.245
752.0	2.245
753.0	2.213
754.0	2.217
755.0	2.205
756.0	2.223
757.0	2.177
758.0	2.177
759.0	2.173
760.0	2.174
761.0	2.155
762.0	2.170
763.0	2.150
764.0	2.144
765.0	2.127
766.0	2.132
767.0	2.135
768.0	2.122
769.0	2.126
770.0	2.112
771.0	2.097
772.0	2.106
773.0	2.086
774.0	2.077
775.0	2.074
776.0	2.065
777.0	2.034
778.0	2.068
779.0	2.040
780.0	2.052
781.0	2.060
782.0	2.023
783.0	2.019
784.0	2.034
785.0	2.000
786.0	2.008
787.0	2.022
788.0	1.985
789.0	1.988
790.0	1.987
791.0	1.955
792.0	1.971
793.0	1.956
794.0	1.941
795.0	1.958
796.0	1.945
797.0	1.959
798.0	1.933
799.0	1.945
800.0	1.923
801.0	1.927
802.0	1.936
803.0	1.903
804.0	1.877
805.0	1.912
806.0	1.897
807.0	1.889
808.0	1.874
809.0	1.878
810.0	1.881
811.0	1.872
812.0	1.884
813.0	1.855
814.0	1.849
815.0	1.855
816.0	1.854
817.0	1.831
818.0	1.820
819.0	1.831
820.0	1.804
821.0	1.810
822.0	1.802
823.0	1.804
824.0	1.788
825.0	1.814
826.0	1.794
827.0	1.779
828.0	1.787
829.0	1.765
830.0	1.768
831.0	1.773
832.0	1.768
833.0	1.762
834.0	1.733
835.0	1.764
836.0	1.749
837.0	1.697
838.0	1.721
839.0	1.717
840.0	1.726
841.0	1.697
