[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 09:48:52
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	-0.018
251.0	-0.029
252.0	-0.020
253.0	-0.024
254.0	-0.014
255.0	-0.029
256.0	-0.024
257.0	-0.014
258.0	-0.024
259.0	-0.024
260.0	-0.024
261.0	-0.020
262.0	-0.014
263.0	-0.023
264.0	-0.014
265.0	-0.024
266.0	-0.023
267.0	-0.020
268.0	-0.020
269.0	-0.020
270.0	-0.020
271.0	-0.020
272.0	-0.023
273.0	-0.020
274.0	-0.020
275.0	-0.023
276.0	-0.020
277.0	-0.014
278.0	-0.020
279.0	-0.014
280.0	-0.023
281.0	-0.020
282.0	-0.020
283.0	-0.020
284.0	-0.020
285.0	-0.020
286.0	-0.475
287.0	-0.426
288.0	-0.311
289.0	-0.310
290.0	-0.333
291.0	-0.229
292.0	-0.287
293.0	-0.322
294.0	-0.276
295.0	-0.247
296.0	-0.301
297.0	-0.204
298.0	-0.255
299.0	-0.203
300.0	-0.191
301.0	-0.195
302.0	-0.186
303.0	-0.220
304.0	-0.125
305.0	-0.130
306.0	-0.209
307.0	-0.209
308.0	-0.140
309.0	-0.192
310.0	-0.151
311.0	-0.134
312.0	-0.150
313.0	-0.143
314.0	-0.143
315.0	-0.150
316.0	-0.102
317.0	-0.121
318.0	-0.096
319.0	-0.081
320.0	-0.102
321.0	-0.081
322.0	-0.079
323.0	-0.121
324.0	-0.102
325.0	-0.079
326.0	-0.073
327.0	-0.073
328.0	-0.067
329.0	-0.073
330.0	-0.073
331.0	-0.079
332.0	-0.055
333.0	-0.067
334.0	-0.027
335.0	-0.040
336.0	-0.044
337.0	-0.040
338.0	-0.049
339.0	-0.055
340.0	-0.049
341.0	-0.034
342.0	-0.038
343.0	-0.034
344.0	-0.034
345.0	-0.027
346.0	-0.034
347.0	-0.043
348.0	-0.038
349.0	-0.032
350.0	-0.038
351.0	-0.027
352.0	-0.027
353.0	-0.021
354.0	-0.021
355.0	-0.038
356.0	-0.027
357.0	-0.032
358.0	-0.032
359.0	-0.049
360.0	-0.038
361.0	-0.034
362.0	-0.034
363.0	-0.040
364.0	-0.040
365.0	-0.015
366.0	-0.040
367.0	-0.027
368.0	-0.027
369.0	-0.034
370.0	-0.027
371.0	-0.021
372.0	-0.034
373.0	-0.027
374.0	-0.021
375.0	-0.009
376.0	-0.021
377.0	-0.021
378.0	-0.015
379.0	-0.021
380.0	-0.015
381.0	-0.015
382.0	-0.009
383.0	-0.009
384.0	-0.015
385.0	-0.009
386.0	-0.009
387.0	-0.015
388.0	-0.015
389.0	-0.015
390.0	-0.015
391.0	-0.015
392.0	-0.015
393.0	-0.015
394.0	-0.009
395.0	-0.015
396.0	-0.009
397.0	-0.015
398.0	-0.009
399.0	-0.009
400.0	-0.015
401.0	-0.009
402.0	-0.009
403.0	-0.009
404.0	-0.009
405.0	-0.009
406.0	-0.009
407.0	-0.015
408.0	-0.009
409.0	-0.009
410.0	-0.003
411.0	-0.009
412.0	-0.009
413.0	-0.003
414.0	-0.009
415.0	-0.003
416.0	-0.009
417.0	-0.009
418.0	-0.003
419.0	-0.009
420.0	-0.009
421.0	-0.003
422.0	-0.009
423.0	-0.009
424.0	-0.009
425.0	-0.003
426.0	-0.009
427.0	-0.009
428.0	-0.003
429.0	-0.009
430.0	-0.003
431.0	-0.003
432.0	-0.009
433.0	-0.009
434.0	-0.003
435.0	-0.009
436.0	-0.003
437.0	-0.003
438.0	-0.003
439.0	0.000
440.0	-0.003
441.0	-0.003
442.0	-0.003
443.0	-0.003
444.0	-0.003
445.0	-0.009
446.0	-0.003
447.0	-0.009
448.0	-0.003
449.0	-0.003
450.0	-0.003
451.0	-0.003
452.0	-0.009
453.0	-0.003
454.0	-0.003
455.0	-0.003
456.0	-0.003
457.0	-0.009
458.0	0.000
459.0	-0.009
460.0	-0.003
461.0	-0.003
462.0	-0.003
463.0	-0.003
464.0	-0.003
465.0	0.000
466.0	-0.009
467.0	-0.003
468.0	-0.003
469.0	-0.003
470.0	-0.003
471.0	-0.003
472.0	-0.003
473.0	-0.003
474.0	-0.003
475.0	-0.003
476.0	-0.003
477.0	-0.003
478.0	-0.009
479.0	0.000
480.0	-0.003
481.0	-0.003
482.0	-0.003
483.0	-0.009
484.0	-0.003
485.0	-0.003
486.0	-0.003
487.0	-0.003
488.0	-0.003
489.0	-0.003
490.0	0.000
491.0	0.000
492.0	-0.003
493.0	0.000
494.0	0.000
495.0	0.000
496.0	0.003
497.0	0.003
498.0	0.003
499.0	0.009
500.0	0.009
501.0	0.015
502.0	0.009
503.0	0.020
504.0	0.015
505.0	0.020
506.0	0.024
507.0	0.024
508.0	0.031
509.0	0.031
510.0	0.031
511.0	0.037
512.0	0.041
513.0	0.041
514.0	0.046
515.0	0.052
516.0	0.058
517.0	0.058
518.0	0.067
519.0	0.067
520.0	0.084
521.0	0.089
522.0	0.105
523.0	0.110
524.0	0.127
525.0	0.143
526.0	0.163
527.0	0.195
528.0	0.212
529.0	0.253
530.0	0.287
531.0	0.343
532.0	0.400
533.0	0.490
534.0	0.587
535.0	0.710
536.0	0.890
537.0	1.117
538.0	1.408
539.0	1.811
540.0	2.374
541.0	3.185
542.0	4.346
543.0	6.044
544.0	8.554
545.0	12.067
546.0	17.192
547.0	23.387
548.0	29.744
549.0	33.690
550.0	34.636
551.0	33.295
552.0	31.230
553.0	29.306
554.0	28.038
555.0	27.206
556.0	26.709
557.0	25.822
558.0	24.203
559.0	21.196
560.0	17.343
561.0	13.200
562.0	9.566
563.0	6.862
564.0	4.836
565.0	3.458
566.0	2.460
567.0	1.797
568.0	1.323
569.0	1.009
570.0	0.771
571.0	0.600
572.0	0.473
573.0	0.374
574.0	0.301
575.0	0.241
576.0	0.194
577.0	0.168
578.0	0.136
579.0	0.110
580.0	0.093
581.0	0.072
582.0	0.072
583.0	0.056
584.0	0.052
585.0	0.046
586.0	0.035
587.0	0.031
588.0	0.031
589.0	0.024
590.0	0.018
591.0	0.018
592.0	0.015
593.0	0.009
594.0	0.015
595.0	0.009
596.0	0.009
597.0	0.003
598.0	0.003
599.0	0.003
600.0	0.003
601.0	0.003
602.0	0.000
603.0	0.000
604.0	0.003
605.0	0.000
606.0	0.003
607.0	0.000
608.0	0.003
609.0	0.000
610.0	0.000
611.0	0.003
612.0	0.000
613.0	0.003
614.0	0.000
615.0	0.000
616.0	0.000
617.0	0.000
618.0	0.003
619.0	0.000
620.0	0.000
621.0	0.000
622.0	0.000
623.0	0.000
624.0	0.000
625.0	0.000
626.0	-0.003
627.0	0.000
628.0	-0.003
629.0	0.000
630.0	-0.003
631.0	-0.003
632.0	0.000
633.0	0.000
634.0	-0.003
635.0	0.000
636.0	-0.003
637.0	0.000
638.0	-0.003
639.0	0.000
640.0	0.000
641.0	0.000
642.0	-0.003
643.0	-0.003
644.0	0.000
645.0	-0.003
646.0	0.000
647.0	0.000
648.0	-0.003
649.0	0.000
650.0	-0.003
651.0	-0.003
652.0	-0.003
653.0	-0.003
654.0	-0.003
655.0	0.000
656.0	0.000
657.0	-0.003
658.0	0.000
659.0	-0.003
660.0	-0.003
661.0	0.000
662.0	-0.003
663.0	0.000
664.0	-0.003
665.0	0.000
666.0	-0.003
667.0	-0.003
668.0	0.000
669.0	-0.003
670.0	-0.003
671.0	-0.003
672.0	-0.003
673.0	-0.003
674.0	-0.003
675.0	0.000
676.0	-0.003
677.0	-0.003
678.0	0.000
679.0	0.000
680.0	-0.003
681.0	-0.003
682.0	0.000
683.0	-0.003
684.0	-0.003
685.0	-0.003
686.0	-0.003
687.0	-0.003
688.0	-0.003
689.0	0.000
690.0	-0.003
691.0	0.000
692.0	0.000
693.0	-0.003
694.0	-0.003
695.0	-0.003
696.0	0.000
697.0	-0.003
698.0	0.000
699.0	-0.003
700.0	-0.003
701.0	0.000
702.0	-0.003
703.0	-0.003
704.0	0.000
705.0	-0.003
706.0	-0.003
707.0	-0.003
708.0	-0.003
