[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 10:58:03
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250,0000 to 800,0000
Scan Speed:	Slow
Sampling Interval:	2,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Reflectance
Slit Width:	8,0 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	2.960
252.0	4.037
254.0	5.432
256.0	5.402
258.0	5.359
260.0	5.396
262.0	5.237
264.0	5.048
266.0	5.103
268.0	5.176
270.0	5.194
272.0	5.304
274.0	5.017
276.0	4.962
278.0	4.907
280.0	4.584
282.0	4.694
284.0	4.803
286.0	1.935
288.0	2.484
290.0	-0.238
292.0	-2.008
294.0	0.421
296.0	-1.520
298.0	1.447
300.0	2.759
302.0	3.229
304.0	4.523
306.0	2.490
308.0	2.222
310.0	1.245
312.0	0.977
314.0	2.924
316.0	3.082
318.0	4.504
320.0	4.614
322.0	4.382
324.0	4.993
326.0	4.382
328.0	4.803
330.0	4.871
332.0	4.736
334.0	4.944
336.0	4.834
338.0	4.785
340.0	4.633
342.0	4.474
344.0	4.492
346.0	4.755
348.0	4.828
350.0	4.785
352.0	4.779
354.0	4.596
356.0	4.761
358.0	4.718
360.0	4.767
362.0	4.651
364.0	4.523
366.0	4.517
368.0	4.456
370.0	4.437
372.0	4.498
374.0	4.620
376.0	4.639
378.0	4.761
380.0	4.736
382.0	4.688
384.0	4.694
386.0	4.675
388.0	4.712
390.0	4.730
392.0	4.681
394.0	4.700
396.0	4.688
398.0	4.657
400.0	4.669
402.0	4.681
404.0	4.602
406.0	4.626
408.0	4.620
410.0	4.639
412.0	4.675
414.0	4.675
416.0	4.694
418.0	4.645
420.0	4.645
422.0	4.663
424.0	4.706
426.0	4.742
428.0	4.657
430.0	4.651
432.0	4.602
434.0	4.559
436.0	4.633
438.0	4.608
440.0	4.596
442.0	4.590
444.0	4.584
446.0	4.596
448.0	4.669
450.0	4.681
452.0	4.645
454.0	4.633
456.0	4.547
458.0	4.565
460.0	4.565
462.0	4.572
464.0	4.602
466.0	4.559
468.0	4.590
470.0	4.584
472.0	4.553
474.0	4.529
476.0	4.510
478.0	4.492
480.0	4.523
482.0	4.565
484.0	4.602
486.0	4.816
488.0	5.286
490.0	6.378
492.0	8.398
494.0	11.749
496.0	16.608
498.0	22.827
500.0	30.219
502.0	37.976
504.0	45.508
506.0	52.374
508.0	58.173
510.0	62.909
512.0	66.602
514.0	69.470
516.0	71.515
518.0	72.931
520.0	73.956
522.0	74.585
524.0	75.031
526.0	75.336
528.0	74.805
530.0	74.768
532.0	74.524
534.0	73.859
536.0	73.236
538.0	70.886
540.0	66.760
542.0	60.638
544.0	52.710
546.0	43.903
548.0	35.760
550.0	28.888
552.0	23.615
554.0	19.812
556.0	17.584
558.0	17.719
560.0	20.435
562.0	25.336
564.0	31.134
566.0	36.304
568.0	40.021
570.0	42.017
572.0	42.590
574.0	42.303
576.0	41.382
578.0	40.186
580.0	38.788
582.0	37.268
584.0	35.675
586.0	34.015
588.0	32.343
590.0	30.560
592.0	28.888
594.0	27.234
596.0	25.623
598.0	24.072
600.0	22.504
602.0	20.996
604.0	19.550
606.0	18.182
608.0	16.888
610.0	15.674
612.0	14.520
614.0	13.483
616.0	12.531
618.0	11.664
620.0	10.858
622.0	10.168
624.0	9.503
626.0	8.893
628.0	8.386
630.0	7.861
632.0	7.440
634.0	7.056
636.0	6.653
638.0	6.354
640.0	6.061
642.0	5.817
644.0	5.621
646.0	5.402
648.0	5.237
650.0	5.090
652.0	4.987
654.0	4.926
656.0	4.877
658.0	4.797
660.0	4.724
662.0	4.694
664.0	4.620
666.0	4.602
668.0	4.608
670.0	4.565
672.0	4.565
674.0	4.590
676.0	4.559
678.0	4.553
680.0	4.529
682.0	4.498
684.0	4.480
686.0	4.425
688.0	4.425
690.0	4.431
692.0	4.480
694.0	4.486
696.0	4.510
698.0	4.431
700.0	4.346
702.0	4.395
704.0	4.462
706.0	4.486
708.0	4.565
710.0	4.553
712.0	4.468
714.0	4.498
716.0	4.431
718.0	4.468
720.0	4.437
722.0	4.370
724.0	4.370
726.0	4.285
728.0	4.346
730.0	4.437
732.0	4.572
734.0	4.535
736.0	4.401
738.0	4.315
740.0	4.211
742.0	4.303
744.0	4.364
746.0	4.413
748.0	4.370
750.0	4.266
752.0	4.285
754.0	4.419
756.0	4.437
758.0	4.565
760.0	4.321
762.0	4.132
764.0	4.272
766.0	4.425
768.0	4.968
770.0	4.846
772.0	4.730
774.0	4.053
776.0	4.315
778.0	4.712
780.0	4.822
782.0	5.231
784.0	4.767
786.0	4.193
788.0	3.601
790.0	3.687
792.0	3.571
794.0	3.650
796.0	3.928
798.0	3.699
800.0	3.513
