[SUMMARY]
Software Information
Software Name:	UVProbe
Version:	2.43
Mode:	Normal Mode

Data Information
Data is:	Original
Analyst:	
Date/Time:	29.01.2016 09:51:31
Comments:	

Instrument Information
Instrument Name:	UV-3101PC
Instrument Type:	UV-3100PC Series
Model (S/N):	UV-3101PC ( 28K00308 )

[METHOD]
[Measurement Properties]
Wavelength Range (nm.):	250,0000 to 800,0000
Scan Speed:	Medium
Sampling Interval:	1,0
Auto Sampling Interval:	Disabled
Scan Mode:	Single

[Sample Preparation Properties]
Weight:	
Volume:	
Dilution:	
Path Length:	
Additional Information:	

[Instrument Properties]
Instrument Type:	UV-3100PC Series
Measuring Mode:	Transmittance
Slit Width:	0,8 nm
Light Source Change Wavelength:	285,0 nm
Detector Change Wavelength:	885,0 nm
S/R Exchange:	Normal
Detector Lock:	Auto
Slit Program:	Normal

[Attachment Properties]
Attachment:	None

[Operation]
Threshold:	0,0100000
Points:	4
InterPolate:	Disabled
Average:	Disabled

[DATA]
Wavelength	Data
250.0	-0.049
251.0	-0.040
252.0	-0.044
253.0	-0.034
254.0	-0.038
255.0	-0.038
256.0	-0.040
257.0	-0.040
258.0	-0.040
259.0	-0.040
260.0	-0.044
261.0	-0.040
262.0	-0.034
263.0	-0.040
264.0	-0.040
265.0	-0.029
266.0	-0.029
267.0	-0.029
268.0	-0.023
269.0	-0.034
270.0	-0.020
271.0	-0.034
272.0	-0.029
273.0	-0.035
274.0	-0.029
275.0	-0.034
276.0	-0.023
277.0	-0.029
278.0	-0.029
279.0	-0.029
280.0	-0.023
281.0	-0.029
282.0	-0.035
283.0	-0.035
284.0	-0.029
285.0	-0.020
286.0	-0.620
287.0	-0.421
288.0	-0.323
289.0	-0.244
290.0	-0.238
291.0	-0.198
292.0	-0.163
293.0	-0.157
294.0	-0.157
295.0	-0.124
296.0	-0.116
297.0	-0.133
298.0	-0.092
299.0	-0.098
300.0	-0.102
301.0	-0.092
302.0	-0.079
303.0	-0.056
304.0	-0.092
305.0	-0.084
306.0	-0.345
307.0	-0.273
308.0	-0.264
309.0	-0.276
310.0	-0.281
311.0	-0.262
312.0	-0.273
313.0	-0.273
314.0	-0.238
315.0	-0.244
316.0	-0.203
317.0	-0.162
318.0	-0.154
319.0	-0.171
320.0	-0.214
321.0	-0.555
322.0	-0.558
323.0	-0.558
324.0	-0.554
325.0	-0.540
326.0	-0.568
327.0	-0.510
328.0	-0.612
329.0	-0.783
330.0	-0.734
331.0	-0.735
332.0	-0.728
333.0	-0.684
334.0	-0.636
335.0	-0.627
336.0	-0.609
337.0	-0.581
338.0	-0.578
339.0	-0.566
340.0	-0.583
341.0	-0.551
342.0	-0.520
343.0	-0.502
344.0	-0.278
345.0	-0.128
346.0	-0.055
347.0	-0.049
348.0	-0.034
349.0	-0.038
350.0	-0.027
351.0	-0.032
352.0	-0.027
353.0	-0.038
354.0	-0.038
355.0	-0.032
356.0	-0.027
357.0	-0.027
358.0	-0.021
359.0	-0.044
360.0	-0.055
361.0	-0.043
362.0	-0.043
363.0	-0.027
364.0	-0.034
365.0	-0.027
366.0	-0.038
367.0	-0.021
368.0	-0.027
369.0	-0.027
370.0	-0.027
371.0	-0.027
372.0	-0.021
373.0	-0.027
374.0	-0.021
375.0	-0.015
376.0	-0.027
377.0	-0.021
378.0	-0.027
379.0	-0.015
380.0	-0.021
381.0	-0.021
382.0	-0.021
383.0	-0.027
384.0	-0.032
385.0	-0.032
386.0	-0.027
387.0	-0.021
388.0	-0.021
389.0	-0.026
390.0	-0.032
391.0	-0.032
392.0	-0.026
393.0	-0.021
394.0	-0.021
395.0	-0.026
396.0	-0.015
397.0	-0.026
398.0	-0.021
399.0	-0.021
400.0	-0.021
401.0	-0.021
402.0	-0.021
403.0	-0.015
404.0	-0.021
405.0	-0.021
406.0	-0.021
407.0	-0.015
408.0	-0.009
409.0	-0.021
410.0	-0.021
411.0	-0.015
412.0	-0.021
413.0	-0.021
414.0	-0.021
415.0	-0.015
416.0	-0.021
417.0	-0.021
418.0	-0.015
419.0	-0.015
420.0	-0.009
421.0	-0.015
422.0	-0.015
423.0	-0.015
424.0	-0.015
425.0	-0.015
426.0	-0.015
427.0	-0.015
428.0	-0.015
429.0	-0.015
430.0	-0.009
431.0	-0.015
432.0	-0.015
433.0	-0.015
434.0	-0.009
435.0	-0.015
436.0	-0.009
437.0	-0.015
438.0	-0.015
439.0	-0.009
440.0	-0.009
441.0	-0.009
442.0	-0.009
443.0	-0.009
444.0	-0.009
445.0	-0.009
446.0	-0.009
447.0	-0.015
448.0	-0.009
449.0	-0.015
450.0	-0.009
451.0	-0.009
452.0	-0.015
453.0	-0.009
454.0	-0.015
455.0	-0.009
456.0	-0.015
457.0	-0.009
458.0	-0.009
459.0	-0.009
460.0	-0.009
461.0	-0.009
462.0	-0.009
463.0	-0.009
464.0	-0.009
465.0	-0.009
466.0	-0.009
467.0	-0.009
468.0	-0.009
469.0	-0.009
470.0	-0.009
471.0	-0.009
472.0	-0.003
473.0	-0.009
474.0	-0.009
475.0	-0.009
476.0	-0.003
477.0	-0.009
478.0	-0.009
479.0	0.000
480.0	0.000
481.0	0.003
482.0	0.020
483.0	0.037
484.0	0.063
485.0	0.111
486.0	0.188
487.0	0.301
488.0	0.468
489.0	0.681
490.0	0.981
491.0	1.367
492.0	1.767
493.0	2.209
494.0	2.632
495.0	3.009
496.0	3.354
497.0	3.554
498.0	3.656
499.0	3.604
500.0	3.452
501.0	3.209
502.0	2.821
503.0	2.391
504.0	1.984
505.0	1.599
506.0	1.273
507.0	1.010
508.0	0.797
509.0	0.623
510.0	0.502
511.0	0.401
512.0	0.331
513.0	0.282
514.0	0.229
515.0	0.186
516.0	0.153
517.0	0.131
518.0	0.116
519.0	0.095
520.0	0.084
521.0	0.073
522.0	0.063
523.0	0.052
524.0	0.046
525.0	0.041
526.0	0.037
527.0	0.037
528.0	0.024
529.0	0.024
530.0	0.020
531.0	0.015
532.0	0.015
533.0	0.009
534.0	0.015
535.0	0.009
536.0	0.009
537.0	0.009
538.0	0.009
539.0	0.009
540.0	0.000
541.0	0.003
542.0	0.000
543.0	0.003
544.0	0.003
545.0	0.000
546.0	0.003
547.0	-0.003
548.0	0.000
549.0	0.000
550.0	0.000
551.0	0.000
552.0	0.000
553.0	-0.003
554.0	-0.003
555.0	-0.003
556.0	0.000
557.0	0.000
558.0	0.000
559.0	-0.003
560.0	0.000
561.0	-0.003
562.0	-0.003
563.0	-0.003
564.0	-0.003
565.0	0.000
566.0	-0.003
567.0	0.000
568.0	-0.003
569.0	0.000
570.0	-0.003
571.0	-0.003
572.0	0.000
573.0	-0.003
574.0	0.000
575.0	-0.003
576.0	-0.003
577.0	0.000
578.0	-0.003
579.0	-0.003
580.0	-0.003
581.0	-0.003
582.0	-0.003
583.0	-0.003
584.0	0.000
585.0	0.000
586.0	0.000
587.0	0.000
588.0	-0.003
589.0	-0.003
590.0	-0.003
591.0	-0.003
592.0	0.000
593.0	-0.003
594.0	0.000
595.0	-0.009
596.0	0.000
597.0	0.000
598.0	0.000
599.0	-0.003
600.0	-0.003
601.0	-0.003
602.0	-0.003
603.0	-0.003
604.0	-0.003
605.0	-0.003
606.0	0.000
607.0	-0.003
608.0	-0.003
609.0	-0.003
610.0	-0.003
611.0	0.000
612.0	-0.003
613.0	-0.003
614.0	-0.003
615.0	0.000
616.0	-0.009
617.0	-0.003
618.0	-0.003
619.0	-0.009
620.0	-0.003
621.0	-0.009
622.0	-0.003
623.0	-0.003
624.0	-0.009
625.0	0.000
626.0	-0.009
627.0	-0.003
628.0	-0.003
629.0	-0.003
630.0	0.000
631.0	-0.003
632.0	0.000
633.0	-0.003
634.0	-0.003
635.0	-0.003
636.0	-0.003
637.0	-0.003
638.0	-0.003
639.0	-0.003
640.0	-0.003
641.0	-0.003
642.0	-0.003
643.0	-0.003
644.0	-0.003
645.0	-0.003
646.0	-0.003
647.0	-0.009
648.0	-0.003
649.0	-0.003
650.0	-0.003
651.0	-0.003
652.0	-0.003
653.0	-0.009
654.0	-0.003
655.0	-0.003
656.0	-0.003
657.0	-0.003
658.0	-0.003
659.0	-0.003
660.0	-0.009
661.0	-0.003
662.0	-0.003
663.0	-0.009
664.0	-0.003
665.0	-0.009
666.0	-0.003
667.0	-0.009
668.0	-0.003
669.0	-0.009
670.0	-0.003
671.0	-0.003
672.0	-0.009
673.0	-0.003
674.0	-0.009
675.0	-0.003
676.0	-0.009
677.0	-0.009
678.0	-0.009
679.0	-0.009
680.0	-0.003
681.0	-0.003
682.0	-0.003
683.0	-0.003
684.0	-0.009
685.0	-0.003
686.0	-0.003
687.0	-0.003
688.0	-0.003
689.0	-0.003
690.0	0.000
691.0	0.000
692.0	0.000
693.0	0.003
694.0	0.009
695.0	0.015
696.0	0.015
697.0	0.024
698.0	0.018
699.0	0.024
700.0	0.031
701.0	0.024
